gene,auprc_mean,auprc_std,prevalence_mean
AHNAK2,0.0886243386243386,0.0203634977755828,0.0375
ANK2,0.1529220779220779,0.0676096898647126,0.05
APOB,0.3062499999999999,0.1464668778130274,0.0766666666666666
ASXL3,0.201984126984127,0.0620914462275876,0.0633333333333333
CMYA5,0.1565934065934066,0.0873522697559596,0.0508333333333333
CNTNAP5,0.343001443001443,0.1480724102548663,0.075
CSMD1,0.1418154761904762,0.1286764479601344,0.0508333333333333
CTNNB1,0.5352561327561327,0.2990289072571466,0.1641666666666666
DNAH10,0.2432539682539682,0.1488634822807962,0.05
DNAH5,0.3065934065934066,0.0980226555931837,0.0641666666666666
DST,0.4876068376068376,0.3546377762880267,0.0758333333333333
EYS,0.3071428571428571,0.2003822877015077,0.05
FAT3,1.0,0.0,0.0383333333333333
FAT4,0.2447358197358197,0.2005956625566015,0.075
FBN2,0.3598484848484848,,0.05
FLG,0.1111111111111111,0.0240562612162344,0.0383333333333333
FRAS1,0.1406746031746031,0.0271492090868931,0.05
GNAS,0.5583333333333333,0.1532064692570852,0.05
HMCN1,0.197306166056166,0.0768951486171315,0.1016666666666666
HRNR,0.294973544973545,0.0542489329481742,0.05
HUWE1,0.5694444444444444,0.6088975060217493,0.0375
KMT2B,0.5231481481481481,0.4427775454249123,0.0625
KMT2C,0.1478632478632478,0.0636565681414202,0.0383333333333333
LAMA1,0.194047619047619,0.1801438704451442,0.0375
LRP1,0.1208333333333333,0.0117851130197757,0.0516666666666666
MACF1,0.1666666666666666,0.1178511301977579,0.0258333333333333
MEN1,0.2692880036630036,0.2219454462540038,0.0875
MUC16,0.3125151515151515,0.2338772095088361,0.1516666666666666
MUC4,0.1639730639730639,0.0988624090266723,0.0758333333333333
NF1,0.3125,0.1423187606383277,0.05
OBSCN,0.1311965811965812,0.0885110724688982,0.0508333333333333
PCDH15,0.2506944444444444,0.1896278437777598,0.0758333333333333
PKHD1,0.4091666666666667,0.3668607440917542,0.0883333333333333
PRKAR1A,0.4608585858585858,0.227913658545191,0.0625
RELN,0.45,0.404145188432738,0.0508333333333333
RYR2,0.2134615384615384,0.1604588465000242,0.0375
SPTA1,0.2136363636363636,0.130082618375038,0.0508333333333333
STAB1,0.3145833333333333,0.208874297658238,0.0633333333333333
SVEP1,0.1792207792207792,0.1065679768710846,0.0633333333333333
TENM2,0.2497474747474747,0.1376211656919219,0.05
TLN2,0.3277777777777778,0.2021489488740028,0.0508333333333333
TP53,0.5948484848484847,0.2737961657390974,0.1908333333333333
TTN,0.1464354164354164,0.0469107349069368,0.1266666666666666
WDFY4,0.234375,0.1934809960521532,0.0508333333333333
XIRP2,0.2002164502164502,0.0811183103958593,0.05
