feature,target,mean_shap
ASCL1,ANK2,-0.019950874
SLFN12L,ANK2,-0.021282049
RGPD3,ANK2,-0.02801868
TTC7A,ANK2,-0.2490167
MINK1,ANK2,-0.015591862
HMBOX1,ANK2,-0.019137328
MYO1A,ANK2,-0.028843198
SOHLH1,ANK2,-0.08381437
HEXIM1,ANK2,-0.17239481
LSM11,ANK2,-0.015797898
FGD1,ANK2,-0.12025086
TM2D3,ANK2,-0.21671148
C12orf65,ANK2,-0.17709881
LYSMD2,ANK2,-0.5450154
DNAJC17,ANK2,-0.34943244
PSMF1,ANK2,-0.14116755
E2F2,ANK2,-0.045480926
AOC3,ANK2,-0.14226042
ZNF197,ANK2,-0.02662806
TRA2A,ANK2,-0.8752089
AADAC,ANK2,-0.11536612
RNASEK,ANK2,-0.029076284
AASS,ANK2,-0.11485645
CACNB3,ANK2,-0.36372736
MISP,APOB,-0.03407376
DISP1,APOB,-0.01290103
SMNDC1,APOB,-0.042651437
VWA1,APOB,0.0020897135
CPNE2,APOB,-0.049065422
NXN,APOB,-0.05355521
MED31,APOB,-0.020628894
S100A8,APOB,-0.03132264
USP36,APOB,-0.025786238
CHST4,APOB,-0.1073296
CCR3,APOB,-0.10763764
GJC1,APOB,-0.706994
TCERG1,APOB,-0.44957903
SUV39H2,APOB,-0.1556925
ZPR1,APOB,-0.1681932
CALML4,APOB,-0.051151842
CDK5RAP1,APOB,-0.29322907
TMX3,APOB,-0.68666375
EIF2S3B,APOB,-0.4004951
MCAM,APOB,-0.29888222
PDE3A,APOB,-0.10370673
STBD1,APOB,-0.047570396
ZNF704,ASXL3,-0.032184493
JPH3,ASXL3,-0.07179383
PDXDC1,ASXL3,-0.005982485
CD27,ASXL3,-0.029542739
ZDHHC11,ASXL3,-0.032416448
NT5C,ASXL3,-0.034419138
INPP4B,ASXL3,-0.008515602
SHC3,ASXL3,-0.017423345
ID3,ASXL3,-0.06504588
WSCD2,ASXL3,-0.04346355
CD177,ASXL3,-0.038022235
SLC25A28,ASXL3,-0.28143284
TOP1MT,ASXL3,-0.109705985
TCFL5,ASXL3,-0.56471187
AGPAT2,ASXL3,-1.4904314
KIF21B,ASXL3,-0.14089158
ARL4C,ASXL3,-0.11336503
SALL4,ASXL3,-0.3381112
TAS2R20,ASXL3,-0.49909195
NDST1,CMYA5,-0.0561743
MTA1,CMYA5,-0.2435128
PAX9,CMYA5,-0.07557686
LRRC8A,CMYA5,-0.0062835277
MAGEA3,CMYA5,-0.026647003
NCAM1,CMYA5,-0.0155048035
TRIM58,CMYA5,-0.014059064
TAC3,CMYA5,-0.032175325
SP6,CMYA5,-0.06609727
TRIM61,CMYA5,-0.0327433
LGALS3,CMYA5,-0.15449476
NSUN7,CMYA5,-0.41372102
CPEB1,CMYA5,-1.2449272
SIAH1,CMYA5,-0.3891199
PJVK,CMYA5,-0.19525865
CDH22,CMYA5,-0.028047957
DOCK6,CMYA5,-0.16542837
MADCAM1,CMYA5,-0.4831511
CBFA2T3,CMYA5,-0.111094885
GNGT1,CMYA5,-0.23889165
S100A13,CMYA5,-0.044895325
C1orf50,CNTNAP5,-0.018082155
