gene,auprc_mean,auprc_std,prevalence_mean
ABCA12,0.1775061210687393,0.1382488257897978,0.0596913580246913
ABCA13,0.0919415872204964,0.0311548398451739,0.0896604938271604
ACACA,0.0790241529069171,0.0493241083951175,0.064753086419753
ADAMTS12,0.124618617379913,0.0534388044974458,0.0574074074074074
ADAMTS9,0.1000074264526729,0.0343975242507885,0.0597839506172839
ADCY2,0.0676099146720303,0.0084196546091165,0.0523765432098765
AHNAK,0.2159749569522916,0.1248004282975342,0.1022839506172839
AHNAK2,0.1409480684734611,0.0733865459023961,0.1146913580246913
AHR,0.1381044780902673,0.0427515115272431,0.0574074074074074
AKAP6,0.1306897371723584,0.0915044860274916,0.0647839506172839
AKAP9,0.1204131046323211,0.0508241323569309,0.1048148148148148
ALMS1,0.195295022312645,0.0286022318958946,0.0848148148148148
ANK1,0.1335364112093594,0.1105558374614345,0.0523765432098765
ANK2,0.1676247915643147,0.0666389588463214,0.104753086419753
ANK3,0.0705763410404292,0.0206657376781475,0.0823148148148148
ANKHD1,0.2013950263744883,0.1204771529140671,0.0723765432098765
ANKRD11,0.1739431437864487,0.1270067964749668,0.0598148148148148
ANKRD12,0.1313645423266327,0.0792607960780511,0.0523456790123456
APC,0.193939587396816,0.1264539645509135,0.0523765432098765
APOB,0.0897565800646035,0.0507422059840941,0.0697222222222222
ARHGAP32,0.1222281899867504,0.0995842752935378,0.0574382716049382
ARHGAP35,0.1768357947666316,0.096019968061092,0.0623765432098765
ARID1A,0.3194802007081166,0.0988171880600017,0.2542901234567901
ARID1B,0.1931088744130937,0.2680241351016231,0.054753086419753
ARID2,0.179937602257395,0.0737966295456266,0.074753086419753
ASH1L,0.1594789032587446,0.0991017955763482,0.0722839506172839
ASPM,0.0686446044091838,0.0411530372592618,0.0499074074074074
ASXL1,0.12903526422347,0.1330079105200608,0.0572839506172839
ASXL2,0.2197358409850946,0.121365602571234,0.0822222222222222
ATAD2,0.0714293099339812,0.0247589679641513,0.0548456790123456
ATAD5,0.1198161131123339,0.0502407670539967,0.0673765432098765
ATM,0.1735870942599143,0.0530953849424382,0.1322222222222222
ATR,0.1121258038923568,0.0267262872432913,0.0748148148148148
ATRX,0.0712636186348122,0.0574017100284029,0.0523456790123456
BAZ2B,0.0675161444804319,0.0426506179310606,0.062253086419753
BCLAF1,0.1425351066003218,0.1638688220527006,0.0548456790123456
BDP1,0.1291246019555691,0.0615277890686341,0.0772222222222222
BIRC6,0.1551446865743686,0.0647858181548222,0.1247222222222222
BPTF,0.118814866752912,0.1054322096448765,0.0623765432098765
BRCA2,0.1438241526266988,0.0734475301144895,0.0947839506172839
BRWD1,0.0786446872177843,0.052402723405184,0.0498456790123456
BSN,0.1559764327133306,0.0755629312818135,0.0648765432098765
C2orf16,0.1564698844187732,0.1113270016448331,0.0548148148148148
CACNA1A,0.1386057778649666,0.0753890556014219,0.0623148148148148
CCDC88A,0.1032107055339146,0.0392478680470646,0.0623765432098765
CDK12,0.0835753374090698,0.0492464745454225,0.0698148148148148
CDKN1A,0.2203404557025186,0.0710478413298395,0.0946913580246913
CDKN2A,0.1092331976273094,0.0577308741964245,0.067253086419753
CELSR3,0.1027528531641338,0.0404750966211081,0.0623456790123456
CEP350,0.1114674280668519,0.0713995705795109,0.0549382716049382
CHD2,0.1131892727885403,0.0625882897170096,0.0648765432098765
CHD4,0.1037391649512722,0.0760056439931801,0.0572839506172839
CHD6,0.0836626662653654,0.0288622431670035,0.0673765432098765
CHD7,0.1606545224120585,0.1170442022306221,0.072253086419753
CHD9,0.2178502743020237,0.1358027026800897,0.0498765432098765
CIT,0.175289287682673,0.1254124627312078,0.0572839506172839
CMYA5,0.0789340030065295,0.0390141299167138,0.052253086419753
CNOT1,0.151249621493248,0.1461109838289829,0.0499382716049382
CNTNAP2,0.186883401652849,0.1784376228591431,0.0572839506172839
COL11A1,0.1311543939320606,0.145527205300292,0.0623456790123456
COL12A1,0.0786761346268493,0.0454386921695097,0.0548148148148148
COL14A1,0.1129269021892968,0.0631600645845194,0.0598765432098765
COL22A1,0.1409174572500205,0.0639388093784524,0.0499382716049382
COL6A3,0.0941414354556636,0.0680285758011335,0.0648765432098765
COL6A6,0.1590983012296016,0.0819550624590112,0.0698148148148148
COL7A1,0.0967753625604663,0.051262407159783,0.072253086419753
CPD,0.0649584211008375,0.0486749678481673,0.0523765432098765
CREBBP,0.1553359843180443,0.0521824518710119,0.119753086419753
CSMD1,0.116884398449984,0.0690373553474027,0.0724074074074074
CSMD2,0.1433467379564114,0.0782262907502805,0.0724074074074074
CSMD3,0.169006901165873,0.0588793237508299,0.1347530864197531
CUBN,0.1481983114077963,0.0695439581858886,0.1220679012345679
DCC,0.1017162667087346,0.047536057037727,0.0649074074074074
DCHS2,0.1142319128248702,0.0458226753842742,0.0822222222222222
DIAPH2,0.1573813549383888,0.0967823544590608,0.0498148148148148
DIDO1,0.194522930244324,0.0715505543816813,0.082253086419753
DMD,0.1056849787028691,0.034558285565952,0.0872222222222222
DMXL1,0.1452255209147692,0.0753824534441523,0.0548456790123456
DMXL2,0.1110670968664515,0.070185161668258,0.0872839506172839
DNAH1,0.0925290164112027,0.0659124759495825,0.0623148148148148
DNAH10,0.1325367820145335,0.0400001297359242,0.0698765432098765
DNAH11,0.1348489954786445,0.0487668013552092,0.119753086419753
DNAH17,0.2191413681356578,0.1286131738429871,0.0873148148148148
DNAH2,0.0710002881254731,0.0214964235234254,0.0548765432098765
