feature,target,mean_shap
MTMR7,ABCA12,-0.009820121
CLDN19,ABCA12,-0.024791684
ESRP2,ABCA12,-0.0062574698
GPM6B,ABCA12,-0.014232334
MEOX2,ABCA12,-0.037340075
KRT10,ABCA12,-0.09349538
TG,ABCA12,-0.026924418
QRFP,ABCA12,-0.014867606
FAM76A,ABCA12,-0.019944435
RNASEL,ABCA12,-0.020403164
GJA5,ABCA12,-0.01695835
PTPRG,ABCA12,-0.023149036
GNG3,ABCA12,-0.011694261
LEP,ABCA12,-0.013099349
CKB,ABCA12,-0.008190535
KYNU,ABCA12,-0.014961031
SIPA1,ABCA12,-0.03949213
ALDH1A2,ABCA12,-0.013729982
APBB1IP,ABCA12,-0.07671079
RAB19,ABCA12,-0.103892356
BTNL8,ABCA12,-0.016780043
DDX3Y,ABCA12,-0.010063345
TMEM184B,ABCA12,-0.06806212
SMO,ABCA12,-0.01698869
MPC1L,ABCA12,-0.010709147
STXBP5L,ABCA12,-0.01045719
RAMACL,ABCA12,-0.0485987
PHF21B,ABCA12,-0.030927613
ZIK1,ABCA12,-0.08708541
COL28A1,ABCA12,-0.017116692
RWDD2B,ABCA12,-0.11369558
ZNF234,ABCA12,-0.02053472
ZNF599,ABCA12,-0.632941
IL4I1,ABCA12,-0.026261095
BNIP5,ABCA12,-0.05068542
ZNF26,ABCA12,-0.002020337
RBPMS2,ABCA12,-0.031349618
OPN3,ABCA12,-0.05168597
GNLY,ABCA12,-0.042566128
EIF3J,ABCA12,-0.020443983
WDR45,ABCA12,-0.02841185
B4GALT6,ABCA12,-0.04962964
RRAD,ABCA12,-0.016588703
MCF2L2,ABCA12,-0.065784514
SMN1,ABCA12,-0.008961232
SUPT7L,ABCA12,-0.019089185
MKS1,ABCA12,-0.042083036
CLPSL2,ABCA12,-0.06784967
CCL4L2,ABCA12,-0.03229555
SLC25A20,ABCA12,-0.011426403
RUFY2,ABCA12,-0.0062649352
HGSNAT,ABCA12,-0.03992688
CCNB2,ABCA12,-0.011067436
PAPPA2,ABCA12,-0.2806624
CBFA2T3,ABCA12,-0.0069354977
SLC38A7,ABCA12,-0.02353229
H2AJ,ABCA12,-0.057819493
C5orf58,ABCA12,-0.19012685
THUMPD2,ABCA12,-0.033958476
ETNK1,ABCA12,-0.012342411
CELA2B,ABCA12,-0.022328222
SPESP1,ABCA12,-0.016181512
KLHL26,ABCA12,-0.034414005
CSAG3,ABCA12,-0.12462352
FAM117A,ABCA12,-0.019367103
MALSU1,ABCA12,-0.017293751
TMEM168,ABCA12,-0.04538613
HM13,ABCA12,-0.037215
ERMN,ABCA12,-0.018975092
SLC7A11,ABCA12,-0.021657068
PPP2R5B,ABCA12,-0.03047372
CLEC18B,ABCA12,-0.02413619
EXTL2,ABCA12,-0.059799038
CDHR1,ABCA12,-0.04210249
PROK1,ABCA12,-0.029329844
STXBP3,ABCA12,-0.030164743
PRR9,ABCA12,-0.016359253
MATK,ABCA12,-0.037142906
ZNF562,ABCA12,-0.0018606756
SMIM10L1,ABCA12,-0.023554182
GRIN1,ABCA12,-0.018878622
ZFP69B,ABCA12,-0.045827948
FBXO39,ABCA12,-0.024851814
ARID5A,ABCA12,-0.019598095
DMRT2,ABCA12,-0.038208105
PPIL2,ABCA12,-0.023241512
KLHL17,ABCA12,-0.026337802
NDUFA1,ABCA12,-0.010106899
NAT8L,ABCA12,-0.027187098
TMEM70,ABCA12,-0.018568752
OTUD1,ABCA12,-0.012831187
COX6A1,ABCA12,-0.012348516
MAP3K8,ABCA12,-0.0901721
TSR2,ABCA12,-0.0072388663
LIN28B,ABCA12,-0.031234987
HPN,ABCA12,-0.010449836
MRPS34,ABCA12,-0.08776863
RFLNB,ABCA12,-0.041103672
PDZD2,ABCA12,-0.007167338
MTLN,ABCA12,-0.026472442
PSD3,ABCA12,-0.02342174
METTL3,ABCA12,-0.026880952
MBNL3,ABCA12,-0.02659443
HSP90AA1,ABCA12,-0.03330423
CGB5,ABCA12,-0.04209783
FNDC3B,ABCA12,-0.024918083
FDCSP,ABCA12,-0.06779758
FAM120C,ABCA12,-0.02761826
COA4,ABCA12,-0.112971015
ZFP28,ABCA12,-0.017938416
DPP6,ABCA12,-0.025503846
PARD3,ABCA12,-0.023433326
LYPLAL1,ABCA12,-0.0064779376
SV2C,ABCA12,-0.042510945
EFHD1,ABCA12,-0.009679587
TRIM54,ABCA12,-0.038717773
MAGEB16,ABCA12,-0.032998797
APBA3,ABCA12,-0.01794392
MYNN,ABCA12,-0.0034082385
NPRL3,ABCA12,-0.06479095
RELL2,ABCA12,-0.08992946
CA13,ABCA12,-0.018802036
KRT83,ABCA12,-0.040615305
SHPK,ABCA12,-0.014927727
BBS5,ABCA12,-0.027549854
ACOT1,ABCA12,-0.014555707
DONSON,ABCA12,-0.07458949
TSHZ1,ABCA12,-0.06549041
IFNE,ABCA12,-0.031177588
CCDC167,ABCA12,-0.0033822518
ZNF608,ABCA12,-0.018428834
BTBD8,ABCA12,-0.10570228
LYPD6,ABCA12,0.0005584626
SLC15A1,AHNAK,-0.0024278096
CST8,AHNAK,-0.004896254
LACC1,AHNAK,-0.008634829
ELMO2,AHNAK,-0.011802893
MOBP,AHNAK,-0.0016015022
ANKRD54,AHNAK,-0.014154377
SMC1A,AHNAK,-0.003528113
SYTL2,AHNAK,-0.084948145
MAP3K13,AHNAK,-0.012171587
ITGB8,AHNAK,-0.010982527
TGFBR3L,AHNAK,-0.020430813
GFPT1,AHNAK,-0.003058961
CCDC88B,AHNAK,-0.010587874
MB,AHNAK,-0.010619643
IL6ST,AHNAK,-0.008734401
GAL3ST2,AHNAK,-0.012150113
BARHL1,AHNAK,-0.019438416
EIF1AY,AHNAK,-0.009215755
L3MBTL2,AHNAK,-0.07248254
KIR2DL1,AHNAK,-0.083176106
TRIM49B,AHNAK,-0.010803699
NEIL3,AHNAK,-0.036722764
APOBEC3A,AHNAK,-0.04658749
PDXP,AHNAK,-0.004520581
ITPKC,AHNAK,-0.008141676
PLCD3,AHNAK,-0.028487865
CTRC,AHNAK,-0.027419759
ABCC4,AHNAK,-0.0120169865
RAB9A,AHNAK,-0.022225868
P2RX5,AHNAK,-0.012750247
UTP18,AHNAK,-0.016016807
PRTG,AHNAK,-0.0129129095
ADD3,AHNAK,-0.026326831
EXT2,AHNAK,-0.005843749
FABP7,AHNAK,-0.008412099
ZNF573,AHNAK,5.328486e-05
CSNKA2IP,AHNAK,-0.0164224
AZIN1,AHNAK,-0.006010474
EPB41L4B,AHNAK,-0.017572774
CDH24,AHNAK,-0.032896172
PTX4,AHNAK,-0.02032878
METTL18,AHNAK,-0.02457383
IFNAR1,AHNAK,-0.0043190406
EPS8L2,AHNAK,-0.02444855
KIF26A,AHNAK,-0.008380114
CCN2,AHNAK,-0.028669536
TEX52,AHNAK,-0.0064870417
CYP4F8,AHNAK,-0.014859002
IGFBP6,AHNAK,-0.036151618
KLB,AHNAK,-0.01994089
CNFN,AHNAK,-0.015552435
CLBA1,AHNAK,-0.012072297
TBCEL-TECTA,AHNAK,-0.007893424
ABLIM3,AHNAK,-0.02195456
ABCC3,AHNAK,-0.02001959
