gene,auprc_mean,auprc_std,prevalence_mean
CDH1,0.4105452136918793,0.0246343611435104,0.1272704714640198
DMD,0.1238805527206713,0.0673615219959796,0.0513895781637717
FLG,0.0985167085658103,0.0563653565423933,0.0552770885028949
GATA3,0.3931661337172205,0.1867311363828213,0.1207940446650124
HMCN1,0.0694331510520036,0.0123205066524183,0.0552522746071133
KMT2C,0.1950747740000422,0.0350491287703211,0.0990074441687345
MAP3K1,0.2955953069654183,0.108631955709841,0.0848552522746071
MUC16,0.1106053181837766,0.0236562030273612,0.0989164598842018
PIK3CA,0.5609300516902177,0.061269105221575,0.3457899090157154
PTEN,0.0784806042086364,0.0380877739563673,0.0603970223325062
RYR2,0.1112625075294347,0.0587753217235564,0.0578329197684036
SPTA1,0.1096903235420393,0.0541469397613278,0.0540033085194375
SYNE1,0.121240744529606,0.0355701660084537,0.0629776674937965
TP53,0.8153934432870467,0.0500917078993581,0.3341025641025641
TTN,0.2498016731244426,0.0507809169917045,0.1709346567411083
USH2A,0.1762374118409164,0.1203585983902794,0.052671629445823
