feature,target,mean_shap
CTNNA1,CDH1,-0.001817714
KAT6A,CDH1,-0.00087409007
RRH,CDH1,-0.0005327808
STK17B,CDH1,-0.008040451
SPTAN1,CDH1,-0.00464081
ALG14,CDH1,-0.0029691467
MON2,CDH1,-0.0010124344
NAGA,CDH1,-0.003999092
CAND2,CDH1,-0.004289305
CDC40,CDH1,-0.02762159
GDF6,CDH1,-0.0031936886
CLTRN,CDH1,-0.0062942724
ITPRIPL2,CDH1,-0.0019657956
MT-ND4,CDH1,0.00016358923
GLP1R,CDH1,-0.0026767042
ZNF737,CDH1,-0.001218171
AP000356.5,CDH1,-0.00031661373
POU5F1B,CDH1,-0.0015292426
ZNF91,CDH1,0.00081166945
SMIM7,CDH1,-0.0009933821
MS4A7,CDH1,-0.008795641
ORM1,CDH1,-0.00093989406
TMEM154,CDH1,-0.0018004967
PRAG1,CDH1,-0.037428413
CCDC182,CDH1,-0.011503273
GTF2H2,CDH1,-0.0105716735
AIFM2,CDH1,-0.011013492
NOSTRIN,CDH1,-0.11609795
LRP8,CDH1,-0.004682285
FADS2,CDH1,-0.05951714
ZNF648,CDH1,-0.0035211737
PERP,CDH1,-0.0075803804
STK17A,CDH1,-0.0026114655
EVPL,CDH1,-0.004562069
NEURL4,CDH1,-0.018111195
SURF4,CDH1,-0.008155802
FUZ,CDH1,-0.016384175
DNAJC15,CDH1,-0.00582688
ST8SIA2,CDH1,-0.0068950923
RAD51AP2,CDH1,-0.0019664266
HAO2,CDH1,-0.00039022588
LINC00672,CDH1,-0.007506968
PKDREJ,CDH1,-0.005157548
NKX2-2,CDH1,-0.0076012365
SPATA24,CDH1,-0.012137747
VEGFD,CDH1,-0.002125205
ZNF639,CDH1,-0.01160857
IFITM10,CDH1,-0.004301149
JADE2,CDH1,-0.007722613
STX11,CDH1,-0.020988766
CYP4F8,CDH1,-0.014360754
AGAP3,CDH1,-0.001394403
ART1,CDH1,-0.0034995566
MTTP,CDH1,0.0027648348
MASP1,CDH1,-0.00696845
SIGLEC8,CDH1,-0.010965753
AQP4,CDH1,-0.010427757
FBXW12,CDH1,-0.006316025
FHIT,CDH1,-0.009338176
RNASE3,CDH1,-0.008514595
PPP6R1,CDH1,-0.007873749
ASB14,CDH1,-0.0071487413
FBLL1,CDH1,-0.009660027
CD109,CDH1,-0.013849149
COQ3,CDH1,-0.010940128
DCDC2,CDH1,-0.00092511595
TKTL1,CDH1,-5.3540058e-05
SLC4A8,CDH1,-0.03485026
GPR15,CDH1,-0.002020069
KIAA0319,CDH1,-0.100437
NR2F1,CDH1,-0.025039284
ZNF823,CDH1,-0.0038950644
MT1X,CDH1,-0.002946554
EMB,CDH1,-0.004070436
ERAP2,CDH1,-0.009851435
JCHAIN,CDH1,-0.0048283096
PLEKHG4B,CDH1,-0.0065533672
B3GNT4,CDH1,-0.0050904765
SMOX,CDH1,-0.013294608
MKNK2,CDH1,-0.010105462
PMM1,CDH1,-0.0038332331
PCDHA2,CDH1,-0.005230574
WFDC10B,CDH1,-0.0001889946
KRT75,CDH1,-0.079749756
MED12L,CDH1,-0.0040509966
HLF,CDH1,-0.013918926
EEF1AKNMT,CDH1,-0.0039725173
CROT,CDH1,-0.007888076
CCDC22,CDH1,-0.0044385744
COLEC11,CDH1,-0.010468118
