gene,auprc_mean,auprc_std,prevalence_mean
ABCA12,0.2409178706296575,0.2090868678718756,0.0642857142857142
ABCA13,0.2607312653070767,0.2529151123753392,0.0607142857142857
AHNAK,0.2423494253013703,0.1293252052078448,0.0571428571428571
AHNAK2,0.122129063761156,0.0494906790711181,0.0785714285714285
ALMS1,0.2275368534074139,0.1781925938596526,0.0571428571428571
ALPK2,0.2287745539061328,0.1913569290166259,0.0535714285714285
ANK2,0.2672912885662432,0.2009191526593404,0.0642857142857142
ANK3,0.1907445250827603,0.1116335038045165,0.0571428571428571
APOB,0.1348874362452505,0.0727372677416885,0.0571428571428571
ARID1A,0.4240182017405,0.2272054544292507,0.0642857142857142
ASPM,0.1297484094704539,0.0979017409480526,0.05
ATRX,0.1787467757492785,0.117715881098304,0.0571428571428571
BIRC6,0.1976215099513249,0.1663738506029534,0.0535714285714285
BOD1L1,0.1324252104213729,0.0662481802643945,0.0571428571428571
BRWD1,0.1063164668050402,0.0751788737084633,0.05
BRWD3,0.1031686426132667,0.0394023995119208,0.0607142857142857
BSN,0.2852469902507778,0.2271325965763485,0.0678571428571428
CDK12,0.1811248663143079,0.1277618892226031,0.0607142857142857
CELSR1,0.1838169442175619,0.125584225253939,0.0571428571428571
CHD6,0.2022857657962735,0.1530273879246458,0.0607142857142857
CHD7,0.1015597243617805,0.0378481379498508,0.0714285714285714
COL6A3,0.16893528394518,0.129822298132044,0.0535714285714285
CREBBP,0.2178175657151764,0.2207768519064081,0.0785714285714285
CSMD1,0.2010042744755938,0.1129686454875353,0.1
CSMD3,0.3027444280160383,0.2266837905429243,0.0678571428571428
CUBN,0.2024273161978682,0.1655514359049688,0.0678571428571428
DCHS1,0.1239123197943073,0.0355990851536818,0.0607142857142857
DMD,0.3011532936697479,0.1242552749001954,0.1214285714285714
DMXL2,0.1038561436202945,0.1403461210609629,0.0535714285714285
DNAH10,0.2369538564350728,0.0850579491577386,0.0571428571428571
DNAH11,0.1771711896228024,0.1460197274370503,0.05
DNAH2,0.3058630069301968,0.255457216018136,0.0714285714285714
DNAH6,0.184480289455435,0.0884330141677131,0.075
DNAH8,0.1940967862000693,0.0968611244877758,0.0642857142857143
DNAH9,0.195700216384016,0.2307995550511608,0.0571428571428571
DOCK11,0.3730371700523156,0.2357982713653554,0.0571428571428571
DSP,0.2039837305336059,0.1942151728839162,0.0535714285714285
DST,0.1626107562426069,0.0780028734895649,0.0785714285714285
DYNC1H1,0.1683772994871196,0.1080227845840091,0.0607142857142857
EP300,0.2719456029909455,0.0996842432296189,0.1214285714285714
ERBB3,0.1032791494112248,0.0759517598557548,0.0535714285714285
EYS,0.2064943220990248,0.1923568604511337,0.0821428571428571
FAT1,0.1250925910292344,0.0472121454375776,0.0714285714285714
