feature,target,mean_shap
AHCY,ABCA12,-0.0077301254
HARS1,ABCA12,-0.017887902
YBX2,ABCA12,-0.0123630045
FBXO27,ABCA12,-0.009956212
KRT33B,ABCA12,-0.09750726
GDPGP1,ABCA12,-0.017161176
ADGRV1,ABCA12,-0.6065994
CLDN2,ABCA12,-0.035905007
ZSCAN2,ABCA12,-0.11401407
PLEKHB1,ABCA12,-0.010615684
SP9,ABCA12,-0.084853604
C2CD4B,ABCA12,-0.027002206
KCNT2,ABCA12,-0.01909717
ATP2C2,ABCA12,-0.03673963
REEP4,ABCA12,-0.01036287
KRTDAP,ABCA12,-0.031933684
RNF39,ABCA12,-0.030102791
MYO19,ABCA12,-0.011612442
CRIM1,ABCA12,-0.0419274
HSPB9,ABCA12,-0.0077644945
CLEC18A,ABCA12,-0.020912692
IL21,ABCA12,-0.057271693
ESYT3,ABCA12,-0.028439606
NTSR1,ABCA12,-0.013402556
PADI2,ABCA12,-0.14304939
CHFR,ABCA12,-0.316679
GABPB1,ABCA12,-0.038199797
C9,ABCA12,-0.01535792
OGT,ABCA12,-0.027399382
TMPRSS9,ABCA12,-0.024707736
PECR,ABCA12,-0.024746068
KRT80,ABCA12,-0.031227333
PAIP2B,ABCA12,-0.025958614
H2BC5,ABCA12,-0.031964704
ARHGEF9,ABCA12,-0.01862392
FOXB1,ABCA12,-0.020817805
LMF1,ABCA12,-0.019244742
ZBTB44,ABCA12,-0.022900803
GJB7,ABCA12,-0.020281702
SRCIN1,ABCA12,-0.054669503
EDN2,ABCA12,-0.027078366
KCND3,ABCA12,-0.16026431
OVOL2,ABCA12,-0.008276098
CXCL13,ABCA12,-0.22117145
HPGDS,ABCA12,-0.017105771
DMAC2,ABCA12,-0.016517527
GYG2,ABCA12,-0.051162068
NAIP,ABCA12,-0.03790374
SLURP2,ABCA12,-0.042171884
LRAT,ABCA12,-0.035183262
NEO1,ABCA12,-0.060629115
PRR15L,ABCA12,-0.017454458
SOCS6,ABCA12,-0.0018864125
LDHC,ABCA12,-0.012129588
CLTB,ABCA12,-0.025120255
PLK5,ABCA12,-0.009736237
IGSF9B,ABCA12,-0.003694616
SLC22A9,ABCA12,-0.018366657
TRNAU1AP,ABCA12,-0.0468337
MYO3B,ABCA12,-0.32744455
DCST1,ABCA12,-0.04485951
CDS1,ABCA12,0.00076096045
C11orf91,ABCA12,-0.028729903
SYNE4,ABCA12,-0.006449708
ERMN,ABCA12,-0.026319716
ARHGAP23,ABCA12,-0.04119986
ACAD10,ABCA12,-0.025410874
CYYR1,ABCA12,-0.031284403
IL18R1,ABCA12,-0.018455867
PAX7,ABCA12,-0.018092556
RALA,ABCA12,-0.014864757
OR56B2P,ABCA12,-0.041634414
CFAP97D1,ABCA12,-0.02452788
GOT2,ABCA12,-0.02538764
CDH16,ABCA12,-0.028688414
IDH3A,ABCA12,-0.03868324
KLHL10,ABCA12,-0.023365762
NOS2,ABCA12,-0.03874129
CFAP100,ABCA12,-0.05647891
EIF2B4,ABCA12,-0.048712067
PEX6,ABCA12,-0.025352309
PLA2G2F,ABCA12,-0.03593709
TTC14,ABCA12,-0.03873952
PTGER4,ABCA12,-0.035918973
MTTP,ABCA12,-0.25934598
DBNDD1,ABCA12,-0.023856277
ADPRHL1,ABCA12,-0.020089185
LRRC10B,ABCA12,-0.018293079
SLC15A1,ABCA12,-0.04067717
IFI27L1,ABCA12,-0.009266826
FJX1,ABCA12,-0.027303044
PLD3,ABCA12,-0.04504642
KBTBD11,ABCA12,-0.022527795
BFSP1,ABCA12,-0.14736676
C5AR2,ABCA12,-0.0071950974
PACC1,ABCA12,-0.1513973
SH3BP1,ABCA12,-0.071897976
FBLN7,ABCA12,-0.011725556
MLLT6,ABCA12,-0.0671458
NLRP7,ABCA12,-0.038999602
SKIL,ABCA13,-0.049039368
DNAH11,ABCA13,-0.024485623
NKX6-1,ABCA13,-0.09877324
PLPPR4,ABCA13,-0.010911849
NUTM2D,ABCA13,-0.027965432
ASAH2,ABCA13,-0.011490407
CLCN3,ABCA13,-0.013169006
SYNDIG1,ABCA13,-0.046844024
NR5A2,ABCA13,-0.014365965
KCNK15,ABCA13,-0.013192615
ERC2,ABCA13,-0.053457752
APOBEC3C,ABCA13,-0.039899517
AJAP1,ABCA13,-0.06543395
ACP7,ABCA13,-0.018557804
FAM162B,ABCA13,-0.033365466
CEACAM3,ABCA13,-0.07760648
PRODH,ABCA13,-0.04974876
SLC16A13,ABCA13,-0.21739736
EMCN,ABCA13,-0.0859409
PODN,ABCA13,-0.014226222
ZFP28,ABCA13,-0.027685573
ZNF586,ABCA13,-0.0501893
H3-3A,ABCA13,-0.0104665365
COL2A1,ABCA13,-0.028621744
ARAP2,ABCA13,-0.01987318
C1orf115,ABCA13,-0.04866646
VNN3,ABCA13,-0.09436734
CADM1,ABCA13,-0.019252814
SLC31A2,ABCA13,-0.08097175
SLC24A4,ABCA13,-0.037140917
GSTM5,ABCA13,-0.024551533
RNF141,ABCA13,-0.031178007
ZNF462,ABCA13,-0.24956134
GJC3,ABCA13,-0.034977693
