feature,target,mean_shap
SPATA20,ABCA13,-3.0462513
ST6GAL1,ADAM30,-2.8365638
CXorf58,AHNAK,-0.12918101
SLC49A3,AHNAK,-0.11924828
CSTA,AHNAK,-0.18892969
AP2M1,AHNAK,-0.57515216
MED9,AHNAK,-0.5062997
KLK14,AHNAK,-0.11021204
SSH3,AHNAK,-0.10200343
CALM3,AHNAK,-0.17427194
COL4A4,AHNAK,-0.50557476
RHCG,AHNAK,-0.49207988
HACD4,ALB,-2.8365638
SCHIP1,ANK2,-3.0462513
TMEM179B,APOB,-3.0462513
KCTD15,ARAF,-3.0462513
LONRF3,ARFGAP2,-3.0462513
MT2A,ARID1A,-2.6281862
CD81,ATAD5,-3.0462513
ECHDC1,ATP13A3,-3.0462513
NPIPB15,BAP1,-0.013997095
IFT46,BAP1,-0.027881632
AC010325.1,BAP1,-0.042765938
LGI4,BAP1,-0.0069738063
WRAP73,BAP1,-0.058852
TMEM132D,BAP1,-0.023260321
TMEM254,BAP1,-0.015120959
SPOCK3,BAP1,-0.0030884505
SLC38A11,BAP1,-0.19077294
RARG,BAP1,-0.07335042
GVQW3,BAP1,-0.05555259
BMP4,BAP1,-0.062611766
TMEM97,BAP1,-0.34347674
C11orf80,BAP1,-0.22777821
SYK,BAP1,-0.56362283
GTF2H4,BAP1,-0.35177028
TUBA3D,BCL3,-3.0462513
MRPL43,BIRC6,-2.8365638
WDR27,C11orf52,-3.0462513
RHOQ,C3,-3.0462513
SPNS2,CALCR,-3.0462513
GPI,CCNB3,-3.0462513
CNGB1,CDKN2A,-3.0462513
ZNF430,CHAMP1,-3.0462513
CABP1,CHD7,-0.41503763
SCN2A,CHD7,-0.33390877
C1orf21,CHD7,-0.2887543
ASRGL1,CHD7,-0.25805712
DNAJA4,CHD7,-0.23458833
HIF3A,CHD7,-0.21522209
TESC,CHD7,-0.19839375
PTPA,CHD7,-0.3074208
PIK3R1,CHD7,-0.3035329
DPM2,CHD7,-0.30151543
F8A3,CNTN2,-3.0462513
RPS12,COL6A3,-2.8365638
CSPG5,COL7A1,-3.0462513
XYLB,CSMD2,-3.0462513
TMEM179B,DAPK1,-3.0462513
ZNF3,DDB2,-3.0462513
BNIP3L,DNAH17,-3.0462513
C2orf78,DNAH2,-3.403774
DPPA5,DNAH5,-3.0462513
PDE6G,DNAH6,-3.0462513
CHKA,DNAH8,-3.0462513
MANBA,DOCK10,-3.0462513
AP2A1,DOCK2,-3.0462513
NEURL2,ELF3,-3.0462513
ARRDC2,EP400,-3.0462513
FAM107B,EPHA2,-2.6281862
CCDC43,ERBB2,-3.0462513
KASH5,FAM184A,-3.0462513
PTAR1,FBN2,-3.0462513
RILP,FBN3,-3.0462513
HIF3A,FGFR2,-2.8365638
RGS9BP,FMN2,-2.8365638
NKX6-2,GBF1,-3.0462513
FAM240A,GLG1,-3.0462513
TPM2,GRIK2,-3.0462513
STS,GSDMA,-3.0462513
IRAK1BP1,HMGCL,-3.0462513
PPP1R18,IDH1,0.0011221826
CASP9,IDH1,-0.10650173
BNIP2,IDH1,-0.26005626
ZNF555,IDH1,-0.36840636
AHNAK2,IDH1,-0.3677435
SPAG16,IDH1,-0.7640025
C13orf46,IDH1,-0.4676821
FBXL14,IDH1,-0.13231604
QPRT,IDH2,-3.0462513
TMEM260,IRS1,-3.0462513
SETD1B,ITPR2,-3.0462513
SCARA5,KEAP1,-3.0462513
SCD5,KIF1B,-3.0462513
SPRYD4,KMT2C,-2.6281862
RBPJL,KRAS,-3.0462513
CLIP1,LAMA1,-3.0462513
EIF2D,LAMA3,-3.0462513
MARCKSL1,LEO1,-3.0462513
ELAPOR2,LRP1,-2.8365638
NTN1,LRP1B,-3.0462513
POGLUT1,MAGEA1,-3.0462513
FPR3,MAGED1,-3.0462513
ZNF628,MLXIPL,-3.0462513
NSMAF,MME,-3.0462513
UBE2L3,MPDZ,-2.8365638
BNIP3,MUC16,-0.10620269
DGKG,MUC16,-0.27662203
APELA,MUC16,-0.13240692
AL139011.2,MUC16,-0.74183065
LGALS4,MUC16,-0.22724134
DEFB132,MUC16,-0.31187373
GPX2,MUC16,-0.13260724
ERICH4,MUC16,-0.18127905
