gene,auprc_mean,auprc_std,prevalence_mean
A2ML1,0.5002210823480794,0.1616122218399547,0.1010889292196007
ABCA1,0.2887060035388581,0.116486554182778,0.0977616454930429
ABCA12,0.441956875184362,0.2725744068442443,0.0906231094978826
ABCA13,0.3702245631970257,0.123652786907893,0.1881427707199032
ABCA2,0.4071695697880605,0.177812500702521,0.1046581972171808
ABCA4,0.4446113473104748,0.1633628576265654,0.1046581972171808
ABCB1,0.353104654117812,0.0431991207420568,0.0767695099818511
ABI3BP,0.2462795319759605,0.1824777684504948,0.0767090139140955
ACACA,0.3139041792757374,0.1290943866878325,0.0837265577737447
ACACB,0.343364467823633,0.1410518362634503,0.090562613430127
ACAN,0.3593351202861328,0.1849972679130327,0.0978826376285541
ACVR2A,0.3641912196686633,0.1416877436823588,0.0906836055656382
ADAMTS16,0.217197344945469,0.1295507072901701,0.0940713853599516
ADAMTS18,0.2783085297601427,0.0995805921084444,0.0837870538415003
ADAMTS2,0.387029129889446,0.194424156342499,0.1010889292196007
ADAMTS20,0.3760474768198553,0.222649222969552,0.0872958257713248
ADAMTSL3,0.3167564470451047,0.184452552330156,0.090562613430127
ADCY8,0.2392538394687856,0.1078046936641634,0.0801572897761645
ADGB,0.4177302649664341,0.1523080686099551,0.0837265577737447
AFF2,0.3482700191731472,0.102930709481761,0.0870538415003024
AHNAK,0.4421566178980488,0.2546086425437854,0.1256503327283726
AHNAK2,0.3955176000011922,0.1481533621826612,0.1464609800362976
AKAP12,0.4077812255161769,0.1930112326248617,0.1080459770114942
AKAP13,0.4488099863099862,0.294946219538122,0.0837265577737447
AKAP6,0.3716057158927152,0.2056837090253846,0.0908045977011494
AKAP9,0.3648372371761257,0.1485822921889174,0.1010889292196007
ALMS1,0.3610335487151038,0.2196436641558309,0.0870538415003024
AMER1,0.2804475883020982,0.1443056645334406,0.152994555353902
ANK2,0.4503367590476791,0.1327879004274499,0.1324258923169994
ANK3,0.5447128362333883,0.2542438309625559,0.1532365396249244
ANKRD11,0.4655919406171366,0.1826609803814192,0.1045372050816697
APC,0.883397420673296,0.0405601177597498,0.7352087114337569
APOB,0.3416015566110272,0.236421359552184,0.1186327888687235
ARAP2,0.2602790945847116,0.0835825048817444,0.0803387779794313
ARFGEF1,0.2846474694497682,0.1979567857223205,0.0906836055656382
ARHGAP31,0.2726357902184829,0.0810321416358097,0.0836660617059891
ARHGAP35,0.2115197698420724,0.1066426941080221,0.0802782819116757
ARHGEF17,0.42282384586032,0.1732963803041298,0.07664851784634
ARID1A,0.4014831455453575,0.2020197415809792,0.1428917120387174
ARID1B,0.548438144889758,0.2721924303389195,0.0942528735632183
ARID2,0.3793850142621151,0.1405847785838836,0.0869933454325468
ASH1L,0.4511843885961532,0.1384606658983719,0.104476709013914
ASPM,0.4010485475272617,0.0957616986136841,0.1186327888687235
ASXL1,0.3381656172491708,0.068416989738894,0.0837870538415003
ATG2A,0.3007496226634157,0.12867932811641,0.0907441016333938
ATM,0.4097193727619915,0.1573877853785595,0.146400483968542
ATP10A,0.2621403885188648,0.0738310920349374,0.1079854809437386
ATRX,0.3743842547757507,0.1982392018896545,0.0940713853599516
BCL9,0.2965695747514592,0.1715711947734818,0.1045372050816696
BCL9L,0.4395564521403464,0.2479984651779559,0.1044162129461585
BCOR,0.4218504082692547,0.240854675408998,0.0906231094978826
BCORL1,0.3595361503575789,0.1180174699272538,0.0906231094978826
BIRC6,0.4771366751506094,0.1363337472262496,0.1012099213551119
BMPR2,0.5327797513045961,0.1400483164587448,0.1114942528735632
BNC2,0.392273954925229,0.2663120052436848,0.1045977011494252
BRAF,0.6847850877979113,0.1617495290431199,0.1673926194797338
BRCA2,0.27974885106793,0.145219413272063,0.0942528735632183
BRWD3,0.282464972964941,0.1532678954038706,0.104476709013914
BSN,0.4027196812600273,0.137866097309613,0.132486388384755
CACNA1A,0.4627780067629589,0.1696096475118318,0.1079854809437386
CACNA1B,0.3585569655400139,0.0928772327557908,0.1150030248033877
CACNA1C,0.4210372766768115,0.2015888846745999,0.1012704174228675
CACNA1D,0.4004792008123926,0.1877386089231571,0.0907441016333938
CACNA1E,0.3579114099385602,0.0394381565455838,0.1465214761040532
CACNA1G,0.2227916921283563,0.0886674034857034,0.0767090139140955
CACNA1H,0.4222103300407268,0.1479052405139721,0.1466424682395644
CARD11,0.3680793444509612,0.1870559535188024,0.0802782819116757
CASZ1,0.4352226292226292,0.1294531745739979,0.0767090139140955
CCDC168,0.3980927808574866,0.2473992816922549,0.0870538415003024
CD93,0.2979773771867375,0.1470894195846534,0.0766485178463399
CDH10,0.3050136010569578,0.075011965874328,0.1010889292196007
CDH23,0.3738074525268657,0.181194531657562,0.1010889292196007
CDH4,0.3466986254486254,0.1088807940513286,0.0802177858439201
CDH9,0.1997279343771545,0.1118932873060932,0.0941923774954628
