feature,target,mean_shap
HLTF,A2ML1,-0.0018737409
CES4A,A2ML1,-0.024769517
MCAT,A2ML1,-0.001490682
CCNJL,A2ML1,-0.027636249
TFF1,A2ML1,-0.005821218
PPP1R14D,A2ML1,0.002344008
TNFSF9,A2ML1,-0.05984475
CCR4,A2ML1,0.0024363897
NXPH4,A2ML1,-0.104066454
ARTN,A2ML1,-0.02499252
TMEM176B,A2ML1,-0.10820416
CHST12,A2ML1,-0.03759617
KIR2DL4,A2ML1,-0.016805701
EAF1,A2ML1,-0.0046803653
TFAP2C,A2ML1,-0.012376298
SLC66A3,A2ML1,-0.06695984
POLD4,A2ML1,-0.0071802237
HHIP,A2ML1,-0.17411481
CLCN1,A2ML1,-0.0139945205
FCN1,A2ML1,-0.028400667
IL20RA,A2ML1,-0.00015912224
IFIT1,A2ML1,-0.0042112814
L3MBTL4,A2ML1,-0.0014610641
CDAN1,A2ML1,-0.0036587038
RPS27L,A2ML1,-0.012506154
GPR37,A2ML1,-0.017258143
SETSIP,A2ML1,-0.0070729656
NPFFR1,A2ML1,-0.06580084
POLR1H,A2ML1,-0.008017373
LAG3,A2ML1,-0.1524117
KLHL34,A2ML1,-0.017974425
AC004922.1,A2ML1,-0.029447267
METTL11B,A2ML1,-0.04809978
C7orf50,A2ML1,-0.14273135
FCGR3A,A2ML1,-0.029320218
YOD1,A2ML1,-0.010426913
MDFI,A2ML1,-0.013330875
LDHB,A2ML1,-0.0434429
MSRA,A2ML1,-0.012946767
RHOXF1,A2ML1,-0.0035672083
PTCHD1,A2ML1,-0.034584213
FOXP2,A2ML1,-0.009671859
HLA-E,A2ML1,-0.064540334
EFNA2,A2ML1,-0.010714156
ZMAT3,A2ML1,-0.010047367
HRAS,A2ML1,-0.018649746
IFNL1,A2ML1,-0.014175422
TSR1,A2ML1,-0.069320224
CD244,A2ML1,-0.024269678
PROC,A2ML1,-0.13906482
PTPRN2,A2ML1,-0.016139576
ACSL4,A2ML1,-0.011884469
HOXC6,A2ML1,-0.018548189
LGI4,A2ML1,-0.21229428
ZNF185,A2ML1,-0.00990427
SLCO1C1,A2ML1,-0.0018491957
RMDN1,A2ML1,-0.054376926
RANBP17,A2ML1,-0.004722228
PLA2G2A,A2ML1,-0.011968159
RHPN1,A2ML1,-0.009094188
OAF,A2ML1,-0.055546097
SHMT2,A2ML1,-0.055065487
GALNT12,A2ML1,-0.014268483
PARD6G,A2ML1,-0.004102318
CER1,A2ML1,-0.020172087
MID2,A2ML1,-0.012044042
EXOSC8,A2ML1,-0.00789361
SLC2A14,A2ML1,-0.018152058
CTSW,A2ML1,-0.0129766865
