gene,auprc_mean,auprc_std,prevalence_mean
ABCA12,0.1949819624819624,0.100993975792356,0.0640336134453781
ABCA13,0.1269480631375792,0.0662155063574136,0.0642016806722689
ANK3,0.563041403041403,0.2792062957245165,0.0581512605042016
ANKRD30A,0.1443800524445685,0.0476706141025222,0.0642016806722689
APOB,0.0992948930279525,0.0724299626875747,0.0697478991596638
ARID1A,0.1993093711843712,0.1096915413703735,0.0700840336134453
ASXL3,0.1301550765233629,0.0542348764360427,0.0640336134453781
BRINP1,0.0947127525252525,0.038887466871056,0.0526050420168067
CDH11,0.1028151194189797,0.028011451081876,0.0704201680672269
CDH7,0.1238748430406645,0.0712623138723368,0.0578151260504201
CDKN2A,0.168542325192867,0.0858904148780088,0.0821848739495798
CNTNAP5,0.1868268636892863,0.0653510841817706,0.0927731092436974
COL11A1,0.2077878557219989,0.170361678774431,0.0927731092436974
COL12A1,0.2332133673000545,0.0986904664292897,0.0695798319327731
COL6A3,0.1572916666666666,0.0364867681469739,0.0527731092436974
COL6A5,0.0957576198499119,0.0567339508379555,0.0756302521008403
CSMD1,0.2277952213379778,0.1926667376898389,0.1102521008403361
CSMD3,0.2103766968898654,0.0951286450296756,0.1981512605042016
CUBN,0.1532417582417582,0.1144764596584834,0.0695798319327731
DCC,0.1909683498090939,0.1768089517806991,0.0636974789915966
DCDC1,0.1539818691844554,0.1361255030141725,0.0816806722689075
DCHS2,0.147499011806314,0.0902032630599665,0.081344537815126
DIDO1,0.1101259822394114,0.0494077294571995,0.0522689075630252
DMD,0.2052839194679801,0.0939416233607332,0.0638655462184874
DNAH10,0.1425734396322631,0.0828160419789692,0.0694117647058823
DNAH11,0.2759676720929917,0.225093779802457,0.0697478991596638
DNAH14,0.162079281616366,0.149464106729113,0.081344537815126
DNAH3,0.2735760974595791,0.1909372173536553,0.0579831932773109
DNAH5,0.2431893207524949,0.1452868975367172,0.1630252100840336
DNAH7,0.3010746367110464,0.3949649431204952,0.0581512605042016
DNAH8,0.1991084218069512,0.2417950475294907,0.0700840336134453
DNAH9,0.2556199900317547,0.1462532158042918,0.0643697478991596
DOCK2,0.2682418086792347,0.2561758845828604,0.0694117647058823
DOCK3,0.2656862745098039,0.0811211566778104,0.0586554621848739
DSEL,0.0972111056214317,0.0407439801828923,0.0576470588235294
DYNC2H1,0.3231057624865674,0.2728295298734322,0.1047058823529411
ERBB2,0.2714375901875901,0.0574978313980564,0.0521008403361344
ERBB4,0.2033459750126416,0.0897245057379872,0.0699159663865546
EYS,0.2094806891075301,0.0617959085270943,0.1223529411764706
FAM135B,0.1687320848770124,0.1204874952889711,0.0403361344537815
FAM47C,0.1264435030425019,0.0621800906273225,0.0581512605042016
FAT3,0.2374445705804559,0.2400054755432279,0.1045378151260504
FAT4,0.1477970671748956,0.0470300002526367,0.0872268907563025
FBN1,0.1106788228111757,0.0189604781198747,0.0638655462184874
FBN2,0.144288256107516,0.0745267218651636,0.0638655462184874
FBXW7,0.1279731260376421,0.0175210242401309,0.0521008403361344
FLG,0.2262594187603475,0.0558879773704512,0.1685714285714286
FMN2,0.1291242774034765,0.0898186710231356,0.0638655462184874
FNDC1,0.0991688978584139,0.0519981599828093,0.0522689075630252
FOXG1,0.2535585329702977,0.1855235548023501,0.0581512605042016
FREM2,0.1453487199075434,0.0722215623830415,0.0579831932773109
HCN1,0.112262795777087,0.0166613422546325,0.0519327731092437
HERC2,0.1572933771209633,0.0624604618628731,0.0522689075630252
HMCN1,0.3533815862974078,0.1223707015811883,0.1512605042016807
HUWE1,0.1110771795758184,0.0434765291278091,0.0695798319327731
HYDIN,0.1914699855367022,0.14160233242982,0.0754621848739496
IVL,0.400249518999519,0.2319791447758436,0.0757983193277311
KALRN,0.1242361818464759,0.0425151676600292,0.0578151260504201
KCNT2,0.3124883286647992,0.1569278097186404,0.0640336134453781
KMT2C,0.0857204268102437,0.0253879345908691,0.0581512605042016
KMT2D,0.2605258907758908,0.1474473034335224,0.1161344537815126
LAMA1,0.272539775039775,0.0532750713948392,0.0872268907563025
LAMA5,0.2316379951484315,0.2635554828278768,0.0638655462184874
LRP1B,0.2158263590562894,0.1163952932167247,0.1512605042016806
LRP2,0.1851709978662311,0.1360761662036991,0.0694117647058823
LRRIQ1,0.1615327380952381,0.0963327323489633,0.0583193277310924
LRRK2,0.2886137485702703,0.1617627450322577,0.0929411764705882
MAP2,0.1086645609865424,0.0542138924618885,0.0521008403361344
MUC16,0.3631203586649146,0.1701262121973118,0.226890756302521
MUC17,0.3212346770349616,0.3795483369533078,0.0927731092436974
MUC4,0.1693792600314339,0.1039087540121527,0.0811764705882353
MUC5B,0.1573600560153302,0.1473141461521586,0.0754621848739496
MYO16,0.1092087542087542,0.0801476173464772,0.0463865546218487
NAV3,0.0875792963096448,0.0376601987322339,0.0816806722689075
NBEA,0.5141608391608391,0.2442085288935647,0.0702521008403361
NEB,0.1465773919567023,0.1888263916928768,0.0635294117647058
NFE2L2,0.5550182448458312,0.2197364688099509,0.0989915966386554
NOTCH1,0.1751237372019105,0.131146838648486,0.086890756302521
NOTCH3,0.1804993549478843,0.1094000729012878,0.0581512605042016
NRG1,0.139900308025308,0.0391904486964269,0.0526050420168067
OBSCN,0.1233629336532246,0.0411571470929058,0.1221848739495798
PAPPA2,0.1328347338935574,0.1390209573185524,0.0465546218487395
PCDH11X,0.2147420634920634,0.1217371374490576,0.0584873949579832
PCDH15,0.2680139109256756,0.1971874283854458,0.0873949579831932
PCDH9,0.1126964882943143,0.039738430549615,0.0581512605042016
PCDHB3,0.1024899768106289,0.0277632010754344,0.0522689075630252
PCLO,0.2881499742275604,0.1976010604196539,0.1515966386554622
PDZD2,0.2107392684085128,0.183688423565283,0.0640336134453781
PEG3,0.4479166666666666,0.24620969307272,0.0695798319327731
PIK3CA,0.1800782953057227,0.1609601941309323,0.0922689075630252
PKHD1L1,0.2094598090553099,0.1637001198169143,0.1040336134453781
PREX2,0.3003802161890397,0.1936507800795603,0.0752941176470588
PRKDC,0.2691127545294212,0.1737417898522802,0.0695798319327731
PTPRD,0.2418430263021914,0.2197486786882605,0.0699159663865546
PTPRT,0.0836801880412428,0.0349650582358524,0.0638655462184874
PXDN,0.2661406186406186,0.1179408966421966,0.0583193277310924
RELN,0.0923699671975534,0.0271181016735157,0.0519327731092437
RIMS1,0.235550678806774,0.169574574251999,0.0761344537815126
RIMS2,0.1089492077024046,0.0786080737380087,0.0526050420168067
ROBO2,0.1759514559514559,0.0981449720742723,0.0578151260504201
RP1,0.1261530082118317,0.0505569672514081,0.0579831932773109
RYR2,0.1931630955673805,0.0631406532196775,0.1156302521008403
RYR3,0.2262041510261324,0.1693459224464015,0.0932773109243697
SACS,0.14649580939095,0.1137922550135495,0.0986554621848739
SALL1,0.1916157039001866,0.0945798377468186,0.0642016806722689
SAMD9L,0.4290460721768771,0.3488464753575347,0.0522689075630252
SCN5A,0.4142961570593149,0.3469142782419167,0.0642016806722689
SETBP1,0.1353897118413247,0.1007441597498306,0.0583193277310924
SI,0.203560066703449,0.1454502980019001,0.0752941176470588
SLITRK5,0.2980136639676113,0.2550646091931913,0.0519327731092437
SMAD4,0.1793735970819304,0.1865118771275421,0.0635294117647058
SMARCA4,0.4737926887926888,0.3475824048921125,0.0754621848739496
SORCS3,0.2644444444444444,0.1572801228287829,0.0521008403361344
SPATA31D1,0.1187999013079533,0.1224227094043642,0.0581512605042016
SPTA1,0.203545214045214,0.1156888164368853,0.1045378151260504
SYNE1,0.3490832408533774,0.1404818445575474,0.1915966386554621
SYNE2,0.1135893092414831,0.0630529828974135,0.0581512605042016
TENM4,0.1656169044791206,0.1736694344921816,0.0638655462184874
TG,0.1274447175162658,0.0865034608742194,0.0638655462184874
TP53,0.8806877129682456,0.0828899162246909,0.8610084033613445
TPTE,0.1055134067926059,0.1043649902125295,0.0584873949579832
TRHDE,0.1597631695940078,0.0574032913252824,0.0581512605042016
TRRAP,0.1160934375608288,0.0338849970426881,0.0697478991596638
TTN,0.558650836561542,0.0671048765423425,0.4127731092436975
UNC13C,0.4878283941122815,0.31560206768258,0.1040336134453781
USH2A,0.1980083144368858,0.0543677148459702,0.0986554621848739
WDFY4,0.1018917093564801,0.0958802258074656,0.0636974789915966
XIRP2,0.1317417548600344,0.0907264405168524,0.0699159663865546
ZFHX4,0.2548561600451227,0.1767897184905553,0.0687394957983193
ZNF208,0.1741365116365116,0.1074450312733227,0.0752941176470588
ZNF292,0.0811879551677152,0.0302282173663621,0.0640336134453781
ZNF521,0.1766657413456326,0.1360042067280237,0.0573109243697479
ZNF750,0.2220873421165412,0.1363606145361554,0.0697478991596638
ZNF804B,0.1381964228060852,0.098602915593144,0.093109243697479
