feature,target,mean_shap
HINT1,ABCA12,-0.10433426
SPATA33,ABCA12,-0.016254902
BOD1,ABCA12,-0.046294913
ENOPH1,ABCA12,-0.0049698353
GDPD4,ABCA12,-0.032742247
MYO7A,ABCA12,-0.0930361
ADGRV1,ABCA12,-0.06711276
SLC38A11,ABCA12,-0.054250866
PKD1L3,ABCA12,-0.05000336
MUC5AC,ABCA12,-0.8689926
RACK1,ABCA12,-0.1594116
CCDC68,ABCA12,-0.22757207
ANKUB1,ABCA12,-0.012907329
WNT6,ABCA12,-0.07131173
RGS6,ABCA12,-0.08347629
VGF,ABCA12,-0.020744676
NHP2,ABCA12,-0.04761276
MLEC,ABCA12,-0.02613691
CBY2,ABCA12,-0.059823126
HMGA2,ABCA12,-0.07658231
ALPI,ABCA12,-0.27818486
CAPN8,ABCA12,-0.14297284
LARS1,ABCA12,-0.057989094
TUSC1,ABCA12,-0.053529263
CHST5,ABCA12,-0.20468497
RICTOR,ABCA12,-0.031823244
MICAL1,ABCA12,-0.062027626
CMYA5,ABCA12,-0.0033506418
C5orf49,ABCA12,-0.14181499
GMIP,ABCA12,-0.058364365
CETN3,ABCA12,-0.18313804
DOC2A,ABCA12,-0.024251059
ANKRD18A,ABCA12,-0.011160623
MRPS15,ABCA12,-0.019187246
KCTD15,ABCA12,-0.2009855
TAS2R20,ABCA12,-0.6374977
GRK6,ABCA12,-0.05751677
CDKN2AIPNL,ABCA12,-0.056554433
ANKRD10,ABCA12,-0.1663406
NME9,ABCA12,-0.070351765
CYB561D2,ABCA12,-0.00743707
AK1,ANK3,-0.011982569
IGF2BP2,ANK3,-0.015892968
EIF5A2,ANK3,-0.02933752
CRYL1,ANK3,-0.09114237
USF1,ANK3,-0.005586339
PCED1B,ANK3,-0.024444954
ULK2,ANK3,-0.04943884
ERN1,ANK3,-0.06749707
TEX101,ANK3,-0.02434109
GTPBP2,ANK3,-0.059327997
GPR89B,ANK3,-0.16355604
CCDC91,ANK3,-0.37886465
FKRP,ANK3,-0.15091825
ZMPSTE24,ANK3,-0.20454325
CCL24,ANK3,-0.043720722
WNT10A,ANK3,-0.10228706
EGFLAM,ANK3,-0.3052122
RAB41,ANK3,-0.086624585
POLM,ANK3,-0.036888193
HINT2,ANK3,-0.041581675
KCNC3,ANK3,-0.14651638
NUTM2B,ANK3,-0.06108972
CTSC,ANK3,-0.0041157943
MATK,ANK3,-0.11103751
PDE6B,ANK3,-0.029303085
ZNF562,ANK3,-0.08923287
BTNL2,ANK3,-0.14690524
CLCN2,ANK3,-0.04707434
SLC26A11,ANK3,-0.08436394
MFSD4A,ANK3,-0.04289725
GNG5,ANK3,-0.03579307
TDRD1,ANK3,-0.062120095
GDF3,ANK3,-0.037140876
CCL3,ANK3,-0.35002288
MYLPF,ANK3,-0.11434591
SLC31A1,ANK3,-0.01628076
LCN2,ANK3,-0.25632805
GRK7,ANK3,-0.048704486
SPINK14,ANK3,-0.017679727
XKR6,ANK3,-0.17703894
CTSL,ANK3,-0.46003884
PKN3,ANK3,-0.040188238
SLC18B1,ANK3,-0.018723605
NPIPB7,ANK3,-0.10881208
RAP1B,ANK3,-0.18901885
MS4A4A,ANK3,0.00039486616
GRAMD4,ARID1A,-0.019961225
TMEM182,ARID1A,-0.024386583
DOP1B,ARID1A,-0.019735403
PRKAG2,ARID1A,-0.034130767
ANO4,ARID1A,-0.03953025
HLA-F,ARID1A,-0.17530395
NME7,ARID1A,-0.024689352
SLC25A45,ARID1A,-0.034222618
KCNS1,ARID1A,-0.026680827
RGPD3,ARID1A,-0.02897821
PCCB,ARID1A,-0.020331277
C1QL1,ARID1A,-0.19645447
MIPEP,ARID1A,-0.028758286
SYCE1L,ARID1A,-0.37773678
RAPGEF5,ARID1A,-0.07509979
IQCJ-SCHIP1,ARID1A,-0.005936275
CCDC77,ARID1A,-0.018110516
ZNF487,ARID1A,-0.03929817
ZCWPW1,ARID1A,-0.033209242
HNRNPLL,ARID1A,-0.024657171
MLANA,ARID1A,-0.032369174
GABRR1,ARID1A,-0.030826777
KCNH8,ARID1A,-0.08762009
FXYD4,ARID1A,-0.08060234
AC010325.1,ARID1A,-0.03972555
PIPOX,ARID1A,-0.3121044
IL23A,ARID1A,-0.10744771
EIF3CL,ARID1A,-0.02521637
NLRP6,ARID1A,-0.014801863
SLC22A13,ARID1A,-0.021302817
GPR19,ARID1A,-0.0709895
NPIPB9,ARID1A,-0.078511804
C8G,ARID1A,0.00053555577
NANOS1,ARID1A,-0.4503548
ENO2,ARID1A,-0.08379029
PCDHGB1,ARID1A,-0.18783051
AGBL1,ARID1A,-0.04037019
SAA4,ARID1A,-0.077213384
MAP3K19,ARID1A,-0.12992544
CALCR,ARID1A,-0.07663749
KY,ARID1A,-0.50480646
RGL2,ARID1A,-0.0407886
ZDHHC11,ARID1A,-0.023748135
HYAL1,ARID1A,-0.05624978
HNRNPH3,ARID1A,-0.110501885
GCGR,ARID1A,-0.014616458
ATF5,ARID1A,-0.19039191
KCTD16,ARID1A,-0.0708673
NMNAT2,ARID1A,-0.050631728
TNNC1,ARID1A,-0.059834484
KRBA2,ARID1A,-0.009749218
LDHC,ARID1A,-0.036431234
ZC3H12A,ARID1A,-0.032633256
CASP14,ARID1A,-0.055819057
CEP295NL,CNTNAP5,-0.010877716
CCDC163,CNTNAP5,-0.04207125
ABHD16A,CNTNAP5,-0.0058902362
ZBTB32,CNTNAP5,-0.050413504
CHMP2A,CNTNAP5,-0.0148711745
RIDA,CNTNAP5,-0.021698283
ABHD17C,CNTNAP5,-0.014619452
SAV1,CNTNAP5,-0.016688695
TAF3,CNTNAP5,-0.029609336
PFKP,CNTNAP5,-0.03805195
PPP2R1A,CNTNAP5,-0.0136281345
SERTAD1,CNTNAP5,-0.121727675
EBAG9,CNTNAP5,-0.04657102
CD164L2,CNTNAP5,-0.022081498
ZNF541,CNTNAP5,-0.018591465
ANPEP,CNTNAP5,-0.003968231
BEAN1,CNTNAP5,-0.009450562
NENF,CNTNAP5,-0.05514928
RPN1,CNTNAP5,-0.16539498
REEP1,CNTNAP5,-0.0289698
PTMA,CNTNAP5,-0.022739239
TSPAN31,CNTNAP5,-0.18925531
TATDN1,CNTNAP5,-0.019056275
ZFAT,CNTNAP5,-0.022231707
EVPL,CNTNAP5,-0.072713144
TRABD2A,CNTNAP5,-0.029453466
TMEM68,CNTNAP5,-0.04875512
KCNA4,CNTNAP5,-0.032336164
CARNMT1,CNTNAP5,-0.012937228
EIF4G1,CNTNAP5,-0.020282544
RYBP,CNTNAP5,-0.0055067646
ERI2,CNTNAP5,-0.0363101
BRI3,CNTNAP5,-0.017392058
SPATA21,CNTNAP5,-0.013158017
RDH11,CNTNAP5,-0.009581179
INTS9,CNTNAP5,-0.10191765
HBA1,CNTNAP5,-0.06619474
DGAT2L6,CNTNAP5,-0.027319606
ECEL1,CNTNAP5,-0.041031063
RHPN2,CNTNAP5,-0.004184741
PCDHGB2,CNTNAP5,-0.030354844
ADAMTS2,CNTNAP5,-0.044506665
CMC2,CNTNAP5,-0.020444512
TBX20,CNTNAP5,-0.03591618
ANTXRL,CNTNAP5,-0.0055574444
ANO10,CNTNAP5,-0.0046896017
SHISAL2B,CNTNAP5,-0.024138412
HTATIP2,CNTNAP5,-0.04459713
ITFG2,CNTNAP5,-0.009972787
CBX4,CNTNAP5,-0.07243267
SYN2,CNTNAP5,-0.025249993
GALNT2,CNTNAP5,-0.028047066
NOL8,CNTNAP5,-0.3456151
ACTL8,CNTNAP5,-0.02386523
ATL2,CNTNAP5,-0.08147243
RAB41,CNTNAP5,-0.034810524
ST7,CNTNAP5,-0.045931593
ZNF251,CNTNAP5,-0.08830462
AC107871.1,CNTNAP5,-0.14750004
AGPAT1,CNTNAP5,-0.033990856
CYBA,CNTNAP5,-0.028034052
GORAB,CNTNAP5,-0.018441647
GIMAP2,CNTNAP5,-0.028317152
POMT1,CNTNAP5,-0.033356875
EHHADH,CNTNAP5,-0.34430602
EPHB4,CNTNAP5,-0.026195975
RMDN1,CNTNAP5,-0.09799119
GFI1,CNTNAP5,-0.02726335
WIPI1,CNTNAP5,-0.042294737
HSBP1,CNTNAP5,-0.021407427
RIC1,CNTNAP5,-0.01801525
P2RY6,CNTNAP5,-0.016776346
ZNF586,CNTNAP5,-0.01600104
UCN,CNTNAP5,-0.047312714
MUC4,CNTNAP5,-0.041927245
NDUFA5,CNTNAP5,-0.017497411
DERL1,CNTNAP5,-0.11610785
CMAS,CNTNAP5,-0.0509299
CREG1,CNTNAP5,-0.048393317
BEX2,CNTNAP5,-0.11567468
F11R,CNTNAP5,-0.034630075
RPS5,CNTNAP5,-0.03179424
DNAH2,CNTNAP5,-0.062045656
C1QTNF8,CNTNAP5,-0.069137104
CABS1,COL11A1,-0.0076291193
IDH3B,COL11A1,-0.07557344
PAG1,COL11A1,-0.009636173
