gene,auprc_mean,auprc_std,prevalence_mean
AHNAK2,0.1215565864447443,0.0862564915059601,0.0775862068965517
APOB,0.1094871794871795,0.0830526942263936,0.0423645320197044
ATRX,0.475297619047619,0.2721540273923028,0.0633004926108374
CNTNAP2,0.2495700034399724,0.2538733229038643,0.0352216748768472
COL6A3,0.1203141564318034,0.1220988717246732,0.0492610837438423
DNAH2,0.1913246753246753,0.2031449352867797,0.0495073891625615
DNAH5,0.0776223438870497,0.0124012752395905,0.0704433497536945
EGFR,0.4696139055044335,0.1565719112392568,0.2753694581280788
FLG,0.108879750280679,0.0388628799907677,0.0844827586206896
HMCN1,0.0661004948398457,0.0379760544028403,0.055911330049261
HYDIN,0.1242105579605579,0.0936536779494167,0.0633004926108374
IDH1,0.6370931537598205,0.4085475438888418,0.0492610837438423
KEL,0.1114928415810768,0.0656791262543352,0.0780788177339901
LRP2,0.1295968456494772,0.076174622073695,0.0487684729064039
MUC16,0.2885706056132948,0.2418118878870611,0.1413793103448276
MUC17,0.2887575863678804,0.2241204905064746,0.0770935960591133
NF1,0.2887302768610818,0.1433331979117154,0.1189655172413793
OBSCN,0.1401763944590031,0.095378662191436,0.0839901477832512
PCLO,0.1145482295482295,0.0644895655566125,0.0566502463054187
PIK3CA,0.2161675361675361,0.1288408690468429,0.0847290640394088
PIK3R1,0.1110537386804801,0.03638543101411,0.0778325123152709
PKHD1,0.388956043956044,0.3475030477235452,0.0633004926108374
PTEN,0.4760541163865972,0.1156449527966755,0.3315270935960591
RB1,0.282034921622036,0.2130298687095886,0.0911330049261083
RYR2,0.1475049810222781,0.0672874973284435,0.1125615763546798
RYR3,0.2535858585858586,0.2090236802084122,0.0495073891625615
SDK1,0.0948973429951691,0.0464032624473627,0.041871921182266
SPTA1,0.1664285289873525,0.0872663126271372,0.1061576354679803
SYNE1,0.099164400171709,0.039969477024044,0.0564039408866995
TP53,0.5345153917862897,0.2756597515310201,0.3527093596059113
TTN,0.3867918058402357,0.1552359067180326,0.2596059113300492
USH2A,0.2805454911433172,0.2575288765394159,0.0561576354679802
