feature,target,mean_shap
TDP1,ATRX,0.001962444
ZNF723,ATRX,-0.24264276
KIF11,ATRX,-0.43393767
TEX30,ATRX,-0.022769341
NPY,ATRX,-0.014245922
KRT5,ATRX,-0.01697487
ARHGAP22,ATRX,-0.06177632
TERT,ATRX,-0.1928017
VSTM1,ATRX,-0.054867677
PNMA1,ATRX,-0.0039180648
HP,ATRX,-0.11977455
POSTN,ATRX,-0.02084222
ZNF560,ATRX,-0.24719109
VTI1A,ATRX,-0.3791723
DRG2,ATRX,-2.5989897
HSPA14,CNTNAP2,-0.24320081
ANAPC4,CNTNAP2,-0.048096985
CXCL8,CNTNAP2,-0.22304797
PHF13,CNTNAP2,-0.07188016
SUSD4,CNTNAP2,-0.05389789
TUSC1,CNTNAP2,-0.041874904
PPP1R14C,CNTNAP2,-0.17678794
FBL,CNTNAP2,-0.075706795
RAN,CNTNAP2,-0.017685203
COL6A1,CNTNAP2,-0.15150891
AKAP10,CNTNAP2,-0.115564264
CCN3,CNTNAP2,-0.3508929
FOXP1,CNTNAP2,-0.3398294
PDLIM7,CNTNAP2,-0.02155564
H3C11,CNTNAP2,-0.70041424
H1-1,CNTNAP2,-0.024773927
CCDC28B,CNTNAP2,-0.08384701
FOXB2,CNTNAP2,-0.09636216
LMAN2,CNTNAP2,-0.072361864
CLHC1,CNTNAP2,-0.060326625
MYO9A,CNTNAP2,-0.28930736
ACTR1A,CNTNAP2,-0.04433662
LTK,CNTNAP2,-0.44764543
C8orf82,CNTNAP2,-0.13736837
ST20,CNTNAP2,-0.104553014
DNAJC9,CNTNAP2,-0.04890069
TEX19,CNTNAP2,-0.52962583
GRIN3B,DNAH2,-0.036451302
ANKRD18A,DNAH2,-0.4997701
MEIOB,DNAH2,-0.056172628
HOXA11,DNAH2,-0.11875009
PTGDR2,DNAH2,-0.1183735
HOXB5,DNAH2,-0.037465524
PCDHGC5,DNAH2,-0.048082337
PVALB,DNAH2,-0.03066702
NBPF11,DNAH2,-0.0047847563
TENM3,DNAH2,-0.07514289
NAB2,DNAH2,-0.034861676
PGC,DNAH2,-0.04268777
SLC2A9,DNAH2,-0.13482657
ALOX15,DNAH2,-0.19626054
CPS1,DNAH2,-0.048002753
KERA,DNAH2,-0.23693988
SMLR1,DNAH2,-0.045764633
NTN5,DNAH2,-0.019393696
CSF3,DNAH2,-0.05542799
HPDL,DNAH2,-0.06674807
CLEC12B,DNAH2,-0.2696559
PLCL1,DNAH2,-0.01835785
TUBB1,DNAH2,-0.066500045
FMOD,DNAH2,-0.029889083
HSPA1A,DNAH2,-0.0121456515
EVX2,DNAH2,-0.02622643
PPBP,DNAH2,-0.05999316
EPHA5,DNAH2,-0.50627756
PDZK1IP1,DNAH2,-0.366882
CLCA2,DNAH2,-0.05549635
C7orf61,DNAH2,-0.004481779
PF4,DNAH2,-0.037433412
ANGPTL7,DNAH2,-0.9045833
SDK1,DNAH2,-0.030516198
TSNAX-DISC1,EGFR,-0.00674893
EBI3,EGFR,-0.006713511
LNPK,EGFR,-0.014486286
CPXM2,EGFR,-0.011695564
KRTAP5-8,EGFR,-0.012581004
TNFSF18,EGFR,-0.011097544
CADM3,EGFR,-0.022308787
RPUSD3,EGFR,-0.007439201
NRBF2,EGFR,-0.041858565
MAP3K8,EGFR,-0.009604373
AQP5,EGFR,-0.03516205
GJA4,EGFR,-0.0022332491
DMRT1,EGFR,-0.0013791625
HADHB,EGFR,-0.087289974
CLRN1,EGFR,-0.008991843
NPAS2,EGFR,-0.0007286367
DHDH,EGFR,-0.022515198
SMIM3,EGFR,-0.001236804
NMRK1,EGFR,-0.008643419
TMEM255B,EGFR,-0.011726053
LARP6,EGFR,-0.23614311
CCDC60,EGFR,-0.0067199594
PRRG4,EGFR,-0.013568051
SLC16A6,EGFR,-0.016375365
PAQR3,EGFR,-0.09120349
APOE,EGFR,-0.10197936
GPR37L1,EGFR,-0.0087058665
RASSF10,EGFR,-0.03379912
BICDL2,EGFR,-0.0058914786
EID1,EGFR,-0.008803899
IFIT1B,EGFR,-0.007142154
DPEP3,EGFR,-0.0005619388
SFXN2,EGFR,-0.0039443043
NGFR,EGFR,-0.0019279479
TOR2A,EGFR,-0.014524916
OPN1SW,EGFR,-0.0070186644
COL9A2,EGFR,-0.028494848
RGN,EGFR,-0.027249627
CLTRN,EGFR,-0.04514939
ADGRF3,EGFR,-0.008653745
RAB34,EGFR,-0.07824712
IL18RAP,EGFR,-0.0056857914
GORASP1,EGFR,-0.013110046
LGI4,EGFR,-0.011096184
SYNDIG1,EGFR,-0.010320921
ZNF541,EGFR,-0.026784979
RXRA,EGFR,-0.0042119203
APOBR,EGFR,-0.013489805
TEX9,EGFR,-0.004895944
ZDHHC9,EGFR,-0.08051571
THRSP,EGFR,-0.013302416
CNGA3,EGFR,-0.016944177
SULT1B1,EGFR,-0.008890558
CDC123,EGFR,-0.024599541
CCDC71L,EGFR,-0.026103236
PCDHGB7,EGFR,-0.009890088
TEX2,EGFR,-0.014785907
TP53AIP1,EGFR,-0.015383365
TSSK6,EGFR,-0.024158254
UBE2T,EGFR,-0.009439247
CBSL,EGFR,-0.0013602768
RAB39B,EGFR,-0.025043765
SEPHS2,EGFR,-0.0101566315
S100P,EGFR,-0.0034282866
DPPA2,EGFR,-0.0029643036
BMX,EGFR,-0.038195755
NTN5,EGFR,-0.016842306
BRI3,EGFR,-0.023771087
PCSK1N,EGFR,-0.00618195
ARHGAP28,EGFR,-0.017546995
VPS26A,EGFR,-0.047753323
PELI3,EGFR,-0.0068993242
CCL25,EGFR,-0.014524044
EGFR,EGFR,-0.04713099
AKT1S1,EGFR,-0.005844545
S100A12,EGFR,0.00021125223
ADAM33,EGFR,-0.007441885
SERF1A,EGFR,-0.006067232
MAB21L2,EGFR,-0.056373086
ANKRD45,EGFR,0.00094962615
CABP4,EGFR,-0.0047674943
NYX,EGFR,-0.004746563
TDRKH,EGFR,-0.0041594044
GPALPP1,EGFR,-0.0038215586
MOCOS,EGFR,-0.004295992
GSTT2B,EGFR,-0.0032489202
VWC2,EGFR,-0.01507469
TMPRSS3,EGFR,-0.011179359
UMODL1,EGFR,-0.01733806
FAM162A,EGFR,-0.036573637
ISG20,EGFR,-0.05118579
FAAH2,EGFR,-0.007443376
HOXB3,EGFR,-0.0068272734
SIGLEC5,EGFR,-0.006915854
ANKRD18A,EGFR,-0.03156606
PPP1R36,EGFR,-0.008927742
GNPTG,EGFR,-0.0002734767
RSPH9,EGFR,-0.012572522
MAG,EGFR,-0.0086912485
DNAH10,EGFR,-0.02463534
F2RL3,EGFR,-0.01094051
MRPS18C,EGFR,-0.065166555
REM2,EGFR,0.0026772595
PRR13,EGFR,-0.024583956
CPNE8,EGFR,-0.0020580972
TRIOBP,IDH1,0.0035731886
NUS1,IDH1,-0.004238264
FBXO39,IDH1,-0.030867707
PRICKLE3,IDH1,-0.038159974
EFEMP2,IDH1,-1.4345921
SH2D4A,IDH1,-1.6552271
RARRES2,IDH1,-1.0445715
OR4K2,IDH1,-0.5001802
XYLB,MUC16,-0.0024683948
MCC,MUC16,-0.00605347
GABRA6,MUC16,-0.050019834
AC025283.2,MUC16,-0.004014507
JCHAIN,MUC16,-0.026458265
NPIPB2,MUC16,-0.01892325
VEPH1,MUC16,-0.0142836785
TEAD2,MUC16,-0.017545527
IRF2,MUC16,-0.10269901
CYSRT1,MUC16,-0.062656365
ACKR1,MUC16,-0.02021419
NFIL3,MUC16,-0.03387296
NSMCE3,MUC16,-0.050526906
CTXN1,MUC16,-0.0180907
CCDC115,MUC16,-0.09296562
TST,MUC16,-0.014615174
PCDHGA4,MUC16,-0.02130157
ZNF669,MUC16,-0.07691891
SESTD1,MUC16,-0.021022007
FEZ1,MUC16,-0.019930962
MYLK2,MUC16,-0.16277573
AIFM2,MUC16,-0.017804699
OTUD1,MUC16,-0.04126804
CLC,MUC16,-0.027090477
PAPLN,MUC16,-0.08274579
THBS2,MUC16,-0.02379101
OPHN1,MUC16,-0.076551475
TEKT1,MUC16,-0.011681451
SMPDL3B,MUC16,-0.03824357
ZNF445,MUC16,-0.02882502
BPI,MUC16,-0.0149895
C2orf80,MUC16,-0.13121897
CACNA2D3,MUC16,-0.049181662
UBA7,MUC16,-0.03917653
VWA1,MUC16,-0.025782922
OAT,MUC16,-0.042037524
AC010980.1,MUC16,-0.041905593
WDR11,MUC16,-0.008075261
RGS7BP,MUC16,-0.028709657
KRT16,MUC16,-0.06721376
TPRG1L,MUC16,-0.021390276
SPAG6,MUC16,-0.012923061
TMEM119,MUC16,-0.010136521
CELSR1,MUC16,-0.031108605
PAX8,MUC16,-0.0112236515
MEIS2,MUC16,-0.017934632
PSMD6,MUC16,-0.015836233
FGD6,MUC16,-0.3158037
COPE,MUC16,-0.047093756
LRATD2,MUC16,-0.07833852
ZNF705A,MUC16,-0.026153877
SIX3,MUC16,-0.021919336
C17orf64,MUC16,-0.015933843
FBXL13,MUC16,-0.028204948
KIF2C,MUC16,-0.03646161
GCK,MUC16,-0.02003203
TRIM38,MUC16,-0.029161511
FREM1,MUC16,-0.046186645
PEX5,MUC16,-0.11517154
NME5,MUC16,-0.03454897
DMRTC1B,MUC16,-0.016686108
KISS1,MUC16,-0.010366313
CADM3,MUC16,-0.02594236
CLEC2L,MUC16,-3.940444e-05
TMEM243,MUC16,-0.020013211
C13orf42,MUC16,-0.117100954
SELENBP1,MUC16,-0.027119078
EDARADD,MUC16,-0.01833591
IQCF1,MUC16,-0.019843958
RBP1,MUC16,-0.07789729
PDLIM1,MUC16,-0.010628623
SVEP1,MUC16,-0.023318661
IGFLR1,MUC16,-0.013794734
SLIT3,MUC16,-0.056142874
NIPA1,MUC16,-0.028320618
ZGRF1,MUC16,-0.036437914
CENPV,MUC16,-0.032484468
MPND,MUC16,-0.014099012
HMGA1,MUC16,-0.004072638
BFSP2,MUC16,-0.03273721
KLK1,MUC16,-0.023263244
APELA,MUC16,-0.030617522
TRIM6,MUC16,-0.01878093
CCNB1,MUC16,-0.03987355
RSPH9,MUC16,-0.024376435
OCIAD1,MUC16,-0.010276687
ADM,MUC16,-0.02310913
SORD,MUC16,-0.055086106
WFDC1,MUC16,-0.043264452
DDIT4,MUC16,-0.027755132
PCGF6,MUC17,-0.015233199
FTL,MUC17,-0.006051046
RNF113A,MUC17,-0.016170584
FAM241B,MUC17,-0.025810873
FSCN1,MUC17,-0.03665707
GJB5,MUC17,-0.016541295
NUAK2,MUC17,-0.015789798
OLFM2,MUC17,-0.016272599
GCNA,MUC17,-0.014575387
POLR2J3,MUC17,-0.038630065
SNORC,MUC17,-0.06337797
RRP15,MUC17,-0.031629365
NANOS3,MUC17,-0.06674388
EPHA3,MUC17,-0.09389997
CYP2C8,MUC17,-0.03728678
IARS1,MUC17,-0.036437586
AZGP1,MUC17,-0.0249602
SMIM35,MUC17,-0.062000833
SIMC1,MUC17,-0.029864596
TBC1D9,MUC17,-0.016439777
RPL11,MUC17,-0.5454499
COX5A,MUC17,-0.022601528
HSD17B6,MUC17,-0.12501764
FAM118A,MUC17,-0.15859412
SLC39A11,MUC17,-0.038367562
EMD,MUC17,-0.009471897
THG1L,MUC17,-0.05563901
CYB5B,MUC17,-0.014435484
TMEM256-PLSCR3,MUC17,-0.3967044
TRAM1L1,MUC17,-0.5394772
TBX22,MUC17,-0.097681955
SLC35B4,MUC17,-0.03790319
CD48,MUC17,-0.034052487
RBM3,MUC17,-0.07067666
NPIPA9,MUC17,-0.038551155
TRPM3,MUC17,-0.03997019
REG1B,MUC17,-0.03164939
DIXDC1,MUC17,-0.37045777
SWSAP1,MUC17,-0.03748322
ZNF189,MUC17,-0.04276663
XKR6,MUC17,-0.58975786
FXN,MUC17,-0.053493567
RO60,MUC17,-0.028570589
ERI2,MUC17,-0.016940054
TSPO2,NF1,-0.014700129
OR1L6,NF1,-0.030271692
YKT6,NF1,-0.017994432
FAM204A,NF1,-0.03667516
ZNF605,NF1,-0.01381131
CCDC130,NF1,-0.015008987
MGAM,NF1,-0.027689228
EML6,NF1,-0.020062545
LIMS1,NF1,-0.048534013
LRFN4,NF1,-0.028254211
FAM183A,NF1,-0.06301348
NEMF,NF1,-0.0043893713
UBE2QL1,NF1,-0.08558777
SNX31,NF1,-0.3558856
GAB4,NF1,-0.019419588
HES6,NF1,-0.061575226
SMPX,NF1,-0.022343695
BBOX1,NF1,-0.038956203
PRRT4,NF1,-0.04610814
CXCL11,NF1,-0.060459998
GLI1,NF1,-0.0059981607
NEXMIF,NF1,0.0034205413
OPN1SW,NF1,-0.20923157
FADS2,NF1,-0.035823178
TBC1D8B,NF1,-0.18227352
CNTNAP3,NF1,-0.074633576
PTCHD1,NF1,-0.014328195
RAG1,NF1,-0.05681365
LRRC3B,NF1,-0.021634065
FZD8,NF1,-0.06563377
MOSPD3,NF1,-0.013234005
FBXL2,NF1,-0.04429884
CPS1,NF1,-0.0030855206
PXMP2,NF1,-0.054655448
RBP1,NF1,-0.029777192
PATJ,NF1,-0.03091345
PTPN5,NF1,-0.10510618
TKTL1,NF1,-0.04071537
YWHAE,NF1,-0.045403857
TRIM58,NF1,-0.07937982
AP4E1,NF1,-0.026850173
NKAIN4,NF1,-0.041355036
ZNF302,NF1,-0.02613042
COPB1,NF1,-0.006666238
JADE3,NF1,-0.044014692
BORCS5,NF1,-0.040375564
RPGR,NF1,-0.07103129
DKK1,NF1,-0.045978982
CD52,NF1,-0.0043839402
CA3,NF1,-0.00513011
CCDC163,NF1,-0.07627056
ACOT6,NF1,-0.041589964
PI16,NF1,-0.26996756
HOXC4,NF1,-0.05825038
ARHGAP5,NF1,-0.030950082
HTR2B,NF1,-0.034441993
SLIT3,NF1,-0.023359608
GPR20,NF1,-0.065187976
PTEN,NF1,-0.040533144
PTPRM,NF1,-0.037869614
ANKEF1,NF1,-0.021060305
TEKT4,NF1,-0.02356947
PRRC2B,NF1,-0.019868638
ZNF33A,NF1,-0.073283285
NF1,NF1,-0.48903555
UBAC1,NF1,-0.017723398
NUDCD3,PIK3CA,-0.019418128
SMIM31,PIK3CA,-0.014634545
LINGO3,PIK3CA,-0.021791149
BRINP3,PIK3CA,-0.035218257
ATP12A,PIK3CA,-0.028710816
LPAR4,PIK3CA,-0.08207045
ZNF433,PIK3CA,-0.04439165
ACBD7,PIK3CA,-0.026786774
TEKT4,PIK3CA,-0.06513001
SLITRK3,PIK3CA,-0.13059618
TMEM229A,PIK3CA,-0.22076109
TSTD1,PIK3CA,-0.03231623
PCID2,PIK3CA,-0.012177646
ESPNL,PIK3CA,-0.032837648
TRIM61,PIK3CA,-0.063317075
HAT1,PIK3CA,-0.045383107
DHRS4,PIK3CA,-0.031565044
PCDHB5,PIK3CA,-0.024286678
PALM2AKAP2,PIK3CA,-0.05032062
CNTNAP3,PIK3CA,-0.0812599
RHBG,PIK3CA,-0.027765535
ADAMTSL2,PIK3CA,-0.02003983
IGFBPL1,PIK3CA,-0.13178483
FOXJ1,PIK3CA,-0.029754575
IRS1,PIK3CA,-0.13210192
CENPVL3,PIK3CA,-0.042017333
ZIC2,PIK3CA,-0.06727055
OR2M2,PIK3CA,-0.16528873
IL17RD,PIK3CA,-0.042378977
P2RY2,PIK3CA,-0.062912546
NPPC,PIK3CA,-0.06737238
PAX3,PIK3CA,-0.034524966
LRRC8A,PIK3CA,-0.01175604
LAMB4,PIK3CA,-0.03212395
ISM2,PIK3CA,-0.2430443
FSHR,PIK3CA,-0.034708533
SWI5,PIK3CA,-0.21374893
HOXA9,PIK3CA,-0.0030413608
NUP93,PIK3CA,-0.018245742
C11orf86,PIK3CA,-0.015079386
XXYLT1,PIK3CA,-0.02382293
URM1,PIK3CA,-0.022234175
MTRF1,PIK3CA,-0.004800104
NEURL3,PIK3CA,-0.023797154
CELA2B,PIK3CA,-0.10939787
GALK2,PIK3CA,-0.07014952
COLEC10,PIK3CA,-0.09271365
KIZ,PIK3CA,-0.03151222
PHYHD1,PIK3CA,-0.032312762
FOSB,PIK3CA,-0.04239339
POLR2M,PIK3CA,-0.08157672
MSTN,PIK3CA,-0.011376618
CYB5A,PIK3CA,-0.018556524
GLMN,PIK3CA,-0.0032390805
RPH3AL,PIK3CA,-0.24344465
CHN1,PIK3CA,-0.0040519405
COL19A1,PIK3CA,-0.03236733
PDGFRL,PIK3CA,-0.39390773
MAMDC2,PIK3CA,-0.037828896
FTCDNL1,PIK3CA,-0.10757682
BCHE,PIK3CA,-0.2239156
ACAD9,PIK3CA,-0.036719907
BVES,PKHD1,-0.09311383
LZTR1,PKHD1,-0.009569868
NUDT15,PKHD1,-0.09940178
H2BC11,PKHD1,-0.022062328
PYGO2,PKHD1,-0.02973666
TM7SF3,PKHD1,-0.020200798
SEPTIN9,PKHD1,-0.038446
GGACT,PKHD1,-0.61283755
EMP2,PKHD1,-0.087451726
C1orf158,PKHD1,-0.100459844
CCDC182,PKHD1,-0.06406824
RYR3,PKHD1,-0.05662724
CRYBG2,PKHD1,-0.021260433
H3C8,PKHD1,-0.043717403
AMER2,PKHD1,-0.02557875
GTF2A2,PKHD1,-0.105102874
HSH2D,PKHD1,-0.0096368445
OTX1,PKHD1,-0.04150093
CD300E,PKHD1,-0.011299769
FRMD4A,PKHD1,-0.023710966
EYA4,PKHD1,-0.06193928
PSENEN,PKHD1,-0.019930469
EIF3G,PKHD1,-0.17709339
UNC80,PKHD1,-0.07724789
NBPF4,PKHD1,-0.04134178
NIPSNAP1,PKHD1,-0.012500823
ST6GALNAC5,PKHD1,-0.07697515
HIGD2A,PKHD1,-0.49892378
PMF1,PKHD1,-0.18520826
H3C10,PKHD1,-0.08381384
ZBTB8B,PKHD1,-0.20820965
CHST13,PKHD1,-0.04805262
ENOX1,PKHD1,-0.051575158
H2BC6,PKHD1,-0.53744197
CCL3,PKHD1,-0.024599701
MARCO,PKHD1,-0.026919262
CGAS,PKHD1,-0.006128791
LPAR1,PKHD1,-0.05471336
LRCOL1,PKHD1,-0.046277337
APOBEC2,PKHD1,-0.091563754
COX7A1,PKHD1,-0.0057286187
INPP5J,PKHD1,-0.07607293
RPL4,PKHD1,-0.13485883
CA6,PKHD1,-0.18846059
POSTN,PKHD1,-0.035118118
ZNF492,PTEN,-0.004629171
C17orf80,PTEN,-0.006576191
FAM241A,PTEN,-0.0012483973
TMEM95,PTEN,-0.0016359651
LGR5,PTEN,-0.0038257549
CCDC86,PTEN,-0.009834272
OTOL1,PTEN,-0.0023970522
PITX2,PTEN,-0.0029730143
TMX1,PTEN,-0.0036563731
TRIM13,PTEN,-0.04055501
FEZF1,PTEN,-0.002697348
ACAA2,PTEN,-0.002898714
TAF4B,PTEN,-0.018690072
SRGN,PTEN,0.003529395
KCND3,PTEN,-0.010085775
WNT6,PTEN,-0.0019195898
ZNF891,PTEN,-0.014080329
NPIPA5,PTEN,-0.0099165505
TBC1D8,PTEN,-0.0044675176
ANKDD1A,PTEN,-0.011682084
PIRT,PTEN,-0.008281
IMMP2L,PTEN,-0.014581814
