gene,auprc_mean,auprc_std,prevalence_mean
ABCA13,0.1340643520982537,0.0557918695253187,0.0688517831374974
ADCY8,0.0743248869228326,0.0519173876738033,0.0526695526695526
AHNAK,0.122686036923787,0.0467815830343053,0.0910327767470624
AHNAK2,0.1027279177161553,0.0632758923806573,0.0647495361781076
AJUBA,0.1860610518635985,0.1856700315037868,0.0607091321377035
AKAP9,0.1424783379026011,0.06794875419772,0.0607709750566893
ANK2,0.2188066107395092,0.1291260599957535,0.0607091321377035
APOB,0.1450152976293912,0.0300317527450372,0.0849515563801278
ASPM,0.1159735144615241,0.0634637416245843,0.0626881055452484
ASXL3,0.1405464366842265,0.065491421273374,0.0626881055452484
CASP8,0.5409371809433898,0.1874735319332992,0.1073180787466501
CDH10,0.1506279512432967,0.0477756813525189,0.0627499484642341
CDH9,0.1877223393930868,0.0976446192679248,0.0546485260770975
CDKN2A,0.2980925388975892,0.0664215322953287,0.2085961657390228
COL11A1,0.2826204181930896,0.1789592055744923,0.0930529787672645
COL14A1,0.1542337107975243,0.0990914390401173,0.0526077097505668
COL22A1,0.1523116763816045,0.0969046568750336,0.0728303442589156
COL6A6,0.2401387546339139,0.291590521471814,0.046588332302618
CREBBP,0.0994319728904645,0.0254987814146292,0.0587713873428159
CSMD1,0.1142246589401072,0.0592746660516949,0.0668109668109668
CSMD3,0.3299658826169708,0.1380162748083526,0.1923520923520923
CTNNA2,0.1105090946498649,0.0894765428798516,0.050628736343022
CTNND2,0.1986919215174827,0.1073838029856061,0.0566481137909709
CUBN,0.1588342097112153,0.0969093014315461,0.0768707482993197
DCHS2,0.1682785795129714,0.1012190662776363,0.0566481137909709
DMD,0.1140900072166167,0.0523583111094541,0.0951556380127808
DNAH11,0.1300865159589254,0.0494334400254444,0.068872397443826
DNAH5,0.1895230816880878,0.0343831991568866,0.131581117295403
DNAH7,0.1417076618172158,0.0473117285049326,0.0647495361781076
DNAH8,0.1571957465257087,0.104629984270321,0.0749536178107606
DNAH9,0.1829958817362773,0.0534540752843292,0.0830138115852401
DPP10,0.110463653060631,0.1186869079696833,0.0546485260770975
DST,0.1031517356513733,0.026427969347089,0.0748917748917749
EP300,0.1434621353102561,0.0868517851010217,0.0768295196866625
FAM135B,0.0957272130889681,0.0232409883815665,0.0951762523191094
FAT1,0.3019482934953447,0.067781071355599,0.2248402391259534
FAT2,0.1846676340570816,0.1684024588558421,0.0647701504844362
FAT3,0.1358749798472229,0.0722462392435608,0.0829313543599258
FAT4,0.1053195714199024,0.034215939965355,0.0829931972789115
FBXW7,0.1715300751563898,0.0527208727694764,0.0648526077097505
FLG,0.2155675356048546,0.0382821919549646,0.1294990723562152
FMN2,0.1750044454166443,0.1326439450184013,0.066852195423624
GRM3,0.0642158807825015,0.0306065885019824,0.0506493506493506
HCN1,0.0877834587701795,0.0524661913560488,0.0505668934240362
HERC2,0.1512509144071883,0.1419216428210933,0.0708513708513708
HMCN1,0.1295325462149593,0.0490068008435488,0.0607503607503607
HRAS,0.3370830148795972,0.1224741121616432,0.0607503607503607
HUWE1,0.1437376049618914,0.1041121492211208,0.0931354359925788
KMT2C,0.1110322521953219,0.0516306084809866,0.0687899402185116
KMT2D,0.2035264094947168,0.0668478151716683,0.1519274376417233
LAMA1,0.1180663943640191,0.0684682589622907,0.0505875077303648
LAMA2,0.2478574292020015,0.1612665622603583,0.0749536178107606
LRP1,0.0797461677757472,0.0364321484837759,0.0567305710162853
LRP1B,0.3027702553787074,0.080174989932788,0.1639868068439497
LRP2,0.1756418589399169,0.1337492544731099,0.0708513708513708
LRRC4C,0.1203095755936451,0.0870986929112067,0.052648938363224
LRRK2,0.1146220196290549,0.1046920367446552,0.0526077097505669
MACF1,0.0934682085740327,0.0272741630039607,0.0586477015048443
MDN1,0.0930045450618954,0.0543762761347974,0.0505256648113791
MGAM,0.120524200891482,0.1263679762093764,0.0547309833024118
MROH2B,0.1395993559517077,0.0634928988193451,0.0586683158111729
MUC16,0.3323712320527766,0.0891637585597176,0.1902700474129045
MUC17,0.1520019749598994,0.0435197529534786,0.0769325912183055
MUC5B,0.1332961192267547,0.0771021502780565,0.0789734075448361
MYH8,0.0761748817545516,0.0528011150943881,0.0526901669758812
NALCN,0.1292490221307757,0.0397027969753277,0.0526283240568954
NAV3,0.1273968023590135,0.0663113230023776,0.0708307565450422
NEB,0.0868562159229032,0.0315560766465832,0.0668109668109668
NFE2L2,0.1975233145361238,0.0797475499147899,0.0567717996289424
NIPBL,0.1054967769809511,0.0501877252548327,0.0505668934240362
NOTCH1,0.2815699898864855,0.0731538071655709,0.1760874046588332
NPAP1,0.1229002521364902,0.0502097549336428,0.0626881055452484
NRXN1,0.1245780534188919,0.0722367861072424,0.0546279117707689
NSD1,0.6699958454896092,0.1624971700100737,0.1173984745413316
OBSCN,0.077431589691227,0.03089625450443,0.0688517831374974
PAPPA2,0.3066075041521402,0.1442756981613619,0.0890950319521748
PCDH10,0.158967375996752,0.1322875970071415,0.0547515976087404
PCDH11X,0.1286102090874931,0.0514300001529713,0.0789734075448361
PCDH15,0.1237723115641721,0.072566849360197,0.0870542156256442
PCLO,0.2197249538239447,0.0671809888261904,0.1539064110492682
PEG3,0.1743916683036928,0.0876964393591631,0.0667903525046382
PIK3CA,0.2487335262901763,0.1015775174126055,0.1801484230055658
PKHD1,0.1785099078531375,0.0805436866570755,0.064728921871779
PKHD1L1,0.1952424126810579,0.064345169772181,0.1012368583797155
PLEC,0.1302653303602234,0.0426925204270928,0.0849515563801278
PPFIA2,0.0801968329639899,0.0124744020144988,0.052648938363224
PRDM9,0.1841522503389238,0.1187586625331044,0.0688105545248402
PRKDC,0.1594963887446569,0.1326838959575591,0.0546485260770975
PTPRD,0.1269246709264538,0.1272922185699025,0.0547103689960832
RELN,0.1487039122329409,0.0600336875717786,0.089033189033189
RNF213,0.0931786387281787,0.061988957855835,0.0526077097505669
ROS1,0.0999294871495773,0.0625105987429815,0.054669140383426
RP1,0.2327739416674642,0.2328882729632088,0.070789527932385
RYR1,0.1071074175092063,0.0574931560350076,0.0607297464440321
RYR2,0.1877268553759822,0.0228777982849632,0.1114409400123685
RYR3,0.1381174966972688,0.0741601893355453,0.0647495361781076
SCN1A,0.1367738274115655,0.0718353180303178,0.0607091321377035
SI,0.1992221334664824,0.1056258981256185,0.0991754277468563
SPEN,0.120454133065304,0.1070388990785226,0.0526695526695526
SPTA1,0.0931239060358515,0.0327211032717321,0.0627293341579055
SVEP1,0.1341608251173937,0.0815750093642073,0.0506493506493506
SYNE1,0.2873209867760576,0.0954231567411988,0.1660482374768089
SYNE2,0.0822146553926819,0.0391682270894759,0.0708307565450422
TENM1,0.1719047625571414,0.1434043203783102,0.0668109668109668
THSD7A,0.1260065914547698,0.0269860864339286,0.0607091321377035
TMEM132D,0.0672832813072394,0.0193017407229771,0.050628736343022
TP53,0.8573133926598657,0.0525248949861859,0.7085549371263657
TTN,0.4395718775081587,0.0753941021278287,0.4130076272933416
UNC13C,0.1208442207718973,0.0622823954184587,0.0729334157905586
USH2A,0.2560773412650522,0.1223570303818656,0.123397237682952
VCAN,0.0768136596094178,0.0392844275922945,0.0526283240568954
VPS13B,0.0880597289367178,0.0482530557490292,0.0667903525046382
VPS13C,0.1250508364220652,0.1079504712844111,0.0525870954442383
VPS13D,0.0634841800228531,0.0324160948497741,0.0505875077303648
XIRP2,0.2177554966036075,0.1011939812636484,0.1032158317872603
ZFHX4,0.0991008825281457,0.0282442680339689,0.0809523809523809
ZNF208,0.1459099903268317,0.0721815772285393,0.0627499484642341
ZNF536,0.0821904663697189,0.0291170835311549,0.0566687280972995
ZNF804B,0.1203233536944881,0.0495405494856013,0.0647907647907648
