feature,target,mean_shap
RITA1,AJUBA,-0.0056205266
LYNX1,AJUBA,-0.2803921
DPH7,AJUBA,-0.01842505
ACP6,AJUBA,-0.008050481
HAVCR1,AJUBA,-0.004949498
TMTC3,AJUBA,-0.016918072
RNF213,AJUBA,-0.010146058
GOLGA8M,AJUBA,-0.036487702
CSF2RB,AJUBA,-0.0009604405
OR4E1,AJUBA,-0.016657516
POLE3,AJUBA,-0.022257254
STIP1,AJUBA,-0.039382644
MADD,AJUBA,-0.009238005
ANO8,AJUBA,-0.0073005534
HOXB9,AJUBA,-0.029110346
CHN1,AJUBA,-0.027563868
PLA2G4C,AJUBA,-0.033059105
VAPB,AJUBA,-0.0041654105
GPM6B,AJUBA,-0.08779691
LDLRAD3,AJUBA,-0.0046511395
NEBL,AJUBA,-0.0022130832
C2CD4C,AJUBA,-0.02252951
ARHGEF33,AJUBA,-0.019751105
CCR7,AJUBA,-0.03284357
C9orf131,AJUBA,-0.025136022
TMEM102,AJUBA,-0.019485964
NPIPB2,AJUBA,-0.02725719
NDNF,AJUBA,-0.004936807
WIF1,AJUBA,-0.031229492
MAL2,AJUBA,-0.015646175
UBALD1,AJUBA,-0.004380019
SRGAP3,AJUBA,-0.043818343
PDX1,AJUBA,-0.023383334
MESP1,AJUBA,-0.028555097
GPRC5A,AJUBA,-0.051797822
SLAMF9,AJUBA,-0.024654262
TRIM62,AJUBA,-0.0066063614
H2AC8,AJUBA,-0.014342913
AP3M1,AJUBA,-0.010677564
ZNF76,AJUBA,-0.017788175
ANKRD27,AJUBA,-0.019050425
OTOP2,AJUBA,-0.021369109
HYAL3,AJUBA,-0.014901732
REX1BD,AJUBA,-0.013829102
RGS9,AJUBA,-0.12156369
KCNK17,AJUBA,-0.14792408
IFI27L1,AJUBA,-0.043572467
CHMP1B,AJUBA,-0.0377564
PROSER2,AJUBA,-0.16414861
KRT82,AJUBA,-0.023560692
APOL1,AJUBA,-0.018065484
POU5F1,AJUBA,-0.034491744
PHOSPHO2,AJUBA,-0.009301088
C1QL3,AJUBA,-0.020481138
FBXO27,AJUBA,-0.01245467
MARVELD3,AJUBA,-0.23949146
FGG,AJUBA,-0.017003277
DGAT2,AJUBA,-0.024119003
TMEM167A,AJUBA,-0.041739013
VASN,AJUBA,-0.017229302
DLL1,AJUBA,-0.17031331
C17orf49,AJUBA,-0.06262473
GGH,AJUBA,-0.028765054
WDR38,AJUBA,-0.044669304
RBM38,AJUBA,-0.012456936
SH3GL1,AJUBA,-0.06876555
MTA3,AJUBA,-0.0027035607
MOXD1,AJUBA,-0.03941047
ERVH48-1,AJUBA,-0.013658689
PPWD1,AJUBA,-0.05634426
RIMBP3,AJUBA,-0.015115901
C3orf52,AJUBA,-0.031992815
HBA2,AJUBA,-0.023812657
LRRC14,AJUBA,-0.00987378
CXXC5,AJUBA,-0.028693356
SLC25A23,AJUBA,-0.009524232
CHGA,AJUBA,-0.019303236
ZFYVE28,AJUBA,-0.027206272
AP1S3,AJUBA,-0.056444656
MATK,AJUBA,-0.0078410525
CDIP1,AJUBA,-0.0028172554
PCSK1,AJUBA,-0.024367958
TEX12,AJUBA,-0.034774676
UPP1,AJUBA,-0.05726355
CFB,AJUBA,-0.021068359
BDH1,AJUBA,-0.031277526
DHX37,AJUBA,-0.009398074
TMCC3,AJUBA,-0.020471618
SDS,AJUBA,-0.026274556
MRFAP1L1,AJUBA,-0.0153065985
SLC7A8,AJUBA,-0.020523967
COL17A1,AJUBA,-0.011660074
CYSLTR1,AJUBA,-0.08051274
THEGL,AJUBA,-0.018865936
HINT1,AJUBA,-0.015039499
AJUBA,AJUBA,-0.0919604
TRMT5,AJUBA,-0.0034625684
HES1,AJUBA,-0.01782066
RNF126,AJUBA,-0.06449879
SNX2,AJUBA,-0.01428429
CYP2B6,AJUBA,-0.011828132
LRRC20,AJUBA,-0.08370194
CCZ1,AJUBA,-0.0023516451
STRN,AJUBA,-0.0038167841
SOX18,AJUBA,-0.0014703118
AFAP1L1,AJUBA,-0.026185833
STMP1,AJUBA,-0.009717102
KERA,AJUBA,-0.024654817
SAP30L,AJUBA,-0.034918714
ERP27,AJUBA,-0.022996627
HS3ST1,AJUBA,-0.0108792605
TRIM41,AJUBA,-0.025920833
SH2D4A,AJUBA,-0.03999566
THSD4,AJUBA,-0.015652807
C17orf107,AJUBA,-0.01212336
CYB5D1,AJUBA,-0.007372457
CTNND2,AJUBA,-0.013005705
TBC1D2,AJUBA,-0.03829937
ILKAP,AJUBA,-0.06731732
BMX,AJUBA,-0.018806824
CHRDL2,AJUBA,-0.034976445
PIMREG,AJUBA,-0.01855371
SEMA3B,AJUBA,-0.020727606
