feature,target,mean_shap
HOXA6,HERC2,-0.014768647
POMZP3,HERC2,-0.019510325
SHISA8,HERC2,-0.02352111
TTC39C,HERC2,-0.046956092
ZNF214,HERC2,-0.00412437
C9orf85,HERC2,-0.015515931
PPP1R11,HERC2,-0.023210615
SLC39A2,HERC2,-0.082323
ARRDC4,HERC2,-0.14717776
SRPX,HERC2,-0.020755975
PCOLCE2,HERC2,-0.32499072
POU5F1,HERC2,-0.7124076
DAPK2,HERC2,-0.30248547
CALCR,HERC2,-0.6447908
RPS27AP5,HERC2,-0.3738695
SERPINB2,HERC2,-0.032525532
SLC26A3,HERC2,-0.566691
GRK1,HERC2,-0.024168085
GAB1,HERC2,-0.36579958
ACTN3,PTEN,-0.021426164
CLK2,PTEN,-0.050069585
THYN1,PTEN,-0.01979746
PHEX,PTEN,-0.07203204
SLC9C1,PTEN,-0.04974681
FITM2,PTEN,-0.08820743
TTC32,PTEN,-0.025553895
CASP10,PTEN,-0.062058795
CDKN3,PTEN,-0.10101269
ICAM5,PTEN,-0.019119104
GJB2,PTEN,-0.20952964
OTULINL,PTEN,-0.05361269
PROKR2,PTEN,-0.11274898
SPON2,PTEN,-0.040100697
SPINK2,PTEN,-0.52264005
FAM76A,PTEN,-0.061526738
LRPAP1,PTEN,-0.95141715
CALN1,PTEN,-0.07003128
CLK1,PTEN,-0.7322656
ANK1,PTEN,-0.2247348
NPY5R,TP53,-0.0156822
GPR17,TP53,-0.012927645
FDXR,TP53,-0.016376793
LOXL2,TP53,-0.040013295
ZNF697,TP53,-0.016956203
DNAAF3,TP53,-0.06412964
MRPL54,TP53,-0.017294407
MEN1,TP53,-0.09245521
AIFM3,TP53,-0.01961767
ATP5F1D,TP53,-0.06062694
HOXA11,TP53,-0.03756631
ZNF671,TP53,-0.01590377
MT-ND5,TP53,-0.051827356
RAB27A,TP53,-0.055884533
UBAP1L,TP53,-0.019134907
LMNTD1,TP53,-0.0046018832
COL24A1,TP53,-0.012035037
SPC24,TP53,-0.027507676
ST3GAL5,TP53,-0.011065054
FRMPD2,TP53,-0.018426115
EPHA3,TP53,-0.02932421
MCIDAS,TP53,-0.012162748
RBM42,TP53,-0.017247051
CD8B,TP53,-0.025672525
ETV7,TP53,-0.1402952
OSR1,TP53,-0.031168183
CA7,TP53,-0.06779543
COL4A4,TP53,-0.00048802522
CARD14,TP53,-0.023012932
FLNB,TP53,0.0017187237
TMBIM4,TP53,-0.00986773
NECTIN1,TP53,-0.049796946
PRSS3,TP53,-0.026751205
MMP28,TP53,-0.020588202
MDGA1,TP53,-0.0050998004
ZP3,TP53,-0.008460093
CGA,TP53,-0.008695403
HTR2A,TP53,-0.015661374
FOXI1,TP53,-0.017909126
PDE4D,TP53,-0.0071727955
GNB1L,TP53,-0.02652194
ADAMTSL2,TP53,-0.029325943
NEDD8,TP53,-0.23196821
TMEM59,TTN,-0.024404258
NAALAD2,TTN,-0.017674098
DNAJB2,TTN,-0.021197088
NPDC1,TTN,-0.4056738
B3GALT5,TTN,-0.10033877
RIC3,TTN,-0.44947115
FN1,TTN,-0.15440565
SP110,TTN,-0.13840598
FSD1,TTN,-0.38899454
PNMA2,TTN,-0.32873258
MATN2,TTN,-0.27230498
MSLN,TTN,-0.17640467
LAMB4,TTN,-0.20120506
PRR35,TTN,-0.22252356
KNG1,TTN,-0.1256018
RPL7A,TTN,-0.6295477
SLC18B1,ZAN,-0.018432442
LRRC6,ZAN,-0.02671674
GPC2,ZAN,-0.046464793
MARK4,ZAN,-0.019331506
C1QTNF2,ZAN,-0.015521156
PANX1,ZAN,-0.015012861
YPEL4,ZAN,-0.014939411
HPCAL1,ZAN,-0.021379814
TMEM177,ZAN,-0.48312846
PSAP,ZAN,-0.18315169
RIN1,ZAN,-0.531967
LRRC75A,ZAN,-0.21271326
SPTBN5,ZAN,-0.07797348
IGSF9B,ZAN,-0.095424056
RNF112,ZAN,-0.10572387
OR13J1,ZAN,-0.3866534
SNX22,ZAN,-0.1291634
TINAGL1,ZAN,-0.0736412
CERS1,ZAN,-0.5087627
SSBP4,ZAN,-0.44432634
SULT1E1,ZAN,-0.066997916
