feature,target,mean_shap
FO681492.1,BAP1,-0.0030526298
PLCG2,BAP1,-0.0054277075
ABCA4,BAP1,-0.013379603
NLRP14,BAP1,-0.0077807843
IDO1,BAP1,-0.0039824466
OPA3,BAP1,-0.0055583464
SSC4D,BAP1,-0.006609894
CNKSR3,BAP1,-0.0019677184
PABPC1L2A,BAP1,-0.008273441
ART5,BAP1,-0.041412305
ZIC5,BAP1,-0.0024865333
HLA-DQA1,BAP1,-0.020833975
RAC3,BAP1,-0.018132634
GLOD5,BAP1,-0.053489067
CST2,BAP1,-0.02916576
RNF43,BAP1,-0.25454465
MUC3A,BAP1,-0.007831573
CD52,BAP1,-0.035110526
GAS7,BAP1,-0.020981012
SIDT1,BAP1,-0.0050097317
ARHGAP1,BAP1,-0.0034772486
FKBP11,BAP1,-0.024435326
SNAP25,BAP1,-0.026490653
ANKEF1,BAP1,-0.00575702
PGA5,BAP1,-0.0060859188
CSMD2,BAP1,-0.001914692
PRR20G,BAP1,-0.03763874
PTDSS2,BAP1,-0.0098999
ADGRL2,BAP1,-0.088147864
GPR151,BAP1,-0.014070732
COL25A1,BAP1,-0.03094213
NCMAP,BAP1,-0.0050190752
MAPK4,BAP1,-0.014771797
ARMS2,BAP1,-0.001136653
MOXD1,BAP1,-0.007894588
ACTR3B,BAP1,-0.055143256
CYP21A2,BAP1,-0.021877443
CD79B,BAP1,-0.0013332011
MLKL,BAP1,-0.019177664
CLEC18A,BAP1,-0.015861548
NSUN7,BAP1,-0.05690864
H2BC18,BAP1,-0.0020267635
CNTF,BAP1,-0.026468687
KCTD14,BAP1,-0.21926692
DEGS2,BAP1,-0.018922606
CCDC158,BAP1,-0.018998561
C16orf86,BAP1,-0.04162884
CA11,BAP1,-0.27480304
UROC1,BAP1,-0.0024993722
OXT,BAP1,-0.009837769
RP9,BAP1,-0.017975459
CNTNAP5,BAP1,-0.0100007495
ARX,BAP1,-0.3961319
HSPBAP1,BAP1,-0.012441004
RGS1,BAP1,-0.03243073
ARSI,BAP1,-0.0062473286
CXCL1,BAP1,-0.021690806
IGFL1,BAP1,-0.03988351
TRIM13,BAP1,-0.008804437
MNX1,BAP1,-0.04305515
OAT,BAP1,-0.010342922
CLIC6,BAP1,-0.007803856
KCNJ13,BAP1,-0.32760644
GPR88,BAP1,-0.026469858
WIPI1,BAP1,-0.009897168
MIEF2,BAP1,-0.011752688
C17orf99,BAP1,-0.024202665
TBC1D3B,BAP1,-0.012437078
BCAN,BAP1,-0.009144287
RTN1,BAP1,-0.029419232
GALNT13,BAP1,-0.008176166
C12orf29,BAP1,-2.684356e-05
PORCN,BAP1,-0.04220158
