feature,target,mean_shap
CCNA1,MET,-0.036002252
SNAP29,MET,-0.038989313
TRIM16,MET,-0.016760772
FLOT1,MET,-0.039297186
ZNF107,MET,-0.024945725
GLIS2,MET,-0.0077801896
ATP5F1D,MET,-0.050423972
MKRN2,MET,-0.0050482284
NTRK2,MET,-0.2059518
METTL25,MET,-0.025594927
CREB5,MET,-0.006339291
SNAP91,MET,-0.020196449
PABPC1L,MET,-0.005295047
GTPBP1,MET,-0.012716526
MPP3,MET,-0.0066346615
ABCA6,MET,-0.098916866
XK,MET,-0.014270301
METAP1D,MET,-0.03184528
MKX,MET,-0.008239417
PPT2,MET,-0.03700999
FRMD1,MET,-0.02619495
DCXR,MET,-0.06714345
HS3ST4,MET,-0.18314886
KIT,MET,-0.0058568357
BRINP3,MET,-0.023545485
ITGB3,MET,-0.030048039
ATF6B,MET,-0.004302525
ZDHHC14,MET,-0.11610213
PRKAB1,MET,-0.4035578
NDUFA7,MET,-0.015617682
LILRB5,MET,-0.008071557
AC068580.4,MET,-0.025202468
NOX4,MET,-0.03348521
PLXNA4,MET,-0.014792314
KCNN1,MET,-0.007485446
RSPO4,MET,-0.017085264
PRICKLE1,MET,-0.14978355
CLUL1,MET,-0.009773626
RMI2,MET,-0.14819618
MLXIPL,MET,-0.095461376
TIMM22,MET,-0.012510469
MFSD3,MET,-0.006152159
KCNH2,MET,-0.017901924
AHRR,MET,-0.0043375934
RXFP4,MET,-0.014335548
NPY1R,MET,-0.02543559
ZC3H12C,MET,-0.10125255
AXDND1,MET,-0.033049807
AKR1C1,MET,-0.010620503
ANKRD40CL,MET,-0.0153598515
ASS1,MET,-0.0647034
ZNF23,MET,-0.021376662
RGS9,MET,-0.10617245
AC134669.1,MET,-0.14265226
DGLUCY,MET,-0.05683541
AP3B2,MET,-0.0022539403
CDHR5,MET,-0.035120696
DUSP13,MET,-0.0124151185
MNX1,MET,-0.07927199
ICOSLG,MET,-0.01164694
SLC22A2,MET,-0.006708145
PLEKHH3,MET,-0.025137829
NSG1,MET,-0.017878318
GMNC,MET,-0.035301715
FAM135B,MET,-0.00253504
FXR2,MET,-0.032396775
CST2,MET,-0.07842058
CNTD1,MET,-0.016566506
TMBIM4,MET,-0.02408513
ZWINT,MET,-0.0117506925
LAMA4,MET,-0.058161266
DOCK3,MET,-0.036284007
TGM2,MET,-0.70175135
ABHD1,MET,-0.026274918
LIN7A,MET,-0.23636597
CNTN6,MET,-0.009316056
CRIP3,MET,-0.18324356
SP6,MET,-0.019755656
HNF4A,MET,-0.06669203
IL1R2,MET,-0.054383337
MFSD4B,MET,-0.0042060968
CACNB2,MET,-0.0062483936
UXT,MET,-0.034447588
TRPM8,MET,-0.0882895
LYPLAL1,MET,-0.034453526
NME2,MET,-0.045358643
NECAB1,MET,-0.028680293
RHBG,MET,-0.012450847
DUSP6,MET,-0.13308512
CES3,MET,-0.07945387
SPRY3,MET,-0.014122777
KXD1,MET,-0.013313739
MAP2K3,MET,-0.0042952215
SAAL1,MET,-0.01075535
FAM131B,SETD2,-0.041216344
LGALS3BP,SETD2,-0.036398154
PEX26,SETD2,-0.0035300667
MAJIN,SETD2,-0.0054691145
TAT,SETD2,-0.024206448
FDXR,SETD2,-0.010684627
RNF128,SETD2,-0.01662109
IFIT1B,SETD2,-0.010638472
C2CD2L,SETD2,-0.14314485
H2BC12,SETD2,-0.4156083
CTAGE6,SETD2,-0.06676426
ADGRF2,SETD2,-0.04305924
ZDHHC14,SETD2,-0.28058577
GTF2F1,SETD2,-0.042044137
MICB,SETD2,-0.08625426
AJUBA,SETD2,-0.12760365
P2RX1,SETD2,-0.010939716
OCSTAMP,SETD2,-0.0987991
SMARCD3,SETD2,-0.05033882
ADGRA1,SETD2,-0.0034373752
NMB,SETD2,-0.041978598
MYMK,SETD2,-0.19492126
ZDHHC8,SETD2,-0.055071272
PLXNA2,SETD2,-0.013440834
SNAP25,SETD2,-0.031181658
UROC1,SETD2,-0.04496962
NR1H4,SETD2,-0.05250648
PRSS12,SETD2,-0.17550452
C8orf48,SETD2,-0.21627188
CRB1,SETD2,-0.32315952
AK5,SETD2,-0.01158448
H3C6,SETD2,-0.054819215
ZNF773,SETD2,-0.62583435
CTSG,SETD2,-0.062289085
GPR27,SETD2,-0.1967871
VKORC1,SETD2,-0.10183575
GPRC5B,SETD2,-0.030374039
NPY4R,SETD2,-0.04072563
ANPEP,SETD2,-0.05039868
IL1R2,SETD2,-0.03792686
RCOR2,SETD2,-0.023861218
TIPARP,SETD2,-0.07085835
PABPC4,SETD2,-0.007061012
BBS12,SETD2,-0.0059246896
RNF112,SETD2,-0.041881837
C4orf48,SETD2,-0.057373375
TMEM19,SETD2,-0.026756749
IFI44L,SETD2,-0.031814672
CD209,SETD2,-0.030865803
C9,SETD2,-0.1322048
NSG2,SETD2,-0.043284427
CCDC169,SETD2,-0.046759956
CCDC177,SETD2,-0.07751951
MRPS23,SETD2,-0.07785938
ZYX,SETD2,-0.024228964
POM121L2,SETD2,-0.42929727
SLC4A4,SETD2,-0.026598213
