gene,auprc_mean,auprc_std,prevalence_mean
ATRX,0.8014230811085857,0.0697896657038375,0.374
CIC,0.7865384421827302,0.0475877150150041,0.2139999999999999
EGFR,0.4951108647711578,0.1272502654298375,0.068
FUBP1,0.4917130122771885,0.2236759581287837,0.092
IDH1,0.9720600399319947,0.0116903313630666,0.7779999999999999
MUC16,0.143829155966772,0.0582660718512916,0.072
NF1,0.4612061079756689,0.2099964664897533,0.062
NOTCH1,0.4044192060287789,0.1359056291177751,0.0699999999999999
PIK3CA,0.2345834587824626,0.0893571644781599,0.082
TP53,0.9599141076912406,0.0283173016895191,0.486
TTN,0.2121730922010037,0.067023687873262,0.118
