feature,target,mean_shap
MYCBP2,ATRX,-0.0015806746
SPEM2,ATRX,0.00021331708
MARCO,ATRX,9.612634e-05
TATDN3,ATRX,0.0054555424
HIGD2B,ATRX,-0.000631239
ARL6IP1,ATRX,0.0016491825
SPDYA,ATRX,-0.0028875514
TVP23C,ATRX,-0.00046436142
SSUH2,ATRX,-0.00039678492
VPS45,ATRX,0.0019729452
BMP8B,ATRX,-0.018842308
PCBD2,ATRX,-0.0010402467
RDH13,ATRX,-0.001108829
ST6GALNAC5,ATRX,-0.0052767564
PTH2R,ATRX,0.002297386
LYPD5,ATRX,-0.0009853133
JKAMP,ATRX,0.00091490144
MGST1,ATRX,-0.00038747507
RPE65,ATRX,-0.014372049
MPHOSPH10,ATRX,-0.00094269274
FAM24B,ATRX,0.0060183182
ZFPM2,ATRX,0.00203521
GNG5,ATRX,-0.0064013926
MYO10,ATRX,-0.0015503993
VSIG2,ATRX,0.00070219504
APOE,ATRX,0.0005282229
LRRC6,ATRX,-0.00046691258
ASB10,ATRX,0.00022841869
TGIF1,ATRX,-0.0036584262
SIRT2,ATRX,0.01919322
SLC26A4,ATRX,0.007663247
CD55,ATRX,-0.00018060765
CSGALNACT1,ATRX,-0.0024835258
CFAP99,ATRX,0.0018053864
ANKRD55,ATRX,-0.009937099
NMNAT3,ATRX,-0.0058666375
ELN,ATRX,-0.0017655506
DRG2,ATRX,-0.65498835
SOCS6,ATRX,0.008599474
ANG,ATRX,-0.001371033
CKMT2,ATRX,-0.004076616
SLC6A9,ATRX,0.0022461277
KLRC4-KLRK1,ATRX,0.00046652657
TCIM,ATRX,-0.005020877
MUC1,ATRX,0.0030184533
TMEM47,ATRX,4.7753125e-05
DCUN1D1,ATRX,0.002130057
SYNJ2BP,ATRX,0.007749103
TSPAN2,ATRX,-0.0015640942
ARHGAP6,ATRX,-0.0006873642
AGPAT3,ATRX,0.0076797493
CORO7,ATRX,0.0013446786
ZMYND10,ATRX,-0.0032138024
PCDHA5,ATRX,0.008364977
NAGS,ATRX,-0.003990083
LRRC32,ATRX,-0.00066482706
VCPKMT,ATRX,-0.006783635
TRIM31,ATRX,-0.001118908
PITX3,ATRX,-0.0020416991
PDGFRL,ATRX,0.005762991
OR8D1,ATRX,-0.004090645
UBE2F-SCLY,ATRX,-0.0028093157
