gene,auprc_mean,auprc_std,prevalence_mean
ABCA13,0.1590762437142248,0.0951747843097568,0.0952269170579029
AHNAK2,0.2379069382457795,0.1544844891848077,0.0559859154929577
ALB,0.1838180257276369,0.0924951177380662,0.1233568075117371
APOB,0.1524946379351853,0.0692090318604271,0.0953442879499217
ARID1A,0.1259514762590701,0.0468466773463832,0.0812206572769953
ARID2,0.111324129488734,0.066349127616315,0.0532081377151799
AXIN1,0.3925522535251301,0.187408867692109,0.0726917057902973
BAP1,0.4381628031554502,0.2191285948184563,0.0560250391236306
BIRC6,0.1235401440119057,0.0985531753864239,0.0558685446009389
CACNA1E,0.1947650573718502,0.0890513725522414,0.0785211267605633
COL11A1,0.0697450185884908,0.0207910527541594,0.0533255086071987
CSMD1,0.0948389568137367,0.0572933715105334,0.0672535211267605
CSMD3,0.1592098047966642,0.0883014892559909,0.0839593114241001
CTNNB1,0.6748634914410961,0.1463423412149939,0.2606807511737089
CUBN,0.0994340918097426,0.043664633432768,0.0588419405320813
DMD,0.0685696073342283,0.0348714119004832,0.0559467918622848
DNAH5,0.130175971290108,0.1268880220849277,0.0532472613458528
DNAH7,0.213696231710862,0.0679584425992649,0.0645539906103286
DOCK2,0.0825992507147615,0.0445605731448006,0.061658841940532
FASN,0.0964032290987201,0.068080832245546,0.053169014084507
FAT3,0.1741262032711801,0.1286482996102965,0.0728090766823161
FBN2,0.1577344331264407,0.1801357279263242,0.0531298904538341
FLG,0.0960856088821214,0.0309544701175715,0.084037558685446
FRAS1,0.0814199472385251,0.0294582473978689,0.0559859154929577
HERC2,0.0898423520165032,0.0715755014589751,0.053169014084507
HMCN1,0.1071919356647647,0.0489295222448972,0.0699921752738654
KMT2D,0.1123368776252528,0.0919352969900731,0.0532472613458528
LRP1,0.0532739329059508,0.0117416330381246,0.0532472613458528
LRP1B,0.1984593320775036,0.141526675608518,0.0895539906103286
MUC16,0.2316964442423135,0.1531997559306296,0.1708528951486698
MUC5B,0.0859624479706127,0.046406532305461,0.0532472613458528
OBSCN,0.2886818619310903,0.107317917768758,0.101017214397496
PCDH15,0.1810617842708357,0.135273514584047,0.0559076682316119
PCLO,0.1603694763234862,0.0979829631740141,0.1122456964006259
PKHD1L1,0.1178466536875396,0.1171026465122398,0.0559467918622848
PRKDC,0.1048999602397887,0.0818015300976316,0.0617762128325508
RB1,0.217244757993984,0.1157003683682016,0.0532081377151799
RYR1,0.1026690133420303,0.0656363047416023,0.0673317683881064
RYR2,0.099607129249383,0.0393682847031784,0.0897496087636932
RYR3,0.0621890550314081,0.0294230660986903,0.0561032863849765
SDK1,0.1441945834095471,0.1974187731488974,0.0560250391236306
SPTA1,0.099116119743488,0.025960976869778,0.0671361502347417
TP53,0.4925140626362605,0.0484308095718456,0.2997652582159624
TTN,0.316275774070537,0.0737061392921968,0.2798122065727699
USH2A,0.1518484559837007,0.0823349678117409,0.064319248826291
WDR87,0.1148163974216062,0.0905468277724362,0.0558685446009389
XIRP2,0.1636060923743151,0.1106340116065082,0.0812597809076682
