feature,target,mean_shap
EHMT2,AHNAK2,-0.009703488
HNMT,AHNAK2,-0.006190635
ISLR2,AHNAK2,-0.027447315
ZNF14,AHNAK2,-0.016519232
TXNL4B,AHNAK2,-0.014311276
ACTR5,AHNAK2,-0.011321926
APOA5,AHNAK2,-0.017440252
IGSF23,AHNAK2,-0.026556686
BRI3,AHNAK2,-0.016961124
ELP3,AHNAK2,-0.021240482
ACVR1C,AHNAK2,-0.013022774
GJA4,AHNAK2,-0.08762424
ABHD14A,AHNAK2,-0.011339802
TNFRSF14,AHNAK2,-0.046239056
EPOR,AHNAK2,-0.11277872
SIDT1,AHNAK2,-0.047033485
LGALS3BP,AHNAK2,-0.031126447
CEACAM16,AHNAK2,-0.0930616
B3GALT4,AHNAK2,-0.05627268
ESRP2,AHNAK2,-0.0016841583
KCNIP1,AHNAK2,-0.0058175977
ERAP2,AHNAK2,-0.031001195
TAGLN2,AHNAK2,-0.053645596
GPR176,AHNAK2,-0.0280128
HELQ,AHNAK2,-0.023117257
CFHR2,AHNAK2,-0.054428443
DBNDD1,AHNAK2,-0.025932029
SPTAN1,AHNAK2,-0.017998427
ADD3,AHNAK2,-0.007931849
CPLX2,AHNAK2,-0.00897254
LYSMD2,AHNAK2,-0.054919004
SLC22A18,AHNAK2,-0.0059851864
RANBP17,AHNAK2,-0.03486418
C5orf49,AHNAK2,-0.022253104
GRAMD2B,AHNAK2,-0.020385161
ZNF7,AHNAK2,-0.024663236
SPATA32,AHNAK2,-0.023022307
P2RY1,AHNAK2,-0.009103011
ZFP3,AHNAK2,-0.099683225
ID3,AHNAK2,-0.018103197
PRPSAP2,AHNAK2,-0.0093965735
PRMT2,AHNAK2,-0.030361103
SPOCD1,AHNAK2,-0.29262394
ZFP28,AHNAK2,-0.03715492
PROZ,AHNAK2,-0.059307136
TAS2R5,AHNAK2,-0.05443039
MIDN,AHNAK2,-0.015754083
MYL5,AHNAK2,-0.02251288
EEF1AKMT3,AHNAK2,-0.016315375
IL18R1,AHNAK2,-0.042523984
PIGL,AHNAK2,-0.029734712
POPDC2,AHNAK2,-0.018922582
VPREB3,AHNAK2,-0.027229099
FOXN3,AHNAK2,-0.08032183
ZNF404,AHNAK2,-0.021646932
TMEM221,AHNAK2,-0.07716665
ABHD12,AHNAK2,-0.017478488
CCDC25,AHNAK2,-0.019673541
NDUFC2,AHNAK2,-0.02629567
CTSB,AHNAK2,-0.05389179
GDAP1,AHNAK2,-0.04257363
FZD2,AHNAK2,-0.006704881
PSMF1,AHNAK2,-0.036968473
GPT2,AHNAK2,-0.006213988
RTCA,AHNAK2,-0.007616257
ISOC2,AHNAK2,-0.014258367
RIN2,AHNAK2,-0.013519487
DPM3,AHNAK2,-0.032514922
EMCN,AHNAK2,-0.017909884
FCRL1,AHNAK2,-0.14544678
ITPKC,AHNAK2,-0.057397224
MAP2,AHNAK2,-0.029183714
ZNF99,AHNAK2,-0.020780085
SLC5A9,AHNAK2,-0.025649704
ENTPD8,AHNAK2,-0.018416565
PSAT1,AHNAK2,-0.011141092
PDHB,AHNAK2,-0.027160484
TVP23A,AHNAK2,-0.053002693
HSBP1L1,AHNAK2,-0.027525367
OSTF1,AHNAK2,-0.01625212
H4C8,AHNAK2,-0.023934843
AC012651.1,AHNAK2,-0.031949446
CHST12,AHNAK2,-0.04239695
CCDC146,AHNAK2,-0.01811655
RAPSN,AHNAK2,-0.028488843
IER5,AHNAK2,-0.011215546
PFDN2,AHNAK2,-0.06146266
JRK,AHNAK2,-0.021579854
NOC4L,AHNAK2,-0.020333802
CHD4,AHNAK2,-0.011977916
TSTD1,AHNAK2,-0.05116383
AOPEP,AHNAK2,-0.031858798
POU2AF1,AHNAK2,-0.24750985
FGF13,AHNAK2,-0.021901013
C10orf62,AHNAK2,-0.061419077
TRPM3,AHNAK2,-0.026794171
AL360181.3,AHNAK2,-0.03671461
TMA7,AHNAK2,-0.012823769
HSPB1,AHNAK2,-0.06274887
FHL1,AHNAK2,-0.047820542
GARNL3,AHNAK2,-0.024241341
JPH2,AHNAK2,-0.048710104
AAK1,AHNAK2,-0.13349298
NASP,AHNAK2,-0.044509184
ENAM,AHNAK2,-0.022724288
RBMS2,AHNAK2,-0.18497375
ANXA5,AHNAK2,-0.011315777
SIKE1,AHNAK2,-0.004707207
RILPL2,AHNAK2,-0.17481329
ZNF74,AHNAK2,-0.01321181
LYRM9,AHNAK2,-0.018354291
ITIH3,AHNAK2,-0.029891895
SMIM7,AHNAK2,-0.010054524
CNOT7,AHNAK2,-0.046213258
ASGR1,AHNAK2,-0.027627626
BCL9,AHNAK2,-0.04888826
CDK11A,AHNAK2,-0.061367847
BCAN,AHNAK2,-0.12483284
ENDOU,AHNAK2,-0.010501694
FTH1,AHNAK2,-0.013422101
GPR89A,AHNAK2,-0.016993538
STEAP2,AHNAK2,-0.24903113
SMIM24,AHNAK2,-0.23769973
NR4A2,AHNAK2,-0.011225081
CAMKK2,AXIN1,-0.0036794227
C16orf95,AXIN1,-0.00641491
NPNT,AXIN1,-0.010621261
POLB,AXIN1,-0.004214231
TUBGCP5,AXIN1,-0.0034123308
FAM166C,AXIN1,-0.056497082
ZNF439,AXIN1,-0.012210317
PLEC,AXIN1,-0.007366869
DPP7,AXIN1,-0.015209293
SDHA,AXIN1,-0.008224761
SNX8,AXIN1,-0.054190934
PRDM4,AXIN1,-0.009489347
TMEM45B,AXIN1,6.9692746e-06
CETN3,AXIN1,-0.0013397262
PCDHB3,AXIN1,-0.04073847
SEL1L3,AXIN1,-0.0107110115
CPED1,AXIN1,-0.003611164
PTN,AXIN1,-0.0003172326
FAM193B,AXIN1,-0.007887091
SLC36A4,AXIN1,-0.0025159179
NXT1,AXIN1,-0.029293954
