gene,auprc_mean,auprc_std,prevalence_mean
ABCA10,0.191344496225374,0.059347512293339,0.0611143467287905
ABCA12,0.1534134557935241,0.0882514233163088,0.0710153368278004
ABCA13,0.3166332521038706,0.0827697012409317,0.1538342069501067
ABCB1,0.1996315310692109,0.0203742581424106,0.0749174917491749
ABCB5,0.2770861774205926,0.0729326317921437,0.0947194719471947
ABCC11,0.1177769827255616,0.0713075277182478,0.061094933022714
ACAN,0.1403960411690175,0.065163239008862,0.0807221898660454
ACTN2,0.1629036078322528,0.0690658022133063,0.0750339739856338
ADAMTS12,0.3623951510646764,0.1085140689996831,0.183401281304601
ADAMTS16,0.1520289842377383,0.0662169197411448,0.0847602407299553
ADAMTS18,0.1102015693166923,0.0459390935223604,0.061094933022714
ADAMTS2,0.1869603992799127,0.0891259861047606,0.0729955348476024
ADAMTS20,0.1979136032111958,0.063330157329121,0.1064841778295476
ADAMTS5,0.1946233815134076,0.1333083572302986,0.0611725878470199
ADAMTSL1,0.2491201293448214,0.1217129075505139,0.0670549407881964
ADAMTSL3,0.1729669328272501,0.0860404840592557,0.0828771112405358
ADCY2,0.250891729025095,0.0767274202789946,0.0808192583964278
ADCY8,0.2193676971099062,0.1019104703982926,0.0729372937293729
AFF2,0.1764650853826975,0.0308612490442095,0.1143079013783731
AHNAK,0.1931678985079177,0.0419753572773636,0.118384779654436
AHNAK2,0.2393767221269974,0.0637990378195299,0.1499514657348088
AKAP6,0.1434601811897675,0.0530865371385588,0.0749951465734808
ALMS1,0.1632586912462439,0.1321072784184445,0.0651329838866239
ALPK2,0.2775084440895049,0.0627953555439125,0.059192389827218
AMER1,0.1310981963746824,0.0584871761525006,0.0592700446515239
AMER3,0.1946543885098777,0.087617186019184,0.0749369054552514
ANK1,0.1485170904463662,0.079660555035833,0.0729567074354494
ANK2,0.3642116963866309,0.091990466288743,0.1932440302853814
ANK3,0.1678945495527562,0.0444364468271212,0.0690351388079984
ANKRD30A,0.2214888361693194,0.1061462113273827,0.1044651523975926
ANKRD30B,0.2229675279624841,0.1519965976251925,0.0710541642399534
APOB,0.379759470493421,0.0284250346091646,0.1775383420695011
ARID1A,0.1113843793600412,0.0580620672765814,0.0590953212968355
ASH1L,0.1022691895310378,0.0536093086804307,0.0611920015530964
ASPM,0.2326969164919015,0.0646611618141426,0.1321879246748204
ASTN1,0.2997616501529456,0.1179807741584026,0.1499902931469617
ASTN2,0.1882934121476137,0.1044117804648114,0.0886818093574063
ASXL3,0.2851167622165972,0.1114658743868838,0.1341098815763929
ATM,0.2315943608627429,0.1231723932810363,0.0808580858085808
ATP10B,0.1260373125126853,0.0613158899937324,0.0591341487089885
ATRNL1,0.2671695988582986,0.0576144878265018,0.0847602407299553
ATRX,0.1122760899432423,0.021424873159585,0.061133760434867
BCHE,0.1756896385011117,0.085422857223193,0.0629780625121335
BCLAF1,0.1654340170453991,0.0598709570340668,0.0689380702776159
BCORL1,0.1052184976904706,0.0372128372963986,0.0690157251019219
BIRC6,0.1570298257487499,0.0591688302537198,0.0847990681421083
BOD1L1,0.1977562745506598,0.1018034390080172,0.0788196466705494
BRAF,0.1549935923862473,0.0591239649442242,0.0789361289070083
BRINP3,0.2740475682098265,0.1119425778573779,0.1282663560473694
BRWD3,0.1820813578625976,0.1455745546336362,0.0730926033779848
C7,0.1803455589830886,0.1101205606337859,0.0670161133760434
CACNA1B,0.131595023134794,0.0244506415553452,0.065055329062318
CACNA1C,0.1663236512367913,0.1012999506496575,0.0887982915938652
CACNA1E,0.3632679517790855,0.1046484487667082,0.1518151815181518
CACNA1F,0.1987359521756266,0.2198576599914273,0.057173364395263
CACNA2D1,0.2112685846174934,0.0814526976716696,0.0808386721025043
CCDC178,0.1760604290522491,0.1030986005419902,0.0769171034750533
CDH10,0.4019188823221278,0.1164848417419567,0.1675791108522617
CDH12,0.2861333748240959,0.0626613583338393,0.1143661424966026
CDH18,0.3277149629401243,0.1069041022541648,0.0965831877305377
CDH23,0.1331624012979782,0.0357025228784662,0.059192389827218
CDH6,0.1958173989576146,0.0906612572977984,0.0591729761211415
CDH7,0.1296667658739039,0.0557045621709777,0.0847408270238788
CDH8,0.1714302220094706,0.053549664747007,0.0847214133178023
CDH9,0.228658694986702,0.0700890602659954,0.1123665307707241
CENPF,0.1852587922302136,0.1253176020498234,0.0710735779460298
CFH,0.2379481865379841,0.1142542200906229,0.065055329062318
CHD6,0.1677026671859665,0.093651213787735,0.059153562415065
CHL1,0.2451785593289707,0.1390265807983317,0.0807998446903514
CHRM2,0.1843612409937449,0.1051603175356036,0.0591729761211415
CLCN1,0.2214342655193966,0.0681222193570846,0.0789167152009318
CMYA5,0.1280053206607984,0.0527591953488916,0.0572704329256455
CNTN1,0.2489610156011542,0.1664249910041186,0.059153562415065
CNTN5,0.186451209296978,0.082570343370919,0.0769171034750533
CNTNAP2,0.1644212243079116,0.0397745164712126,0.124208891477383
CNTNAP4,0.1468944569177184,0.0967038390931375,0.0867404387497573
CNTNAP5,0.3344619447628966,0.1001938921389378,0.126111434672879
COL11A1,0.4129273292721299,0.0505091395318744,0.2012230634828188
COL12A1,0.2365367685887976,0.1002636239520129,0.1104834012813046
COL14A1,0.2773908726456649,0.130934277657073,0.0847990681421083
COL15A1,0.2150071653849863,0.0890808335431447,0.0592118035332945
COL19A1,0.2470567449617352,0.0687633258959854,0.0907590759075907
COL1A2,0.2178984658829231,0.0938178580679695,0.0650359153562415
COL22A1,0.2663145937774273,0.1136634113552279,0.1223257619879635
COL25A1,0.1373080138016416,0.0546692490274871,0.0591729761211415
COL3A1,0.2338152183873152,0.0538983925957525,0.1103863327509221
COL4A1,0.1685428518101308,0.0744973391964664,0.0591341487089885
COL4A2,0.1454975510681332,0.0686730935601206,0.0630945447485925
COL4A5,0.149006642184235,0.0298420809642787,0.0728790526111434
COL5A1,0.1473013353529134,0.0661594407480963,0.0670355270821199
COL5A2,0.2865466581675407,0.0874140704695414,0.0966802562609202
COL6A3,0.2629697442236697,0.0530940903697426,0.1124053581828771
COL6A6,0.2056096101164091,0.0718411106467078,0.0650747427683944
COL7A1,0.1639215653531096,0.061165601693714,0.0691127936323044
CPED1,0.195351889795637,0.055405566130391,0.0749369054552514
CPS1,0.2487961438950618,0.1384505101002522,0.1123859444768006
CR1,0.2198081479741706,0.1337607026659121,0.0631333721607454
CRB1,0.1665006449807831,0.0909216593557258,0.1083284799068142
CSMD1,0.3393983076108569,0.0404001976435564,0.1952630557173364
CSMD2,0.4203809269480703,0.076931464945212,0.1439332168510968
CSMD3,0.6722166525014811,0.0931990078948293,0.3984274898078043
CTNNA2,0.3054118827240234,0.0734605169730281,0.1124247718889536
CTNND2,0.2027900355565765,0.1072208859812849,0.0987186953989516
CUBN,0.2385482709691291,0.1350943690271236,0.1103086779266162
CUX2,0.229145098848197,0.1271898641869311,0.0671131819064259
DCAF12L1,0.1825316548560305,0.0553418657855003,0.0650941564744709
DCAF12L2,0.2108625390279396,0.1417652057476959,0.0690157251019219
DCAF4L2,0.2008575182933969,0.1164950651969649,0.0926227916909338
DCC,0.1906651357941379,0.077753848766436,0.0631333721607455
DCDC1,0.26113972059711,0.0746080782322921,0.0927004465152397
DCHS1,0.2790129838117365,0.2093028027978863,0.0709765094156474
