feature,target,mean_shap
FRMD4B,ABCA10,-0.004237443
MTF2,ABCA10,-0.039369375
NFIC,ABCA10,-0.010364911
OSBPL2,ABCA10,-0.02527023
RSPH4A,ABCA10,0.00021649768
POLD2,ABCA10,-0.07225415
DYRK3,ABCA10,-0.023150485
TVP23B,ABCA10,-0.013239298
STX1A,ABCA10,-0.023963032
C17orf100,ABCA10,-0.020817917
EI24,ABCA10,-0.014023375
INPP5J,ABCA10,-0.011141162
EDN2,ABCA10,-0.0084241
SNX2,ABCA10,-0.009793884
WFDC9,ABCA10,-0.0098278895
PSMB4,ABCA10,-0.019925073
CDK5,ABCA10,-0.085473746
CDC20B,ABCA10,-0.007672921
THNSL1,ABCA10,-0.043806802
KRT18,ABCA10,-0.020333154
CDKN3,ABCA10,-0.14934582
KRT13,ABCA10,-0.04434307
APOM,ABCA10,-0.03828166
MPP3,ABCA10,-0.01602728
TWIST2,ABCA10,-0.025983306
TMEM41B,ABCA10,-0.035097837
IFRD2,ABCA10,-0.05360082
ZFP2,ABCA10,-0.047286
CCDC168,ABCA10,-0.010915446
LAMA2,ABCA10,-0.0067626247
LILRA5,ABCA10,0.001187486
CERS3,ABCA10,-0.011853201
CFH,ABCA10,-0.016153485
TMEM203,ABCA10,-0.029504405
VSTM2L,ABCA10,-0.058346055
SPOPL,ABCA10,-0.032138053
MPST,ABCA10,-0.017209336
CTAG2,ABCA10,-0.023530496
SQOR,ABCA10,-0.03813645
DLL3,ABCA10,-0.012486175
ARL4A,ABCA10,-0.0040777256
NKX3-1,ABCA10,-0.102895044
FAU,ABCA10,-0.075162716
C16orf95,ABCA10,-0.041150253
TMED1,ABCA10,-0.0070995507
SDR9C7,ABCA10,-0.01598965
LMTK2,ABCA10,-0.03543271
LCOR,ABCA10,-0.16610862
AOPEP,ABCA10,-0.015245474
NKAIN4,ABCA10,-0.009965347
CTDNEP1,ABCA10,-0.0075513385
C20orf144,ABCA10,-0.012430539
MMP3,ABCA10,-0.019168476
TRAPPC2L,ABCA10,-0.004116901
ADM5,ABCA10,-0.06366066
SYNPO2,ABCA10,-0.004739501
KLF11,ABCA10,-0.013126483
SYT15,ABCA10,-0.0032646605
KIAA1549L,ABCA10,-0.088694796
AGO2,ABCA10,-0.018533884
SEMA3G,ABCA10,-0.0075054313
FAM9B,ABCA10,-0.02995921
AADAT,ABCA10,-0.022081781
BGN,ABCA10,-0.032345586
GLRA2,ABCA10,-0.06281115
OR52K1,ABCA10,-0.0125536695
PIK3C2G,ABCA10,-0.0046755727
PPP1R2,ABCA10,-0.014056932
CLN8,ABCA10,-0.007114541
H2BC5,ABCA10,-0.008273187
SENP1,ABCA10,-0.02448953
ARHGAP40,ABCA10,-0.014840181
TEX19,ABCA10,-0.015531892
SERPINH1,ABCA10,-0.017917352
STAG2,ABCA10,-0.09894069
PEPD,ABCA10,-0.00708104
TIGD2,ABCA10,-0.0121415295
FNDC8,ABCA10,-0.026617536
ZNF385D,ABCA10,-0.022735007
TPM4,ABCA10,-0.03323086
METTL18,ABCA10,-0.021598754
CLINT1,ABCA10,-0.19714439
PET117,ABCA10,-0.03227197
NMU,ABCA10,-0.006197011
TMEM120B,ABCA10,-0.006835365
TTC30A,ABCA10,-0.0029345602
RNF149,ABCA10,-0.017496128
PDPN,ABCA10,-0.029436698
CA2,ABCA10,-0.0147183025
SHISAL2B,ABCA10,-0.015395114
TMEM74,ABCA10,-0.015327178
NODAL,ABCA10,-0.011686709
ANO7,ABCA10,-0.0057935324
HOXD10,ABCA10,-0.06592634
CDR2L,ABCA10,-0.00771364
COL27A1,ABCA10,-0.022144334
PLAAT1,ABCA10,-0.027381185
EXTL3,ABCA10,-0.0037402434
JAKMIP1,ABCA10,-0.0137120355
GTPBP3,ABCA10,-0.009591198
DNAJC8,ABCA10,-0.032593038
CAV1,ABCA10,-0.030303491
CSRNP1,ABCA10,-0.026021285
DGKI,ABCA10,-0.011207699
