gene,auprc_mean,auprc_std,prevalence_mean
ABCA13,0.1729814170322968,0.0610474023631402,0.1355879059350503
ABCA9,0.0881127057184092,0.0629571794079848,0.0657782754759238
ABCB1,0.0999755235711118,0.0415421284389734,0.0720044792833146
ABCB5,0.0968537171353605,0.0426800424077849,0.0656662933930571
ABCC12,0.1153286051759116,0.0781078504201811,0.0614557670772676
ACACB,0.1050712065343241,0.0272259589648491,0.0826203807390817
ACAN,0.1135485632193989,0.0403020138966992,0.0823740201567749
ADAMTS12,0.1975928597401826,0.0458089312250482,0.178073908174692
ADAMTS16,0.1864113468878575,0.0862000883644699,0.1017469204927211
ADAMTS18,0.15601880380758,0.0821889027047889,0.0720492721164613
ADAMTS20,0.1704004221468544,0.0565855940252123,0.1080179171332586
ADAMTSL3,0.1737230166240473,0.1113021470734463,0.0655767077267637
ADCY2,0.1123546281250844,0.0518182159604678,0.0657782754759238
ADCY8,0.0887177585978785,0.0266713419467584,0.0762597984322508
AHCTF1,0.1094503400960769,0.1031284769833195,0.0572228443449048
AHNAK,0.1504091975735235,0.0424164581142735,0.1206942889137737
AHNAK2,0.1618486499503522,0.0825592729620509,0.1145128779395296
AKAP13,0.09571333650604,0.060002079361485,0.0657110862262038
AKAP6,0.0815919716609176,0.0306538598401219,0.0593057110862262
AKAP9,0.1421711911350709,0.0926666625953353,0.0699440089585666
ALMS1,0.1398999974048947,0.0585816560091939,0.0953863381858902
ALPK2,0.1020473445808229,0.0547732491799445,0.0720716685330347
AMER3,0.1338089245287518,0.0731434049320615,0.0635610302351623
ANK1,0.1652115724580852,0.1341806961811517,0.05505039193729
ANK2,0.1687330601792522,0.0417192064629838,0.135565509518477
ANK3,0.0727263071232596,0.0155702149290788,0.0613885778275475
ANKRD30A,0.1436645264709685,0.0372090712952821,0.1101679731243001
ANKRD30B,0.1149859552552095,0.0735052373641843,0.0593281075027995
ANKS1B,0.0905074253315353,0.0221412106802755,0.074087346024636
ANO4,0.1335245193258884,0.0600172521049505,0.063538633818589
ANO5,0.099325358060584,0.0387478790680447,0.0614109742441209
APOB,0.2220301481705051,0.0568130646579078,0.1546248600223964
ARHGAP35,0.1112812324919028,0.0876455915718729,0.0593952967525196
ARID1A,0.088100444027723,0.0301279387994728,0.0656662933930571
ARID1B,0.1067486319820883,0.044502304288468,0.0614109742441209
ASCC3,0.0827252436254305,0.0254353643590033,0.0698768197088465
ASPM,0.0757221763311705,0.0241317239475151,0.0825307950727883
ASTN1,0.171538113397168,0.0503650271754446,0.0911758118701007
ASTN2,0.1005935687550427,0.0594593656529263,0.0592609182530795
ASXL3,0.1532046655124619,0.0934544421342492,0.0783650615901455
ATM,0.0794326248694203,0.0305400820434216,0.0571780515117581
ATP10A,0.1655978613630541,0.1087788744919255,0.0950951847704367
ATP10B,0.095314415025598,0.0446098579233246,0.0614781634938409
ATRNL1,0.0785571058777039,0.0400970320265888,0.0572228443449048
BCHE,0.1020354913632536,0.0312770816489603,0.0678387458006718
BCLAF1,0.0905967226714014,0.0319198447956559,0.0783874580067189
BIRC6,0.1473131943547744,0.1237504643225809,0.1018365061590145
BRCA2,0.0882269186991203,0.0485125706409026,0.0656438969764837
BRINP1,0.1317263487611467,0.0864546857213305,0.0655543113101903
BRINP2,0.092840127835487,0.0481759336067579,0.0677491601343785
BRINP3,0.1900374803850658,0.0833910833925786,0.141993281075028
BRWD3,0.1778990307685204,0.109494327607765,0.0869204927211646
C2orf16,0.0642504070089749,0.0236205518279552,0.0592609182530795
C6,0.139664320585283,0.0625325425982971,0.097491601343785
C7,0.1076381996555392,0.0494782248363614,0.0593729003359462
CACNA1A,0.0892584723944889,0.017613107337018,0.0719820828667413
CACNA1C,0.1893548798115317,0.0617189699715551,0.0782754759238521
CACNA1E,0.1694926646933776,0.0153791025663976,0.1079507278835386
CCDC141,0.0998532973538333,0.0430953141798818,0.0613661814109742
CCT8L2,0.1126783855248967,0.0578803665423114,0.0634490481522956
CD163,0.0600947034719818,0.0218010191953792,0.0570884658454647
CD163L1,0.1182932569758631,0.1348025187608741,0.0551623740201567
CDH10,0.2595266556088537,0.0660435055232408,0.1948488241881299
CDH12,0.1603880091298746,0.0771517645913017,0.1038297872340425
CDH18,0.1703757719823249,0.0662581678214921,0.1165061590145576
CDH8,0.1308691127263443,0.0967164298838765,0.0826203807390817
CDH9,0.1406825253824866,0.0292253489685427,0.1017021276595744
CDKN2A,0.2176668834029033,0.0799677411997574,0.1502575587905935
CENPE,0.1264569876162124,0.13607333481025,0.0571780515117581
CEP192,0.1091820860357998,0.0665652734638535,0.0572004479283314
CFH,0.1507630332164132,0.1303884263314966,0.0571780515117581
CHD7,0.0956285973076637,0.0105996715379905,0.0806270996640537
CHRM2,0.1375311152849234,0.0756148514357053,0.0572452407614781
CLSTN2,0.0745655156367562,0.0241942987292868,0.0593729003359462
CMYA5,0.0884417054055277,0.0328537044631933,0.0763045912653975
CNGB3,0.0976251584597978,0.0369379867840793,0.0656886898096304
