feature,target,mean_shap
AAGAB,ADAMTSL3,-0.014314381
PRR14,ADAMTSL3,-0.011583172
CTBP1,ADAMTSL3,-0.0227534
MACIR,ADAMTSL3,-0.013634709
TTC39C,ADAMTSL3,-0.03545559
TRIM73,ADAMTSL3,-0.0020710335
SPESP1,ADAMTSL3,-0.0035950309
INHA,ADAMTSL3,-0.037378665
CRPPA,ADAMTSL3,-0.017694041
KCNMB4,ADAMTSL3,-0.03512717
NPAS3,ADAMTSL3,-0.01042256
MMACHC,ADAMTSL3,-0.0236553
GNG12,ADAMTSL3,-0.02530218
PHLDB2,ADAMTSL3,-0.00983676
CCZ1,ADAMTSL3,-0.024367658
MUCL1,ADAMTSL3,-0.02456432
GOLGA8S,ADAMTSL3,-0.011628668
CYP4F11,ADAMTSL3,-0.015733333
LAMTOR5,ADAMTSL3,-0.024838202
DEFB1,ADAMTSL3,-0.018853744
ACTR1A,ADAMTSL3,-0.018944548
RAB34,ADAMTSL3,-0.03645185
VEGFD,ADAMTSL3,-0.0034580757
STARD3,ADAMTSL3,-0.031203154
HACE1,ADAMTSL3,-0.055382855
PEPD,ADAMTSL3,-0.027040701
ZFYVE26,ADAMTSL3,-0.007910028
AEBP1,ADAMTSL3,-0.027515236
ZNF226,ADAMTSL3,-0.027791953
HMX2,ADAMTSL3,-0.012864039
DHX36,ADAMTSL3,-0.008632435
BARX2,ADAMTSL3,-0.0026714636
PIGV,ADAMTSL3,-0.018516421
ANKRD1,ADAMTSL3,-0.0059949365
TPRG1L,ADAMTSL3,-0.013133576
LAMP3,ADAMTSL3,-0.013556011
TAF5,ADAMTSL3,-0.017929466
ZNF667,ADAMTSL3,-0.023836588
ZBTB10,ADAMTSL3,-0.06167739
CD58,ADAMTSL3,-0.017094731
DNAH3,ADAMTSL3,-0.12503308
ZDHHC16,ADAMTSL3,-0.02794804
EVPLL,ADAMTSL3,-0.009684854
GLDC,ADAMTSL3,-0.02144278
MTARC2,ADAMTSL3,-0.03729498
EML3,ADAMTSL3,-0.13581909
RHCG,ADAMTSL3,-0.004038803
GJB4,ADAMTSL3,-0.023921767
MGST2,ADAMTSL3,-0.040868238
TNKS1BP1,ADAMTSL3,-0.08957381
UNC50,ADAMTSL3,-0.0039728517
ZFYVE27,ADAMTSL3,-0.2525429
ANXA11,ADAMTSL3,-0.05620591
PTH2R,ADAMTSL3,-0.011591317
