feature,target,mean_shap
EFR3B,BAP1,-0.017667398
CCR10,BAP1,-0.007898939
HDC,BAP1,-0.00094824797
FOXE1,BAP1,-0.0055855317
CPPED1,BAP1,-0.01589589
PSEN2,BAP1,-0.08677286
DEXI,BAP1,-0.010946211
BCL9,BAP1,-0.045667518
ZNF549,BAP1,-0.043737166
NIT2,BAP1,-0.0040684617
IRX1,BAP1,-0.023314191
TMEM98,BAP1,-0.039454382
CCDC7,BAP1,-0.0152168805
FOXO1,BAP1,-0.026070928
ZNF551,BAP1,-0.028322022
FYCO1,BAP1,-0.0076279826
ZNF467,BAP1,-0.11786354
KRTAP5-4,BAP1,-0.035914257
BNIP5,BAP1,-0.021734813
SERPINB10,BAP1,-0.09802602
PDZRN4,BAP1,-0.012925124
LRRN1,BAP1,-0.0915978
SLC26A11,BAP1,-0.03157613
RGS7,BAP1,-0.033416558
C2orf88,BAP1,-0.0056021903
PPM1E,BAP1,-0.06423066
MXI1,BAP1,-0.026360283
CEACAM1,BAP1,-0.068524756
WSCD1,BAP1,-0.031631142
G3BP2,BAP1,-0.009000504
BVES,BAP1,-0.025197133
HSPA2,BAP1,-0.037979133
NCOA7,BAP1,-0.0031940136
EOGT,BAP1,-0.015946431
C18orf21,BAP1,-0.05767949
RAD54L2,BAP1,-0.01669411
OCIAD1,BAP1,-0.008714711
CYB561D2,BAP1,-0.1184577
EIF3L,BAP1,-0.017853132
EPS8,BAP1,-0.04478023
ZNF491,BAP1,-0.06325632
WNT8A,BAP1,-0.28270003
SERINC1,BAP1,-0.017496461
ISOC2,BAP1,-0.027548218
SARNP,BAP1,-0.07295914
ZNF256,BAP1,-0.014551289
TXLNB,BAP1,-0.028394153
SLC12A5,BAP1,-0.13984668
PFDN2,BAP1,-0.013085053
TOMM5,BAP1,-0.022139067
TMEM209,BAP1,-0.08964416
SSPN,BAP1,-0.015762642
NF2,BAP1,-0.028985394
NSD3,BAP1,-0.16017155
BST1,BAP1,-0.02224449
SIRPA,LATS2,-0.0016884347
KIRREL2,LATS2,-0.08421956
MGARP,LATS2,-0.031039054
RBM11,LATS2,-0.048553832
CYP21A2,LATS2,-0.019413996
SOCS2,LATS2,-0.016059948
TOMM22,LATS2,-0.51829517
DOCK11,LATS2,-0.18241924
THRSP,LATS2,-0.03624125
PSME2,LATS2,-1.1295223
KCNH2,LATS2,-0.31517732
SCN4B,LATS2,-0.19390266
GRAMD2B,LATS2,-0.86847246
CDK1,SETD2,-0.042373717
TSPAN8,SETD2,-0.011613124
MTHFSD,SETD2,-0.02257472
ZNF461,SETD2,-0.12501141
CFAP97D1,SETD2,-0.01535677
IQCD,SETD2,-0.037470195
GPX2,SETD2,-0.031810403
STK11IP,SETD2,-0.022475397
UNC5D,SETD2,-0.11080186
ZNF320,SETD2,-0.006914644
APOD,SETD2,-0.06464806
SRPK3,SETD2,-0.8103588
AC013470.2,SETD2,-1.3244014
TMEM132C,SETD2,-0.08375484
SMIM23,SETD2,-0.032308057
ZNF284,SETD2,-0.90157336
ATG4C,SETD2,-0.12263623
PRDM6,TP53,-0.0051496234
SSUH2,TP53,-0.015519348
XRCC6,TP53,-0.0014440983
STARD9,TP53,0.0028879247
RUVBL2,TP53,0.00048618083
KDELR3,TP53,-0.026761664
SLC40A1,TP53,-0.020662889
FXYD2,TP53,-0.09718621
ZNF521,TP53,-0.013177532
ZNF630,TP53,-0.010160362
PARM1,TP53,-0.020131327
MPV17L,TP53,-0.010991368
TBX19,TP53,-0.00046930893
METTL9,TP53,-0.006246506
KCNH1,TP53,-0.011156081
CFAP58,TP53,-0.0074982713
SNRK,TP53,-0.16792405
PHLDA3,TP53,-0.3969716
APOD,TP53,-0.15098883
PABPC5,TP53,-0.39225152
FRMPD1,TP53,-0.08438379
ALX4,TP53,-0.033682805
SESN1,TP53,-0.6322954
CATSPERB,TP53,-0.037743162
FKBP1C,TP53,-0.018981656
BBC3,TP53,-0.07822567
TMEM241,TP53,-0.02557399
MARVELD3,TP53,-0.053744745
CYFIP2,TP53,-0.20837645
BEND5,TP53,-0.060413826
PINK1,TP53,-0.030377215
ENTPD8,TP53,-0.007060842
NBPF1,TP53,-0.015693842
BTG2,TP53,-0.07178171
RBPMS,TP53,-0.010847266
GRIK4,TP53,-0.08909933
RNF157,TP53,-0.040856306
ERMN,TTN,-0.09622842
KLF9,TTN,-0.017177347
CCPG1,TTN,-0.022239845
DNAJC22,TTN,-0.020893103
BBS12,TTN,-0.00086125673
LRGUK,TTN,-0.018970724
NBPF3,TTN,-0.011188515
BBIP1,TTN,-0.00933111
TRAPPC5,TTN,-1.0978342
IMPDH1,TTN,-0.12924407
LRAT,TTN,-0.05703256
PPIC,TTN,-0.015598082
BVES,TTN,-0.034694288
STARD5,TTN,-0.04023692
CCDC87,TTN,-0.041515324
MRPL48,TTN,-0.023758404
TBC1D30,TTN,-0.058154594
CCDC9B,TTN,-0.053951766
WNK2,TTN,-0.005171047
SPATA6L,TTN,-0.07139256
AKAP7,TTN,-0.032146383
SYDE1,TTN,-0.037383236
SLC26A9,TTN,-0.0016630662
FAHD2A,TTN,-0.012977294
FGD3,TTN,-0.002971973
ABCC2,TTN,-0.13053048
PLA2G4A,TTN,-0.88305616
OGN,TTN,-0.054450385
EMX1,TTN,-0.1041164
CUEDC1,TTN,-0.046601135
