gene,auprc_mean,auprc_std,prevalence_mean
ABCC11,0.3333333333333333,,0.05
AHNAK,0.6458333333333334,0.4103690750748377,0.2166666666666666
ARHGEF7,1.0,,0.0666666666666666
BRCA1,,,0.0
DNAH5,0.25,,0.05
DNAH8,,,0.0
DSCAML1,0.3333333333333333,0.0,0.1333333333333333
DYNC1H1,1.0,0.0,0.1166666666666666
FCGBP,,,0.0
HIVEP3,1.0,,0.05
IL21R,0.5,,0.05
KMT2C,0.75,0.4330127018922193,0.1666666666666666
KPRP,0.5,,0.05
LAMC1,0.2916666666666666,0.0589255650988789,0.1166666666666666
MUC17,0.375,0.1767766952966369,0.1166666666666666
RYR1,0.611111111111111,0.3469443332443555,0.1666666666666666
SETD1A,,,0.0
SSRP1,1.0,,0.05
SYNE2,0.611111111111111,0.1924500897298752,0.2333333333333333
TACC2,0.3333333333333333,,0.05
TP53,0.8388888888888889,0.1728036779443977,0.8333333333333334
TTN,0.5555555555555555,0.3938179688543841,0.2
USH2A,1.0,,0.05
USP26,1.0,0.0,0.1166666666666666
