gene,auprc_mean,auprc_std,prevalence_mean
ARID1A,0.1368151340996168,0.0825354157655154,0.0470588235294117
CDKN2A,0.3357710054263528,0.1459550182555645,0.2
CSMD2,0.0756488813474107,0.0200363293792865,0.0470588235294117
GNAS,0.4553625173005304,0.3607208924033976,0.0529411764705882
KRAS,0.8995553841897401,0.0739123131818762,0.6529411764705882
MUC16,0.0973655322324769,0.0276319096444786,0.0764705882352941
PCDH15,0.0656620802695308,0.0283079357709064,0.0470588235294117
RNF43,0.1006534619768315,0.0561239005412273,0.0647058823529411
RYR1,0.1276790167307901,0.1265160595615089,0.0470588235294117
SMAD4,0.3005116005863863,0.1044480577568158,0.2117647058823529
TP53,0.7858146849457697,0.120854263824692,0.6058823529411765
TTN,0.3128757825710929,0.1768713207096904,0.1588235294117647
