feature,target,mean_shap
CATSPER2,CDKN2A,0.000255897
GJB3,CDKN2A,-0.0035408174
CLDN5,CDKN2A,-0.02418743
AC022415.2,CDKN2A,-0.0040276223
LDHD,CDKN2A,-0.010918701
VENTX,CDKN2A,-0.0056599914
INHBB,CDKN2A,-0.0016179247
DHX37,CDKN2A,-0.009027778
IGFALS,CDKN2A,-0.01010636
SPRR2F,CDKN2A,-0.009976789
SFRP5,CDKN2A,-0.0053613107
RAB7B,CDKN2A,-0.0022726553
B3GNT7,CDKN2A,-0.043747053
ACP6,CDKN2A,-0.022022445
C21orf62,CDKN2A,-0.021789532
RSPH14,CDKN2A,-0.008591971
TAF13,CDKN2A,-0.015943121
NEIL2,CDKN2A,-0.0099181915
CREB5,CDKN2A,-0.006916035
CYP27C1,CDKN2A,-0.022464177
CEACAM8,CDKN2A,-0.04662531
CASP9,CDKN2A,-0.032121174
KCNN4,CDKN2A,-0.26036263
THBS3,CDKN2A,-0.006526775
ACAP2,CDKN2A,-0.0035223046
SLC25A35,CDKN2A,0.0013690781
FSIP2,CDKN2A,-0.0116572175
ST20,CDKN2A,-0.016791658
TSPAN6,CDKN2A,-0.03274786
B3GNT9,CDKN2A,-0.008067265
URB2,CDKN2A,-0.0096399095
WDR76,CDKN2A,-0.0098303
GCDH,CDKN2A,-0.003937439
LPIN2,CDKN2A,-0.017547565
PLD6,CDKN2A,-0.022708101
LILRA2,CDKN2A,-0.027083913
HPCAL4,CDKN2A,-0.017804747
AQP10,CDKN2A,-0.014653312
HSPB6,CDKN2A,-0.0043166107
RPL3L,CDKN2A,-0.025622223
CENPH,CDKN2A,-0.0029203256
HBA2,CDKN2A,-0.0124416845
CNKSR1,CDKN2A,-0.04901094
CPB2,CDKN2A,-0.021730147
SOX21,CDKN2A,-0.10517739
WASHC1,CDKN2A,-0.07180233
KLK10,CDKN2A,-0.14912781
COL18A1,CDKN2A,-0.008001358
CDKN2A,CDKN2A,-1.0044454
PPARG,CDKN2A,-0.03864965
PLAG1,CDKN2A,-0.03138923
SLC26A5,CDKN2A,-0.0031391336
DNAJC12,CDKN2A,-0.0049067363
INF2,CDKN2A,-0.037697867
SMCHD1,CDKN2A,-0.018905189
MAL,CDKN2A,-0.049619727
IL17RD,CDKN2A,-0.010983996
CCND2,CDKN2A,-0.02616949
UGT1A10,CDKN2A,-0.0029111756
BEST3,CDKN2A,-0.017235788
NR4A2,CDKN2A,-0.012196043
PRKCZ,CDKN2A,-0.03786501
KRT79,CDKN2A,-0.013148789
VILL,CDKN2A,-0.035629027
ANKHD1-EIF4EBP3,CDKN2A,-0.011373013
HOXA10,CDKN2A,-0.019391479
SLC22A31,CDKN2A,-0.03490519
IFNE,CDKN2A,-0.19135137
RHOXF1,CDKN2A,-0.00634133
COL24A1,CDKN2A,-0.019288275
FABP6,CDKN2A,-0.027121942
CHRNA5,CDKN2A,-0.011383606
GPR179,CDKN2A,-0.0040989527
P2RX5,CDKN2A,-0.020643633
SPINK13,CDKN2A,-0.013817093
TMX1,CDKN2A,-0.006354003
GABRA2,CDKN2A,-0.02206612
CACNG4,CDKN2A,-0.004334415
NTS,CDKN2A,-0.003662481
NAGS,CDKN2A,-0.008606903
