feature,target,mean_shap
RAB11FIP4,HRAS,-0.028767826
ABHD14B,HRAS,-0.07032742
GABRD,HRAS,-0.033104204
NPTX1,HRAS,-0.10991008
BLOC1S3,HRAS,-0.0082172705
RPL27,HRAS,-0.02510084
COMP,HRAS,-0.061186384
RPS12,HRAS,-0.07992215
SOD2,HRAS,-0.40875342
C12orf29,HRAS,-0.07991913
TPH2,HRAS,-0.049624108
CCNC,HRAS,-0.020491647
RGS14,HRAS,-0.025222927
TMEM52,HRAS,-0.010156705
HRAS,HRAS,-0.29823425
RIMBP2,HRAS,-0.028804969
RANBP1,HRAS,-0.04432435
TMEM114,HRAS,-0.08917207
HIRA,HRAS,-0.09226858
PNMT,HRAS,-0.27380323
ANKRD13B,HRAS,-0.09336856
CENPS,HRAS,-0.0069037136
APOB,HRAS,-0.038240787
PEX3,HRAS,-0.03135547
ZNF705G,HRAS,-0.021512102
PUS1,HRAS,-0.0069436342
SERPIND1,HRAS,-0.14414667
DKK1,HRAS,-0.01668268
GFAP,HRAS,-0.44657287
ZNRD2,HRAS,-0.000631365
TRIP6,HRAS,-0.014238009
CCNO,HRAS,-0.07120747
ALLC,HRAS,-0.07675081
GALNT14,HRAS,-0.03437337
TMIGD2,HRAS,-0.029427348
HLA-A,HRAS,-0.024153419
ETV7,HRAS,-0.17496067
CERCAM,HRAS,-0.04752393
STAT4,HRAS,-0.08354944
SFT2D1,HRAS,-0.20600185
TRIM28,HRAS,-0.018663296
RGL3,HRAS,-0.060265053
RSKR,HRAS,-0.07417126
SCGB2A2,HRAS,-0.06162223
TIGD1,HRAS,-0.019966234
SMTNL1,HRAS,-0.1060878
POPDC2,HRAS,-0.025398143
CDPF1,HRAS,-0.11282744
PDE3A,HRAS,-0.0042726886
NMI,HRAS,-0.17278844
AKNA,HRAS,-0.08673689
PTPN3,NF1,-0.003891942
KRT32,NF1,-0.0053657033
NAA38,NF1,-0.0050147185
PLXNB3,NF1,-0.40018845
RTN4RL2,NF1,-0.02487017
ZNF423,NF1,-0.019044092
MPO,NF1,-0.01825674
STT3B,NF1,-0.05660112
AOAH,NF1,-0.011769246
BLNK,NF1,-0.052217353
SSBP1,NF1,-0.0115044
TMEM132D,NF1,0.0029707437
MBNL2,NF1,-0.034694042
SLITRK5,NF1,-0.0077256174
CFAP300,NF1,-0.024256159
SOCS2,NF1,-0.009146463
PDE2A,NF1,-0.028726561
EML4,NF1,-0.07329736
COL4A3,NF1,-0.006432417
SSTR3,NF1,-0.116774745
ABCC5,NF1,-0.015784742
NF1,NF1,-0.32860413
DEDD2,NF1,-0.062127087
DDIT3,NF1,-0.05304338
CLDN9,NF1,-0.0991153
PYM1,NF1,-0.014184347
XKRX,NF1,-0.011873001
ZNF10,NF1,-0.016886005
ACOXL,NF1,-0.03895769
GRIK1,NF1,-0.11638875
MSH4,NF1,-0.07510206
APLP1,NF1,-0.29292998
ADGRG1,NF1,-0.032121446
KSR1,NF1,-0.044036537
MOXD1,NF1,-0.2000926
NPDC1,NF1,-0.043190245
CORO6,NF1,-0.058139883
KRT19,NF1,-0.009250384
FHOD3,NF1,-0.088682204
SUZ12,NF1,-0.03370168
LGI1,NF1,-0.077651516
NSRP1,NF1,-0.25333834
LPA,NF1,-0.045562543
ARHGAP24,NF1,-0.035516445
SPSB3,NF1,-0.07868949
PIM2,NF1,-0.018628964
DPY19L1,NF1,-0.034263548
HHEX,NF1,-0.015508527
MGAT4C,NF1,-0.08988696
DKK4,NF1,-0.014961788
EFHB,NF1,-0.024907505
PARD6A,NF1,-0.048034433
BIN1,NF1,-0.18565947
CPD,NF1,-0.7614448
ACYP2,NF1,-0.19316025
