feature,target,mean_shap
FGF1,FOXA1,-0.0010765422
PLEKHF1,FOXA1,-0.027172996
PLEKHG4,FOXA1,-0.007901731
H3C10,FOXA1,-0.05820794
DDX21,FOXA1,-0.004816785
POLM,FOXA1,-0.0014315696
FAR2,FOXA1,-0.015883785
TMDD1,FOXA1,-0.0034060918
ABCB6,FOXA1,-0.01876142
SCGN,FOXA1,-0.030190198
TARBP1,FOXA1,-0.058648188
CLCF1,FOXA1,-0.1801713
SNX14,FOXA1,-0.04338424
ANKRD13B,FOXA1,-0.013255532
CTSE,FOXA1,-0.0026316163
SERPINA3,FOXA1,-0.017766891
TSNARE1,FOXA1,-0.0093228705
IL1RAPL1,FOXA1,-0.029070575
EPHA2,FOXA1,-0.00674142
AC098850.3,FOXA1,-0.03965006
RPS4Y2,FOXA1,-0.040886868
MRPL38,FOXA1,-0.025153855
NDUFAB1,FOXA1,-0.011950339
SLC26A5,FOXA1,-0.01562812
PDILT,FOXA1,-0.072642095
EPHA5,FOXA1,-0.057217196
TVP23A,FOXA1,-0.032080255
TMBIM1,FOXA1,-0.027003113
CCL19,FOXA1,-0.16354817
C4orf33,FOXA1,-0.06387545
METTL27,FOXA1,-0.03814372
ZNF614,FOXA1,-0.06882931
ZFR2,FOXA1,-0.0061898516
DRAXIN,FOXA1,-0.020408751
CHMP4A,FOXA1,-0.00798241
SLITRK4,FOXA1,-0.018936729
CELF3,FOXA1,-0.1208491
SYCE3,FOXA1,-0.043848034
ATOH1,FOXA1,-0.025652997
PTPN18,FOXA1,-0.020221272
TOGARAM2,FOXA1,-0.020050647
KCNJ2,FOXA1,-0.015442249
ZNF608,FOXA1,-0.18259397
ITIH6,FOXA1,-0.01194935
PTMA,FOXA1,-0.026375068
OGDHL,FOXA1,-0.22845735
FXYD3,FOXA1,-0.018124972
RALYL,FOXA1,-0.15151666
RPP21,FOXA1,-0.022765415
SYT5,FOXA1,-0.03177579
ADSS1,FOXA1,-0.03288887
ZNF226,FOXA1,-0.111661926
LDLRAD1,FOXA1,-0.014917986
AADAT,FOXA1,-0.012431298
EPO,FOXA1,-0.027102578
TMEM61,FOXA1,-0.027320553
SLC12A1,FOXA1,-0.0020237518
ST6GAL1,FOXA1,-0.009381016
PCDHB8,FOXA1,-0.022380648
TTR,FOXA1,-0.07483386
ADAM2,FOXA1,-0.034779478
DGKD,FOXA1,-0.026306838
HPSE2,FOXA1,-0.021778889
SEC14L3,FOXA1,-0.018938448
CUX2,FOXA1,-0.018025177
ACP4,FOXA1,-0.20069818
OXGR1,FOXA1,-0.38301194
TPM4,FOXA1,-0.038913805
CENPVL3,FOXA1,-0.04194739
EIF4B,FOXA1,-0.01159231
CR589904.2,FOXA1,-0.3339348
GALE,FOXA1,-0.19821884
LRRIQ3,FOXA1,-0.022838313
NEO1,FOXA1,-0.024097748
KIAA1841,FOXA1,-0.0271724
GGT1,FOXA1,-0.026901724
GSTM4,FOXA1,-0.022289
RBM39,FOXA1,-0.009622449
MAPK12,FOXA1,-0.018320931
GOLM1,FOXA1,-0.02971379
PWWP3B,FOXA1,-0.03561412
SLC41A3,FOXA1,-0.022042546
ANXA10,FOXA1,-0.013964278
ITM2C,FOXA1,-0.043576967
GSPT2,FOXA1,-0.54278475
B3GALNT1,FOXA1,-0.016991038
LILRB4,FOXA1,-0.024042116
SPAG11B,FOXA1,-0.026176533
ITGAD,FOXA1,-0.013746713
COL19A1,FOXA1,-0.0070159496
APP,FOXA1,-0.009487465
TBRG1,FOXA1,-0.042723753
FKBP1B,FOXA1,-0.03434018
PROC,FOXA1,-0.14012462
SNTG2,FOXA1,-0.09675312
PPIL6,FOXA1,-0.021906056
ELOA2,FOXA1,-0.023021024
NUTM2E,FOXA1,-0.034019127
SLC22A4,FOXA1,-0.169688
FMOD,FOXA1,-0.051814202
UNC5A,FOXA1,-0.31004366
TFAP2A,FOXA1,-0.034655392
POLR3G,FOXA1,-0.040787574
RPUSD1,FOXA1,-0.013492263
GAS1,FOXA1,-0.001922736
COLEC12,FOXA1,-0.021146616
NAPRT,FOXA1,-0.012958959
DERL1,KMT2D,-0.002585213
ZNF331,KMT2D,-0.007596128
TMEM150C,KMT2D,-0.037829455
AC008073.3,KMT2D,-0.01708437
SLC22A12,KMT2D,-0.011742718
ANXA8,KMT2D,-0.06444178
HS3ST5,KMT2D,-0.014351475
PAOX,KMT2D,-0.0028253212
C10orf90,KMT2D,-0.027238823
HS3ST2,KMT2D,-0.00855548
TMEM273,KMT2D,-0.008142929
AC001226.2,KMT2D,-0.013388416
ATP8B4,KMT2D,-0.023044415
RFPL2,KMT2D,-0.014208315
AC139491.7,KMT2D,-0.060598038
GRIN2B,KMT2D,-0.0162461
EMILIN2,KMT2D,-0.04678386
RAB40A,KMT2D,-0.008528722
CSF3,KMT2D,-0.0109235775
CA14,KMT2D,0.00014677565
TSPAN32,KMT2D,-0.010081329
NCBP2L,KMT2D,-0.015192149
SLC16A10,KMT2D,-0.008039598
DNAAF1,KMT2D,-0.011695146
MESP2,KMT2D,-0.0365157
HMX2,KMT2D,-0.058968388
FAM186B,KMT2D,-0.012247025
SULT1A2,KMT2D,-0.01195547
CBS,KMT2D,-0.047012147
FAM162B,KMT2D,-0.045714248
MEGF11,KMT2D,-0.052584272
EEF1AKMT3,KMT2D,-0.007438368
PCDHGA6,KMT2D,-0.02384879
UNC13C,KMT2D,-0.011771801
SAAL1,KMT2D,-0.10853464
CAVIN3,KMT2D,-0.043859657
KCNMB2,KMT2D,-0.023844274
TNIK,KMT2D,-0.0149071
TRIM46,KMT2D,-0.018588608
ITLN2,KMT2D,-0.016764067
RNF168,KMT2D,-0.013982654
ACOT1,KMT2D,-0.045127716
HAPLN1,KMT2D,-0.0150461355
HCST,KMT2D,-0.03237525
WEE2,KMT2D,-0.015944665
MACROH2A2,KMT2D,-0.080583796
FAM117A,KMT2D,-0.023138274
BCAS1,KMT2D,-0.039710585
PDE1C,KMT2D,-0.01584097
GADD45G,KMT2D,-0.070850305
MYL4,KMT2D,-0.058977023
MB,KMT2D,-0.03848085
CACNA1G,KMT2D,-0.0133670475
EIF3M,KMT2D,-0.037240174
HOXC4,KMT2D,-0.078343645
INF2,KMT2D,-0.00351471
FABP7,KMT2D,-0.054503128
KISS1R,KMT2D,-0.010031408
UTS2,KMT2D,-0.01418149
LCT,KMT2D,-0.024591148
MMP14,KMT2D,-0.024733135
RUFY4,KMT2D,-0.03615605
TRPM8,KMT2D,-0.19178484
DFFB,KMT2D,-0.007611746
KCNE3,KMT2D,-0.019337526
PLA2G2F,KMT2D,-0.041477885
NFKBID,KMT2D,-0.0125457235
BEST3,KMT2D,-0.010022677
ZNF487,KMT2D,-0.012015746
DTNA,KMT2D,-0.033066407
MYO1G,KMT2D,-0.32755992
ZNF678,KMT2D,-0.014807242
AGBL3,KMT2D,-0.019792553
SLC30A3,KMT2D,-0.009373163
NSFL1C,KMT2D,-0.01484693
ATP10A,KMT2D,-0.11621062
ZBTB8OS,KMT2D,-0.026967406
WAS,KMT2D,-0.042424217
NPIPB15,KMT2D,-0.015961342
PER1,KMT2D,-0.011543829
FAM135A,KMT2D,-0.008038982
FCGR2A,KMT2D,-0.027582731
SMIM30,KMT2D,-0.0288191
H2AC8,KMT2D,-0.027759543
SV2C,KMT2D,-0.016237427
BAALC,KMT2D,-0.018891705
FLT3,KMT2D,-0.016522938
CACNG6,KMT2D,-0.035919793
ASPN,KMT2D,-0.010356184
GPX5,KMT2D,-0.012203953
KIR3DL1,KMT2D,-0.07769915
CCDC74B,KMT2D,-0.058551803
SUSD4,KMT2D,-0.03705615
VBP1,KMT2D,0.00012660534
RASAL3,KMT2D,-0.20055775
SLC25A18,KMT2D,-0.020818524
RAB42,KMT2D,-0.017579662
IGFLR1,KMT2D,-0.011365628
APOE,KMT2D,-0.11605498
SDC4,KMT2D,-0.012425388
ANKRD36B,KMT2D,-0.0025771598
WNT9A,KMT2D,-0.03589759
SLC5A1,KMT2D,-0.0139358975
CARD11,KMT2D,-0.021929264
PRSS3,KMT2D,-0.20603822
FCER1G,KMT2D,-0.080348685
RABGGTB,KMT2D,-0.041035417
NTPCR,KMT2D,0.0017048713
MDFI,KMT2D,-0.025629811
PTGES,KMT2D,-0.009213793
PLIN1,KMT2D,-0.015565938
SLC15A2,KMT2D,-0.020848513
C8orf89,KMT2D,-0.021141741
COMMD6,KMT2D,-0.028240608
NQO2,KMT2D,-0.01176069
GHRHR,KMT2D,-0.027172
FOLR2,KMT2D,-0.0332806
NELL1,KMT2D,-0.021873213
ROM1,KMT2D,-0.023131818
OR2A42,KMT2D,-0.022012765
KREMEN2,KMT2D,-0.019721242
MUCL1,KMT2D,-0.033746734
FABP6,KMT2D,-0.018538939
CSAG3,KMT2D,-0.027454503
ERVMER34-1,KMT2D,-0.020088984
MFSD4A,KMT2D,-0.006571843
POF1B,KMT2D,-0.0153572755
HCK,KMT2D,-0.0332281
HIVEP3,KMT2D,-0.008864406
ZNF688,KMT2D,-0.0074758907
CXCL5,KMT2D,-0.02409417
SPATA4,KMT2D,-0.016143754
IL5RA,KMT2D,-0.01921764
KLK4,KMT2D,-0.023780886
ANKHD1-EIF4EBP3,KMT2D,0.00016323316
CTRC,KMT2D,-0.02150637
CHRNA3,KMT2D,-0.015493272
P3H2,KMT2D,-0.02177385
C16orf95,KMT2D,-0.011347248
GSTO1,KMT2D,-0.006046636
SHISAL2A,KMT2D,-0.010238432
STMN1,KMT2D,-0.010675044
LACC1,KMT2D,-0.012759497
CRYBB1,KMT2D,-0.024855565
TAS2R19,KMT2D,-0.04496446
EPDR1,KMT2D,-0.0157866
AC244197.3,KMT2D,-0.017121097
TTLL6,KMT2D,-0.010025695
HSFX2,KMT2D,-0.034402665
IGBP1P2,KMT2D,-0.013911295
MUC12,KMT2D,-0.054424826
CALCA,KMT2D,-0.019438373
PPP1R12B,KMT2D,-0.0073925857
DUSP6,KMT2D,-0.02183398
GBP3,KMT2D,-0.022244412
ASIC2,KMT2D,-0.03838181
ST8SIA6,KMT2D,-0.028043982
KYNU,KMT2D,-0.0025831931
GCNT1,KMT2D,-0.011375329
FHL3,KMT2D,-0.011385239
TREM2,KMT2D,-0.01623345
AC073082.1,KMT2D,-0.040114116
SFXN2,KMT2D,-0.011790077
MRC1,KMT2D,-0.004415416
MAP3K7CL,KMT2D,-0.007656018
IL13RA2,KMT2D,-0.031311765
PRIMA1,KMT2D,-0.017512245
COL4A4,KMT2D,-0.04020832
MNX1,KMT2D,-0.045250203
ULBP2,KMT2D,-0.001525568
ARSL,KMT2D,-0.11195565
TFF3,KMT2D,-0.03546226
GRM4,KMT2D,-0.019760558
TBC1D3L,KMT2D,-0.026819518
VAMP1,KMT2D,-0.010773602
SLC45A2,KMT2D,-0.015168143
ISG15,KMT2D,-0.003099422
TMPRSS11E,KMT2D,-0.08589224
MUC5B,KMT2D,-0.008216993
TMEM61,KMT2D,-0.017884882
ZNF34,KMT2D,-0.016276145
ZIC2,KMT2D,-0.018038893
TEX52,KMT2D,-0.007519303
CRYAB,KMT2D,-0.017091678
MBLAC1,KMT2D,-0.039920516
SLC37A3,SPOP,-0.0028572774
PAX2,SPOP,-0.00209155
EPS8L2,SPOP,-0.00581691
NCR3,SPOP,0.00022542619
TMEM232,SPOP,-0.010945405
PSMB9,SPOP,-0.005311338
WTIP,SPOP,-0.0057314727
ZNF761,SPOP,-0.04013321
C17orf50,SPOP,-0.05412273
CACNA1G,SPOP,-0.0029048002
SLC38A4,SPOP,-0.04602716
ENTPD2,SPOP,-0.005920642
FOXO3,SPOP,-0.027062476
PAOX,SPOP,-0.07915556
SCPEP1,SPOP,-0.004796038
DEPTOR,SPOP,-0.030962948
SP6,SPOP,-0.0061291633
HEBP1,SPOP,-0.02361801
PHGR1,SPOP,-0.01007882
LDHD,SPOP,-0.042947464
CGREF1,SPOP,-0.004200131
FAM83E,SPOP,-0.032710537
CCNH,SPOP,-0.012763025
TUBB8,SPOP,-0.0010384336
ANGPTL3,SPOP,-0.022131698
IL17RC,SPOP,-0.013508676
GNMT,SPOP,-0.32352182
AP2S1,SPOP,-0.10835247
PPP1R42,SPOP,-0.023945767
LAT2,SPOP,-0.3541665
SPIN4,SPOP,-0.0141647775
KATNAL1,SPOP,-0.017112821
ARFIP2,SPOP,-0.019587519
FBLN7,SPOP,-0.011575098
NADK2,SPOP,-0.002092709
MAPK11,SPOP,-0.026508974
ALOX15B,SPOP,-0.02009213
POTEJ,SPOP,-0.007243984
AGFG2,SPOP,-0.07080317
GCM1,SPOP,-0.044180173
PABPC1L2A,SPOP,-0.17247757
PABPC1L2B,SPOP,-0.058607575
CNKSR3,SPOP,-0.007975265
CCN3,SPOP,-0.033864252
CNKSR2,SPOP,-0.19671518
SOX4,SPOP,-0.004617629
OR5B2,SPOP,-0.11821874
PYGL,SPOP,-0.019712219
PGRMC2,SPOP,-0.012642897
CHD1,SPOP,-0.1661823
FILIP1L,SPOP,-0.0060961572
HEXA,SPOP,-0.09768338
PLG,SPOP,-0.0015803062
BRD2,SPOP,-0.011278213
DPEP1,SPOP,-0.042383816
PITHD1,SPOP,-0.0027149545
TNFAIP8L1,SPOP,-0.0013531412
SEPTIN3,SPOP,-0.009933513
GPR19,SPOP,-0.01034352
CAPN2,SPOP,-0.047766116
VIT,SPOP,-0.016021842
MISP3,SPOP,-0.01393872
LBR,SPOP,-0.011176337
CES3,SPOP,-0.13245557
ATP8A2,SPOP,-0.057148412
ZNF671,SPOP,-0.050004587
ZNF274,SPOP,-0.01866015
NEU3,SPOP,-0.008014161
HS3ST4,SPOP,-0.009239224
ANKFN1,SPOP,-0.101569064
DNAJC12,SPOP,-0.015234911
SEMA3D,SPOP,-0.026858421
ARX,SPOP,-0.0738946
ANPEP,SPOP,-0.03871095
MYRIP,SPOP,-0.016835686
MAP3K2,SPOP,-0.080668956
CCDC141,SPOP,-1.3615121
ZNF419,SPOP,-0.0076192194
DNAJC22,SPOP,-0.07798362
NOSTRIN,SPOP,-0.026580341
KAZALD1,SPOP,-0.30253997
FEV,SPOP,-0.019650578
LRSAM1,SPOP,-0.019102
MLF1,SPOP,-0.0054958197
ACOX2,SPOP,-0.006072529
CRACDL,SPOP,-0.012417169
ZNF511,SPOP,-0.013317302
KLHL23,SPOP,-0.0702475
FBXL4,SPOP,-0.013701242
KCNG3,SPOP,-0.11842536
SLC22A16,SPOP,-0.014221246
TTR,SPOP,-0.04869771
STXBP3,TP53,-0.0047273
TEX22,TP53,-0.0065702084
MTMR8,TP53,-0.005339366
CFAP43,TP53,-0.021861715
ELAVL1,TP53,-0.0007424488
LHFPL3,TP53,-0.00065389124
LMAN2L,TP53,-0.0017518948
DISP1,TP53,-0.0016129545
CLNK,TP53,-0.0077448552
GABARAPL2,TP53,-0.006861898
PLEKHN1,TP53,-0.013956516
CENPF,TP53,-0.0037812048
EYA4,TP53,-0.004020032
CCDC190,TP53,-0.004590312
EIF4A2,TP53,-0.020051884
EWSR1,TP53,-0.07103832
CEP126,TP53,-0.0019780481
PCDHB4,TP53,-0.0055904174
PRM3,TP53,-0.035493065
HOXA9,TP53,-0.0039483556
KLF7,TP53,-0.0042860615
SYT12,TP53,-0.018258305
NLGN4Y,TP53,-0.048046906
SMAD9,TP53,-0.005678624
ADORA3,TP53,-0.012414507
OR6K2,TP53,-0.005779391
PDZRN4,TP53,0.005317075
EEF1D,TP53,0.0007280956
DGAT2,TP53,-0.04077321
KCTD12,TP53,-0.022571249
SLC35A2,TP53,-0.020538786
ROR1,TP53,-3.97375e-05
PIH1D2,TP53,-0.008786393
GMCL2,TP53,-0.004441237
