gene,auprc_mean,auprc_std,prevalence_mean
A2M,0.2667388167388167,0.2047241864775035,0.057516339869281
AASS,0.2477061337355454,0.2911815809235322,0.0588235294117647
ABCA13,0.1868181450902039,0.1597503780673103,0.0928104575163398
ABCA6,0.1163817663817664,0.077396847445781,0.0581699346405228
ABCA8,0.2487433862433862,0.027030933831073,0.057516339869281
ABCB5,0.1256628787878788,0.0639380587430603,0.0692810457516339
ABCC2,0.4044871794871795,0.515761498727871,0.0581699346405228
ACAN,0.4284188034188034,0.3649110366246124,0.0581699346405228
ADAMTS12,0.262987012987013,0.3046320530873601,0.0699346405228758
ADAMTS16,0.1582341269841269,0.0918020627909757,0.0686274509803921
ADAMTS18,0.2100431839402428,0.1187419233093541,0.0816993464052287
ADAMTS20,0.3173400673400673,0.163466626437055,0.0705882352941176
ADARB2,0.138030303030303,0.0548141529919758,0.0692810457516339
ADCY8,0.0794070512820512,0.0163772851699414,0.0581699346405228
ADGB,0.1346872082166199,0.0961762098651762,0.057516339869281
AHNAK,0.1776523109243697,0.1032055633804593,0.0686274509803921
AKAP6,0.1415242165242165,0.0595522953451635,0.0679738562091503
ALMS1,0.1618055555555555,0.0618718433538229,0.057516339869281
AMER1,0.1595719095719095,0.0108954572239698,0.0810457516339869
ANK1,0.1926587301587301,0.0661652058647155,0.0692810457516339
ANK3,0.1327838827838827,0.0598710637232833,0.0581699346405228
ANKS1A,0.1034289784289784,0.006793248215967,0.0581699346405228
APC,0.8934331586849968,0.0659489286408147,0.8503267973856209
APOB,0.1968795093795093,0.1113592890441149,0.0699346405228758
ARFGEF1,0.2121913580246913,0.2231886457283969,0.0581699346405228
ARID1A,0.1309440559440559,0.0386323202080714,0.057516339869281
ARPP21,0.3268939393939394,0.4488182730537869,0.057516339869281
ASH1L,0.1333644568938686,0.0164418143886868,0.0470588235294117
ASPM,0.1680555555555555,0.0884210780133167,0.0588235294117647
ASTN1,0.3115995115995116,0.1581213434695045,0.092156862745098
ASTN2,0.546969696969697,0.3928685912968205,0.0705882352941176
ASXL1,0.1849002849002849,0.1224948645560241,0.057516339869281
ATM,0.1710957792207792,0.1415388076294527,0.1287581699346405
ATP10A,0.1159511784511784,0.0464447993221679,0.0581699346405228
ATP2A1,0.2043650793650794,0.0477428945060157,0.0588235294117647
ATRX,0.2056096681096681,0.2459989510034806,0.0692810457516339
AUTS2,0.1898546918767507,0.2090191857988936,0.0581699346405228
BCL9L,0.1053308823529411,0.0287133686698215,0.0699346405228758
BOD1L1,0.1463755199049316,0.0539301450468265,0.0803921568627451
BRCA2,0.1541666666666666,0.039747466725706,0.0581699346405228
CACNA1C,0.1606060606060606,0.0605302556225399,0.0470588235294117
CACNA1E,0.2314560439560439,0.2162354722984535,0.1032679738562091
CACNA1F,0.5366300366300366,0.4461840694214648,0.0581699346405228
CACNA2D3,0.1605266465560583,0.1607352622429406,0.0699346405228758
