feature,target,mean_shap
RNF144A,A2M,-0.036795445
FOXN2,A2M,-0.036959983
MT-ND1,A2M,-0.045328405
FOXA3,A2M,-0.026529383
EFL1,A2M,-0.66687965
RETSAT,A2M,-0.38444546
REST,A2M,-0.11811526
ZNF486,A2M,-0.28543076
SLC39A2,A2M,-0.0148411635
DDX60,A2M,-0.33046257
SPATA6L,A2M,-0.33013725
WASH6P,A2M,-0.04009414
ARRDC1,A2M,-1.1886045
CCR9,A2M,-0.09663365
ENDOU,A2M,-0.12138681
RPS6KA6,A2M,-0.060380433
APC,A2M,-0.047385495
NUB1,AASS,-0.07072631
ZNF618,AASS,-0.08937282
CHMP4C,AASS,-0.03698135
MOB2,AASS,-0.03778197
FBXO43,AASS,-0.22876115
FAM169A,AASS,-0.14389867
ZNF585B,AASS,-0.48382646
TNFRSF21,AASS,-0.04179971
B3GALT4,AASS,-0.04618188
ITGA3,AASS,-0.1187352
ZNF682,AASS,-0.081875734
FLOT1,AASS,-0.05247173
CD200,AASS,-0.12748967
NETO2,AASS,-0.09885663
FRMPD1,AASS,-0.15164451
COLGALT2,AASS,-1.3375608
MMP24OS,AASS,-0.7933699
MLPH,ABCA13,-0.030941319
TXNDC17,ABCA13,-0.011547745
POU2F3,ABCA13,-0.034161508
SOX18,ABCA13,-0.073905475
ACOT13,ABCA13,-0.09176248
EDN3,ABCA13,-0.030294064
LRP1B,ABCA13,-0.11001038
ACTRT3,ABCA13,-0.008903077
MAT1A,ABCA13,-0.116401374
H2BC14,ABCA13,-0.9823307
FXYD5,ABCA13,-0.032828487
FOXA1,ABCA13,-0.44766787
RBM24,ABCA13,-0.072133966
H2BC21,ABCA13,-0.05495446
KIR2DL1,ABCA13,-0.20119072
SLC49A3,ABCA13,-0.18602538
GPR45,ABCA13,-0.052424278
DNAJC2,ABCA13,-0.04445225
ITGB6,ABCA13,-0.13115206
POLR3G,ABCA13,-0.07256254
SLC7A11,ABCA13,-0.029664092
VIP,ABCA13,-0.0011452788
APOB,ABCA13,-0.06584463
TMEM145,ABCA13,-0.026040252
FAM83G,ABCA13,-0.14307481
DDI2,ABCA13,-0.033331443
PUS7L,ABCA13,-0.026482007
ITGA6,ABCA13,-0.018756183
SHOC2,ABCA13,-0.030198136
TBX18,ABCA13,-0.044896334
APOBEC1,ABCA13,-0.051982883
MMP24OS,ABCA13,-0.15678306
SDR16C5,ABCA13,-0.19739169
POLL,ABCA8,-0.017109381
GRB7,ABCA8,-0.025406506
SP9,ABCA8,-0.10692654
PCDH1,ABCA8,-0.019462168
ERN1,ABCA8,-0.5857671
EMILIN3,ABCA8,-0.04811863
CENPV,ABCA8,-0.043979358
TCF7L1,ABCA8,-0.01398406
PCDHGA11,ABCA8,-0.10295029
GFRA3,ABCA8,-0.3336322
PDE9A,ABCA8,-0.21043392
CIR1,ABCA8,-0.03729612
C1QTNF2,ABCA8,-0.06403147
ACACB,ABCA8,-0.09677303
PRDM13,ABCA8,-0.06587648
DHX34,ABCA8,-0.038931172
MAK16,ABCA8,-1.8224766
FGFR2,ABCA8,-0.055500843
MITD1,ABCA8,-0.25956908
CCDC141,ABCC2,-0.018833743
MRPL42,ABCC2,-0.0056402665
ZCCHC2,ABCC2,-0.032203898
B4GALT4,ABCC2,-0.018695217
SLC30A3,ABCC2,-0.59387565
LMAN1,ABCC2,-0.58788484
ZNF618,ABCC2,-0.8772806
FBXO43,ABCC2,-0.8766734
N4BP2,ABCC2,-0.13631944
KLHL11,ABCC2,-0.24137808
METTL4,ABCC2,-0.28573143
SLC35D2,ABCC2,-0.29361176
HYOU1,ABCC2,-0.13089618
TBC1D17,ACAN,-0.023261959
TMEM184A,ACAN,-0.040092718
CBFB,ACAN,-0.014439845
LRRN1,ACAN,-0.049360983
KDM1B,ACAN,-0.6195138
ODAPH,ACAN,-0.03283295
ZER1,ACAN,-0.03496313
AHSP,ACAN,-0.01928415
CD200,ACAN,-0.37099186
MEX3C,ACAN,-0.107787736
A1CF,ACAN,-0.11601981
AMDHD1,ACAN,-0.06727355
MIEN1,ACAN,-0.06151091
RHOU,ACAN,-0.09849693
CPLX1,ACAN,-0.4236001
PYROXD2,ACAN,-0.09299984
KIR3DL2,ACAN,-1.7881001
CABCOCO1,ADAMTS12,-0.028706122
RETSAT,ADAMTS12,-0.073259756
PLAAT4,ADAMTS12,-0.40199697
RBM17,ADAMTS12,-0.021839868
LRRC10B,ADAMTS12,-0.017033475
PTPN5,ADAMTS12,-0.023392806
POC5,ADAMTS12,-0.020423032
SLC37A1,ADAMTS12,-0.011964635
PRDM13,ADAMTS12,-0.09659198
SERPIND1,ADAMTS12,-0.026837645
KIF26A,ADAMTS12,-0.028905619
USP18,ADAMTS12,-0.07019525
CSPG5,ADAMTS12,-1.0007311
GRIP2,ADAMTS12,-0.05875776
NPSR1,ADAMTS12,-1.7750293
JUND,ADAMTS12,-0.096913345
NTSR2,ADAMTS12,-0.11015012
MAPK3,ADAMTS12,-0.081573494
GCNT2,ADAMTS18,-0.014031776
CHCHD4,ADAMTS18,-0.04807646
CALM3,ADAMTS18,-0.033824153
EIF5B,ADAMTS18,-0.016244765
CELSR3,ADAMTS18,-0.02243602
ADGRF3,ADAMTS18,-0.015385173
ITSN2,ADAMTS18,-0.008404935
CPNE4,ADAMTS18,-0.047326658
RAP2C,ADAMTS18,-0.00728572
SHC4,ADAMTS18,-0.16088615
GSTA2,ADAMTS18,-0.08306066
CYP2C9,ADAMTS18,-0.09324099
SERPINE2,ADAMTS18,-0.46538016
FAM221A,ADAMTS18,-0.35594106
RBCK1,ADAMTS18,-0.029920513
HOGA1,ADAMTS18,-0.07330757
ONECUT2,ADAMTS18,-0.5209949
NDUFA13,ADAMTS18,-0.005657313
CYP24A1,ADAMTS18,-0.05930804
YARS1,ADAMTS18,-0.036023807
XPNPEP1,ADAMTS18,-0.08917122
IER3IP1,ADAMTS18,-0.4919385
NUDT18,ADAMTS18,-0.10501456
CNDP2,ADAMTS18,-0.086649895
ZNF695,ADAMTS18,-0.13535953
PCP4L1,ADAMTS18,-0.5449261
TLCD3A,ADAMTS18,-0.121155806
CDRT1,ADAMTS18,-0.06526798
HLA-DPB1,ADAMTS20,-0.041022293
ANKRD33,ADAMTS20,-0.09217875
STARD3NL,ADAMTS20,-0.015919758
MS4A15,ADAMTS20,-0.041392773
TK1,ADAMTS20,-0.019185118
GOT1,ADAMTS20,-0.07348587
CSPG5,ADAMTS20,-0.06095017
EMILIN2,ADAMTS20,-0.015902385
ZNF219,ADAMTS20,-0.036437884
MARVELD1,ADAMTS20,-0.22410652
GRM1,ADAMTS20,-0.47204098
LGMN,ADAMTS20,-1.1132268
TRPA1,ADAMTS20,-0.2580362
GPRIN1,ADAMTS20,-0.9308641
TXN,ADAMTS20,-0.31629825
GALNTL6,ADAMTS20,-0.08528266
RTN4R,ADAMTS20,-0.15464014
EPYC,AHNAK,-0.04544592
SOCS4,AHNAK,-0.017369652
SIAE,AHNAK,-0.0616992
EHD3,AHNAK,-0.046075694
ADGRG6,AHNAK,-0.23067409
APELA,AHNAK,-0.1120958
SLC25A21,AHNAK,-0.09661661
ARHGEF38,AHNAK,-1.0605148
ARAP2,AHNAK,-0.09010689
ABTB1,AHNAK,-1.4883926
XKR9,AHNAK,-0.070648596
MALRD1,AHNAK,-0.115857266
HOXC6,AHNAK,-0.17651273
UGT8,AHNAK,-0.06440037
AP3S1,AHNAK,-0.06341841
LCMT2,ALMS1,-0.02397347
GJD4,ALMS1,-0.021247482
NUP62,ALMS1,-0.52856374
GPCPD1,ALMS1,-0.035362184
CEACAM1,ALMS1,-1.6029081
PSME3,ALMS1,-0.018581547
HELZ2,ALMS1,-0.02579485
LINS1,ALMS1,-0.25765374
JPH3,ALMS1,-0.10416538
NLRP1,ALMS1,-0.0741757
EFNA2,ALMS1,-0.12184845
ENPEP,ALMS1,-0.1360459
TMSB15B,ALMS1,-0.122743264
NKX2-1,ALMS1,-0.41744402
DNAJC6,ALMS1,-0.33100906
PTMA,ALMS1,-0.10403605
CFHR4,ANK1,-0.15047544
ADH1A,ANK1,-0.02667659
GIMAP2,ANK1,-0.014899932
PTPN3,ANK1,-0.013609275
TFEB,ANK1,-0.035193752
HSPA5,ANK1,-0.83160377
KIR2DL1,ANK1,-0.8105618
KRTAP3-2,ANK1,-0.013915944
C21orf58,ANK1,-0.07031539
MT-CYB,ANK1,-0.6409342
LMNB1,ANK1,-0.051123075
RHBDD1,ANK1,-0.06785799
NETO2,ANK1,-0.08111986
ALB,ANK1,-0.038241073
NCR1,ANK1,-0.0957101
ZNF652,ANK1,-0.24389672
TFAP4,ANK1,-0.0856626
SF3B2,ANK1,-0.13929428
NUCB2,ANK1,-0.03026493
ALDOC,ANK1,-0.0731625
DGKA,ANK1,-0.37710273
OST4,ANK1,-0.043234535
CTTNBP2,APC,0.08015717
CFTR,APC,0.082729295
CGREF1,APC,0.15794495
MRPL40,APC,0.06913929
ALDH7A1,APC,0.32892862
MGAM,APC,0.049841773
HUNK,APC,0.08733183
WSB1,APC,0.04427249
DPEP1,APC,0.05575637
STARD3NL,APC,0.062099155
AVL9,APC,0.14169571
LRCOL1,APC,0.028342647
MOCS2,APC,0.06620483
REPIN1,APC,0.10316489
MYBPC3,APC,0.05183112
NEIL2,APC,0.03986953
EEPD1,APC,0.18528074
DAPK2,APC,0.11000094
RGS17,APC,0.010520051
FBXW10,APC,0.05026023
GPC1,APOB,-0.01621873
FEM1C,APOB,-0.02275742
ICAM2,APOB,-0.019895945
MCOLN2,APOB,-5.7532034e-05
GTF2H3,APOB,-0.046412423
TMEM131L,APOB,-0.033125564
TNNC2,APOB,-0.09290912
PPP1R14D,APOB,-1.8984296
MAMSTR,APOB,-0.07777595
B3GALT4,APOB,-0.1089918
TM6SF2,APOB,-0.45810148
ZDHHC13,APOB,-0.27288684
TMEM178B,APOB,-0.04942571
TRIM29,APOB,-0.06520172
TMEM98,APOB,-0.6821855
DNPH1,APOB,-0.102334425
SOWAHC,ARFGEF1,-0.0211899
ZNF618,ARFGEF1,-0.051882707
MIS18BP1,ARFGEF1,-0.15923972
CDH24,ARFGEF1,-0.035705905
ROGDI,ARFGEF1,-0.037096653
DNAI2,ARFGEF1,-0.0054932907
RB1,ARFGEF1,-0.2255497
NFILZ,ARFGEF1,-0.047794245
CCDC117,ARFGEF1,-0.78062135
NCMAP,ARFGEF1,-0.19455013
CYP39A1,ARFGEF1,-0.018402101
GJB4,ARFGEF1,-0.041100845
C2CD4A,ARFGEF1,-0.28396434
FCAMR,ARFGEF1,-0.28066245
STRN3,ARFGEF1,-0.10985688
ABHD11,ARFGEF1,-0.4516411
YES1,ARFGEF1,-0.9540459
SMIM3,ARFGEF1,-0.12725522
B3GAT2,ARFGEF1,-0.06888428
PPDPF,ARFGEF1,-0.077434145
PRCP,ARPP21,-0.010387849
TMTC3,ARPP21,-0.16763857
KIAA1522,ARPP21,-0.023134492
SIPA1L3,ARPP21,-0.014423014
LPCAT4,ARPP21,-0.020569008
WDSUB1,ARPP21,-0.0394924
SMAD2,ARPP21,-0.2163879
TRIM39,ARPP21,-0.03979756
IGFBPL1,ARPP21,-0.19466135
KLK7,ARPP21,-0.031786572
DRP2,ARPP21,-0.031829886
ADPRHL1,ARPP21,-0.8701479
ASNS,ARPP21,-0.032655936
FHIT,ARPP21,-1.3075616
ENTPD7,ARPP21,-0.06751862
REM2,ARPP21,-0.13502929
SLC35E4,ARPP21,-0.14991595
CLSPN,ARPP21,-0.1035758
IGF2BP3,ARPP21,-0.33085367
PTK6,ARPP21,-0.30530757
GCAT,ASPM,-0.018863901
PTCH2,ASPM,-0.0038561565
TLE4,ASPM,-0.037555557
NGEF,ASPM,-0.036952324
DST,ASPM,-0.027964406
N4BP2,ASPM,-0.037698913
GPX8,ASPM,-0.10138414
UGT2B11,ASPM,-0.24018818
LIPG,ASPM,-0.053259116
SLCO4A1,ASPM,-0.03766182
SENP3-EIF4A1,ASPM,-0.098936684
PER3,ASPM,-0.07392565
EXOC4,ASPM,-0.048329648
DBNDD2,ASPM,-0.10117874
PPM1E,ASPM,-0.028849427
MPZL2,ASPM,-0.02266028
SLC39A12,ASPM,-1.588578
CCDC62,ASPM,-0.38843593
GTF2A1,ASPM,-0.20355512
DCK,ASPM,-0.29202017
BCO1,ASPM,-0.27281457
RPS26,ASPM,-0.09360679
ARAP2,ASPM,-0.31813243
ADTRP,ASTN1,-0.0046964367
RAB11B,ASTN1,-0.0032758298
OPA3,ASTN1,-0.0054477747
STK11,ASTN1,-0.026320416
CTIF,ASTN1,-0.019476136
RABL3,ASTN1,-0.2572785
ZNF283,ASTN1,-0.014762965
IFIT1,ASTN1,-0.02022856
ARHGAP21,ASTN1,-0.10718071
CYP26A1,ASTN1,-0.06807057
TMED3,ASTN1,-0.075230554
CYP2W1,ASTN1,-0.116571546
MAGI3,ASTN1,-0.07935079
HIKESHI,ASTN1,-0.18394601
ZFP3,ASTN1,-0.107613355
ITIH2,ASTN1,-0.34980246
