gene,auprc_mean,auprc_std,prevalence_mean
APOB,0.1333538953570009,0.0469865137124818,0.0517113783533765
ATRX,0.2451920986990862,0.0434661365214828,0.1592044403330249
CSMD1,0.1653853348599941,0.1735562558641656,0.0555966697502312
DNAH9,0.2695331853183683,0.2505994385943416,0.0513413506012951
MUC16,0.1725892815507014,0.0857498625356081,0.1245143385753931
MUC17,0.1734516231031271,0.1511895490418113,0.0515263644773357
PCLO,0.0861246495153999,0.0607928002364407,0.0642923219241443
RB1,0.3456908373581305,0.1320771709872859,0.1073080481036077
RYR1,0.0925074959952909,0.0600453984403762,0.0514338575393154
RYR2,0.0817346399515517,0.0433950952502959,0.0556891766882516
SCN2A,0.1141851468623146,0.0766390892048654,0.0556891766882516
TP53,0.5855890932009519,0.1680658254104543,0.3603145235892692
TTN,0.2068764415755041,0.1036697550504019,0.12895467160037
USH2A,0.1150803280060246,0.0704073069178085,0.0557816836262719
