feature,target,mean_shap
FHL3,ATRX,-0.003583039
GLIPR1,ATRX,-0.014983634
ELOVL4,ATRX,-0.0020931107
PNMA6E,ATRX,-0.004944257
LRRK1,ATRX,-0.0069122477
PABPC1L2A,ATRX,-0.0067791375
THBS4,ATRX,-0.0038059193
TEX13C,ATRX,-0.0048842696
DNER,ATRX,-0.0076244245
PPIL1,ATRX,-0.0062908814
DTX1,ATRX,-0.01728918
UBTF,ATRX,-0.013193595
AC010980.1,ATRX,-0.0028211388
TNFRSF1B,ATRX,-0.03155286
DFFB,ATRX,-0.010268875
KIF20A,ATRX,-0.018388234
CLEC18B,ATRX,-0.0015693916
DEDD2,ATRX,-0.021270517
DLST,ATRX,-0.030464035
BMP3,ATRX,-0.0009997676
LMAN2,ATRX,-0.009489299
KLHDC8B,ATRX,-0.043972414
RIPOR1,ATRX,-0.021836296
PXMP4,ATRX,-0.011883428
KCNMA1,ATRX,-0.014212338
XRCC4,ATRX,-0.023874382
NRDE2,ATRX,-0.033420075
PIGB,ATRX,-0.040245596
RPL39L,ATRX,-0.034371857
GREM1,ATRX,-0.011223862
CD164,ATRX,-0.00813816
FKBP5,ATRX,-0.012567095
MTX1,ATRX,-0.013313068
CAST,ATRX,-0.004787474
DUSP5,ATRX,-0.013406996
LY75,ATRX,-0.005026335
UHMK1,ATRX,-0.024726648
GRIK5,ATRX,-0.014939539
XKR9,ATRX,-0.03137911
METTL9,ATRX,-0.013068667
RPE65,ATRX,-0.0013334767
TSPEAR,ATRX,-0.019082326
RTN4RL2,ATRX,-0.041986275
PEX10,ATRX,-0.0035055121
ADGRF5,ATRX,-0.026127115
PDGFRB,ATRX,-0.007418607
H2BC4,ATRX,-0.054891746
PLD6,ATRX,-0.031149799
MTHFD1L,ATRX,-0.005540986
GRIP1,ATRX,-0.01695942
DRG2,ATRX,-0.72973216
CHMP2A,ATRX,-0.016149396
USE1,ATRX,-0.018401386
METTL8,ATRX,-0.05067743
TMEM107,ATRX,-0.03467509
SNX27,ATRX,-0.0072336043
AHSA1,ATRX,-0.050493535
ANKRD24,ATRX,-0.012487294
DCLK3,ATRX,-0.008529904
MRPL36,ATRX,-0.012160664
ADRA2B,ATRX,-0.016672367
FNTB,ATRX,-0.04627109
PGD,ATRX,-0.03211263
PLEC,ATRX,-0.021054909
SLC30A4,ATRX,-0.017802902
RAB1B,ATRX,-0.006304211
CRIPT,ATRX,-0.038529415
TSPAN31,ATRX,-0.032291356
GAK,ATRX,-0.019805124
SYNJ2BP,ATRX,-0.24822624
FLII,ATRX,-0.14678538
MDK,ATRX,-0.018917382
ADM,ATRX,-0.016648453
