gene,auprc_mean,auprc_std,prevalence_mean
ABCA12,0.3396196559521897,0.0994187522291549,0.1729312762973351
ABCA13,0.3071284014894343,0.077155470329114,0.1771388499298737
ABCA4,0.3392086891921077,0.1153632919134262,0.1295698924731183
ABCB1,0.3148704799607066,0.1093515883457462,0.1100981767180925
ABCB5,0.2625303781323301,0.0753105860419685,0.1403225806451613
ABCC9,0.2641335471167113,0.1034219565891779,0.1361383824216923
ACAN,0.3875703535741383,0.1195812748999194,0.1641654978962131
ACSM2B,0.353144730836774,0.0774606485334312,0.1339878447872838
ADAM18,0.3357726342937511,0.1212588461491936,0.1835670874240299
ADAM28,0.3002985151215133,0.1588454769590294,0.1167367928938756
ADAM29,0.3253344087920998,0.123654670023719,0.1339177185600747
ADAM7,0.2901613237205739,0.0804725913892807,0.1576203833567087
ADAMTS12,0.3540850990533692,0.1732873576189622,0.1079242636746143
ADAMTS18,0.3648803507634718,0.0857088767488971,0.1748714352501169
ADAMTS19,0.2409002322603221,0.0771029328479443,0.1121552127162225
ADAMTS20,0.3893154436549969,0.0577095977429863,0.1967741935483871
ADCY8,0.3351200766587109,0.1117576831108598,0.1447639083683964
AHNAK,0.2807940574643764,0.0984128308681327,0.1382421692379616
AHNAK2,0.4365136158952342,0.0797526939725649,0.1813464235624123
AKAP6,0.2639697692551459,0.1681683302054832,0.1036465638148667
AKAP9,0.2533516465356696,0.0937002148838135,0.1036699392239364
ALMS1,0.2834426274343781,0.1187592846258643,0.1230715287517531
ALPK2,0.3904306561615143,0.1105526135228388,0.1663627863487611
ANK1,0.2926948767398856,0.1653066695981953,0.1187237026647966
ANK2,0.296389857068681,0.0566261346053115,0.1209443665264142
ANK3,0.5509601778450299,0.0423019797629621,0.3349929873772791
ANKRD30A,0.4023075569863771,0.1232717838949241,0.2095371669004207
ANO4,0.3520605134566442,0.1672398485408883,0.148901355773726
APOB,0.5354774997084387,0.1488039687548068,0.3260635811126695
ARAP2,0.2567859974927105,0.1176497866534143,0.1207339878447872
ARID2,0.3243509488855166,0.0830328800320468,0.1318373071528751
ARMC4,0.4100450779569584,0.053027621038599,0.1856708742402992
ARPP21,0.2663432350409313,0.1354549930844319,0.105820476858345
ASTN1,0.351721934327828,0.1674410932263847,0.1599812996727442
ASXL3,0.4191464750582878,0.0589222164682545,0.243969144460028
ATP13A5,0.2898278649799306,0.0919849108667076,0.12533894343151
BCLAF1,0.3408405631917081,0.1284847279551163,0.1598644226273959
BMPER,0.196117778632318,0.087084749399704,0.1057971014492753
BRAF,0.7326250540783671,0.053508350322408,0.5141421224871435
BRINP1,0.2117842906522992,0.1028132769996388,0.1165965404394576
BRINP2,0.2607060742278913,0.0982761443913502,0.1080177653108929
BRINP3,0.33922821361933,0.0561870793486729,0.1663627863487611
