feature,target,mean_shap
MAP4,ABCA12,-0.0045573814
XKR5,ABCA12,-0.00014529642
R3HDM2,ABCA12,-0.004448566
CNTNAP2,ABCA12,-0.0017827749
DISP3,ABCA12,-0.0042518596
ARRB1,ABCA12,-0.002410123
MYLPF,ABCA12,-0.038933277
FZD4,ABCA12,-0.0014754176
TNFSF4,ABCA12,-0.0033424045
CSRP3,ABCA12,-0.008674852
CORO2B,ABCA12,-0.0072490186
MOK,ABCA12,-0.0047952724
IL1B,ABCA12,-0.0046644374
RBM17,ABCA12,-0.007300846
AC068580.4,ABCA12,-0.0048717028
RPS26,ABCA12,-0.0014274813
ETV1,ABCA12,-0.0009779216
HSPA1B,ABCA12,-0.037777476
TMPPE,ABCA12,-0.003356346
OTOG,ABCA12,-0.0069949357
AHNAK2,ABCA12,-0.005402696
HOXD4,ABCA12,-0.01818812
GNAZ,ABCA12,-0.01022301
LEMD1,ABCA12,-0.005888211
RBP5,ABCA12,-0.010952776
MARCKSL1,ABCA12,-0.009377367
CES5A,ABCA12,-0.0054237144
TBX4,ABCA12,-0.0066592447
RNASE10,ABCA12,-0.012199661
ARL9,ABCA12,-0.031633023
RIPK4,ABCA12,-0.0030108618
ANKRD22,ABCA12,-0.0043108054
ITGB3,ABCA12,-0.01042816
ATF7IP,ABCA12,-0.005031138
ARRDC1,ABCA12,-0.03226662
SHH,ABCA12,-0.0066060144
GGACT,ABCA12,-0.0040411614
SLC4A9,ABCA12,-0.015083778
LTBP4,ABCA12,-0.023006981
ENPP1,ABCA12,-0.009608685
FAM24B,ABCA12,-0.017721295
ADRA1A,ABCA12,-0.009599943
SCN8A,ABCA12,-0.0026717556
P4HA3,ABCA12,-0.0055582896
PTPRF,ABCA12,-0.0080221305
CRYL1,ABCA12,-0.012483976
UNC93B1,ABCA12,-0.018291777
CEBPZOS,ABCA12,-0.018058652
ATRX,ABCA12,-0.016086765
CTLA4,ABCA12,-0.0027320012
NTRK2,ABCA12,-0.005423364
C8orf48,ABCA12,-0.009934796
GABBR2,ABCA12,-0.0014329765
FLOT1,ABCA12,-0.0074745147
TRIML2,ABCA12,-0.0032598982
CD200,ABCA12,-0.008639864
IBA57,ABCA12,-0.0061701834
PPM1F,ABCA12,-0.00075998023
RAP1GAP2,ABCA12,-0.023568267
DHDDS,ABCA12,-0.0072294585
SORBS2,ABCA12,-0.0041938126
CBWD6,ABCA12,-0.001488847
IFT140,ABCA12,-9.3638926e-05
PCDHGA1,ABCA12,-0.0034863728
WNT2,ABCA12,-0.013591096
GDPD4,ABCA12,-0.0068117357
CREG1,ABCA12,-0.006480257
FADD,ABCA12,-0.0069123874
CETP,ABCA12,-0.006846044
PRAMEF1,ABCA12,-0.01179113
CCSAP,ABCA12,-0.018234553
ARMC7,ABCA12,-0.0043993625
NUDT14,ABCA12,-0.00022058202
BDKRB2,ABCA12,-0.0010994704
KYAT1,ABCA12,-0.0013454971
CMTM4,ABCA12,-0.003465648
FUT8,ABCA12,-0.0046744756
PARS2,ABCA12,-0.004375948
ITIH2,ABCA12,-0.0070867147
SULF1,ABCA12,-0.014830834
WDR25,ABCA12,-0.007924728
SAMD15,ABCA12,-0.0071031353
CECR2,ABCA12,-0.0029013061
LBP,ABCA12,-0.007170158
LPAR2,ABCA12,-0.013729911
RASSF10,ABCA12,-0.014256994
ZNF367,ABCA12,-0.017452
STK25,ABCA12,-0.0037419586
CHCHD6,ABCA12,-0.0016819909
PET117,ABCA12,-0.0024553388
TLL2,ABCA12,-0.0060814987
USP3,ABCA12,-0.0077800537
PSMD3,ABCA12,-0.005051539
WDR87,ABCA12,-0.0055919187
CTNNA2,ABCA12,-0.0060939086
EPSTI1,ABCA12,0.00025794882
VMA21,ABCA12,-0.009732656
SUPT3H,ABCA12,-0.0076336656
SEMA3A,ABCA12,-0.00824157
TINF2,ABCA12,-0.01739733
TIGAR,ABCA12,-0.011540179
B3GNT5,ABCA12,0.0004940916
SPATA6,ABCA12,-0.0011892449
PCDHA5,ABCA12,-0.0045071905
PNMA8B,ABCA12,-0.016339004
TAF3,ABCA12,-0.017620644
TRAK1,ABCA12,-0.007426422
RAB24,ABCA12,-0.0048358995
COQ3,ABCA12,-0.019602282
C2orf66,ABCA12,-0.03139061
SPESP1,ABCA12,-0.004079883
ARPP21,ABCA12,-0.0046883407
MTRNR2L12,ABCA12,-0.007122527
SLC29A1,ABCA12,-0.0046733995
SNRNP35,ABCA12,-0.008734108
MINAR1,ABCA12,-0.0043837405
UBA52,ABCA12,-0.005975793
SIX4,ABCA12,-0.03757289
TRIM48,ABCA12,-0.01567854
SLC44A3,ABCA12,-0.039744277
ERLIN2,ABCA12,-0.010329746
HOXA11,ABCA12,-0.005207932
DSP,ABCA12,-0.00626265
ZNF280A,ABCA12,-0.014012207
TIMP3,ABCA12,-0.0057214885
CTU1,ABCA12,-0.0069387
TMEM178B,ABCA12,-0.0038597903
SCML1,ABCA12,-0.011815288
CHAC1,ABCA12,-0.0019228463
ZACN,ABCA12,-0.0043569733
ABCA3,ABCA12,-0.0069606644
SLC6A20,ABCA12,-0.008606682
EIF1AX,ABCA12,-0.0021763095
