gene,auprc_mean,auprc_std,prevalence_mean
ABCA12,0.3957439033684953,0.1204122329231408,0.1154170430593194
ABCA13,0.2678776745222968,0.0628175915822941,0.1130081300813008
ABCA2,0.4563912146055003,0.119086083484023,0.0613971695272508
ABCB1,0.1656812642641316,0.0807700008233184,0.068774465522433
ABCB4,0.2885587330403439,0.1198051342194116,0.0636856368563685
ABCC9,0.3085065666623022,0.1101211197481076,0.090846130683529
ACACA,0.3368742991236537,0.1234714167052616,0.0638060825052694
ACACB,0.2545438961104772,0.1054492310652377,0.0760915386931647
ACAN,0.2825548154746766,0.2277037610863766,0.0688346883468834
ACVR2A,0.5318806565231634,0.1389487606807171,0.1129479072568503
ADAMTS12,0.2366470316418583,0.1740131610291274,0.0785305630834086
ADAMTS16,0.2952200483227739,0.1839319746899504,0.0909364649202047
ADAMTS18,0.258889397879684,0.1227019536624322,0.0760614272809394
ADAMTS5,0.2739292561348035,0.0739096343573337,0.0763324299909665
ADAMTSL3,0.1771024732536762,0.1040674320469198,0.0613670581150255
ADCY10,0.3406665121238477,0.0958380843768823,0.0613369467028003
ADCY8,0.4177255961852784,0.1853308078203417,0.0933152664859982
AFF2,0.2249711385780241,0.1947539264747733,0.0737729599518217
AFF3,0.3140294522193297,0.2191136109524368,0.0688045769346582
AGAP1,0.5028676127498933,0.1856269837705254,0.0663354411321891
AHNAK,0.3013336594254161,0.0896921344070512,0.1005420054200542
AHNAK2,0.404272648681513,0.1493667715512674,0.1524239686841312
AKAP13,0.3379618298588368,0.0866386619517977,0.0736525143029208
AKAP6,0.1721357381932541,0.08340121393716,0.0688949111713339
AKAP9,0.2652711216910887,0.1491818278360839,0.083619391749473
ALMS1,0.2100943315501576,0.0786861055773576,0.0883468834688346
ANK1,0.4310600837076149,0.3223034270810689,0.0713941583860282
ANK2,0.257176408608143,0.0926999705527867,0.0958145137006925
ANK3,0.5327933362800965,0.1275745722773663,0.1326106594399277
ANKRD11,0.4004683706655537,0.1756056461980149,0.0786208973200843
APC,0.3169834884842258,0.1645991033804787,0.1127973501957241
APOB,0.3375044051736187,0.0921263970267676,0.1226136705811502
ARFGEF2,0.3745110266033911,0.1505848423599086,0.0639566395663956
ARID1A,0.6482962507037723,0.059994260562752,0.2553146642577537
ARID1B,0.364085001943558,0.2467459745366736,0.0638964167419452
ARID2,0.2983723863935725,0.1257167644136239,0.0785305630834086
ASCC3,0.3237508784984382,0.1266496158609151,0.0785606744956338
ASH1L,0.4792793570826963,0.1523345286310872,0.0859078590785907
ASPM,0.3213842020527503,0.0835297219015948,0.0981330924420355
ASTN2,0.2605942157453445,0.1698012837988276,0.0738331827762722
ATM,0.4345630007492065,0.1701109837235189,0.0984342065642878
ATP10A,0.4541857246808414,0.1469532073435215,0.0983137609153869
ATR,0.2746335269596683,0.1569606672242652,0.061427280939476
ATRX,0.2675987732850541,0.2147803060470127,0.061547726588377
ATXN2L,0.4404967842632212,0.1920926563900628,0.0588979223125564
BCL9L,0.4291508395844922,0.0688203043467851,0.0613971695272508
BCLAF1,0.2079757067817638,0.0968500524894055,0.0638663053297199
BCOR,0.3852168477448965,0.1853987836388642,0.0760915386931647
BIRC6,0.310154118222145,0.1910490248564345,0.0810298102981029
BMPR2,0.3845653659853096,0.2138612855303523,0.0639265281541704
BOD1L1,0.3009605883834015,0.1544288271608126,0.0663354411321891
BRCA2,0.3734927439177316,0.0834520422136678,0.0810599217103282
BRINP3,0.1435215726036973,0.058077874809319,0.0590484793736826
BRWD1,0.3781507914277949,0.1048178025785629,0.068774465522433
BSN,0.4083444389930218,0.2300562182634768,0.0884673291177356
BTBD11,0.2886291953913432,0.1954085365479478,0.0714242697982535
C3,0.2873049557326939,0.2142004354317594,0.0638964167419452
CACNA1A,0.4002544770619304,0.0735030300598221,0.0613670581150255
CACNA1B,0.3444628531202673,0.1048054468380505,0.0713941583860282
CACNA1C,0.2945497669280011,0.1411640277583785,0.088527551942186
CACNA1D,0.357467136466719,0.1977237476947765,0.0712436013249021
CACNA1E,0.4712246988084209,0.168515444568013,0.1056308340861186
CACNA1H,0.17132279862758,0.0667432710447702,0.0614573923517012
CCDC88A,0.3288009464100459,0.1740169738280366,0.0589581451370069
CDH1,0.2617153712584952,0.1093542977209748,0.0909364649202047
CDH10,0.3311725902884944,0.1333744586398244,0.0811502559470039
CDH11,0.1542406583492344,0.1067837810827245,0.0809394760614272
CDH12,0.1987397795612717,0.1712520554821942,0.0663354411321891
CDH23,0.3951601026832821,0.1897626172368322,0.1057512797350195
CDH8,0.346577483003631,0.156813525232168,0.0861487503763926
CDH9,0.1236275264589527,0.0712522687737744,0.0688346883468834
CELSR1,0.5103120377164494,0.0900493339356838,0.090846130683529
CELSR2,0.3960735035454791,0.158629972673435,0.0809695874736525
CELSR3,0.4906023173863045,0.1582736474675314,0.1031918096958747
CENPF,0.2639449225869111,0.1257270655592898,0.0737729599518217
CFH,0.1193413485470946,0.050717885255756,0.0662752183077386
CHD4,0.2997681794551542,0.2006232481805024,0.0737127371273712
