feature,target,mean_shap
MPC1,ABCA12,-0.007631207
FMO4,ABCA12,-0.002453621
AC108488.2,ABCA12,-0.00048748308
NCBP2,ABCA12,-0.0018121473
SPATA31A7,ABCA12,-0.0047674216
R3HCC1,ABCA12,-0.0049219048
IZUMO1,ABCA12,-0.008572554
PSTK,ABCA12,-0.004075121
C1QTNF1,ABCA12,-0.012153508
CBLN4,ABCA12,-0.0022820316
EHBP1,ABCA12,-0.005930965
IFNLR1,ABCA12,-0.0073401695
CDK20,ABCA12,-0.021235004
PDXK,ABCA12,-0.0082493685
B3GNT7,ABCA12,-0.0038986614
ZNF185,ABCA12,-0.0050544217
DNAJA1,ABCA12,-0.013601126
USP17L8,ABCA12,-0.006223193
ANKS4B,ABCA12,-0.020623418
CCSER1,ABCA12,-0.0071583427
TGFBI,ABCA12,-0.03339556
SLC38A2,ABCA12,-0.0017408734
USP6NL,ABCA12,-0.0043977457
NPPB,ABCA12,-0.0057162344
CCT7,ABCA12,-0.029035514
OR5AU1,ABCA12,-0.009704696
CCDC66,ABCA12,-0.015842693
KLHL9,ABCA12,-0.14867355
FOXM1,ABCA12,-0.053230487
TNFSF9,ABCA12,-0.025943622
ELAVL4,ABCA12,-0.00909753
COX6C,ABCA12,-0.015092544
NDUFC2,ABCA12,-0.044406872
P4HB,ABCA12,-0.013336034
CREB3,ABCA12,-0.014025083
RNF186,ABCA12,-0.07588882
PDCD4,ABCA12,-0.02704998
KLC4,ABCA12,-0.008105039
HOMEZ,ABCA12,-0.029543888
MAD2L2,ABCA12,-0.07974584
TRIM7,ABCA12,-0.011185055
WASF1,ABCA12,-0.0049769743
HEXD,ABCA12,-0.010188732
ZNF85,ABCA12,-0.031298626
MMP28,ABCA12,-0.06025936
CHN2,ABCA12,-0.012709971
ZNF90,ABCA12,-0.012627548
UNC5D,ABCA12,-0.026049243
ALPG,ABCA12,-0.0085849725
GNG10,ABCA12,-0.008758898
TMEM132D,ABCA12,-0.04201882
H2AC20,ABCA12,-0.0148006175
SLC38A6,ABCA12,-0.0030522028
RPS6KB2,ABCA12,-0.008366402
C19orf38,ABCA12,-0.015480872
C2orf66,ABCA12,-0.01810787
TGM1,ABCA12,-0.018374743
SYAP1,ABCA12,-0.0053289523
GATA2,ABCA12,-0.0088534
TMEM177,ABCA12,-0.026689727
METRN,ABCA12,-0.008700823
CPM,ABCA12,-0.0106879175
ECH1,ABCA12,-0.008333739
GPC2,ABCA12,-0.023144625
CDC42BPG,ABCA12,-0.18826467
MNS1,ABCA12,-0.008163006
ZNF766,ABCA12,-0.030964116
CHAMP1,ABCA12,-0.08304026
ATRAID,ABCA12,-0.006621989
ZDHHC1,ABCA12,-0.0055513927
SLC26A4,ABCA12,-0.02704091
ZNF709,ABCA12,-0.0071448674
PACSIN1,ABCA12,-0.008892761
DKK1,ABCA12,-0.024279742
HINT2,ABCA12,-0.021657696
GGT1,ABCA12,-0.03154994
METTL16,ABCA12,-0.012540217
CDKL3,ABCA12,-0.022132728
NUDT2,ABCA12,-0.009739021
RUFY4,ABCA12,-0.016609661
BNIPL,ABCA12,-0.01060372
SMIM18,ABCA12,-0.058477495
CREB3L3,ABCA12,-0.08538085
CFAP161,ABCA12,-0.0071922713
FPGT,ABCA12,-0.029302835
CYP19A1,ABCA12,-0.008131074
MUC20,ABCA12,-0.02077691
FNDC10,ABCA12,-0.023708388
GOLGA8S,ABCA12,-0.01200071
HES2,ABCA12,-0.02315771
SACS,ABCA12,-0.014229995
TEX19,ABCA12,-0.050212745
FAM174A,ABCA12,-0.03286086
VSIG10,ABCA12,-0.006637517
MSRB1,ABCA12,-0.10149559
CITED2,ABCA12,-0.03509233
BBS4,ABCA12,-0.0066971593
ZNF605,ABCA12,-0.026678322
ADTRP,ABCA12,-0.016287947
PCDHA7,ABCA12,-0.0042215274
TMEM115,ABCA12,-0.00032134037
TESPA1,ABCA12,-0.010035428
SEC14L6,ABCA12,-0.030456606
FANCE,ABCA12,-0.007345218
FIS1,ABCA12,-0.00812482
SEMA3F,ABCA12,-0.013013661
SCNM1,ABCA12,0.0004807887
SLC25A19,ABCA12,-0.013063113
PSTPIP2,ABCA12,-0.027261136
DHX40,ABCA12,-0.049083006
TRIM15,ABCA12,-0.0066843354
SUV39H1,ABCA12,-0.023348397
SYTL1,ABCA12,-0.0153052155
SERP2,ABCA12,-0.029412394
NCKAP5,ABCA12,-0.033416905
DCBLD2,ABCA12,-0.017720802
SIRPG,ABCA12,-0.009442978
GSTP1,ABCA12,-0.016234692
LRRC73,ABCA12,-0.012725874
ACCS,ABCA12,-0.0056217005
FAM90A1,ABCA12,-0.012971304
CDCA2,ABCA12,-0.0018666909
TRIR,ABCA12,-0.0030600466
DTNB,ABCA12,-0.012708464
OSGIN1,ABCA12,-0.021128561
FBXO8,ABCA12,-0.0122128315
GNAL,ABCA12,-0.016139515
MRPS5,ABCA12,-0.0012007868
TTC21A,ABCA12,-0.02499052
EDC4,ABCA12,-0.015719471
TSFM,ABCA12,-0.009288035
ARSF,ABCA12,-0.072921745
RTTN,ABCA12,-0.0068574217
TYRP1,ABCA12,-0.013012046
KLF11,ABCA12,-0.021588534
TMEM191B,ABCA12,-0.008467426
TEDDM1,ABCA12,-0.021206802
FAM89B,ABCA12,-0.007990606
RBFA,ABCA12,-0.001367498
VSNL1,ABCA12,-0.030244436
NUDT4,ABCA12,-0.008936163
DDX27,ABCA12,-0.011084063
NRCAM,ABCA12,-0.011123657
SYT16,ABCA12,-0.02206947
LAMTOR3,ABCA12,-0.015005279
MPHOSPH10,ABCA12,-0.0007590434
ZNF704,ABCA12,-0.01057372
MAP2K6,ABCA12,-0.011029042
S100B,ABCA12,-0.03121594
CD320,ABCA12,-0.053829025
S100A7,ABCA12,-0.0076960013
LTA4H,ABCA12,0.0007489348
EFNA3,ABCA12,-0.18957737
PCIF1,ABCA12,-0.016704515
TP53I11,ABCA12,-0.0038074073
CST7,ABCA12,-0.007692209
FMNL2,ABCA12,-0.003861298
KCNJ2,ABCA12,-0.024190433
DDX20,ABCA12,-0.027109994
GPR142,ABCA12,-0.009033038
OR51E2,ABCA12,-0.012904157
SSUH2,ABCA12,-0.022613768
SPA17,ABCA12,-0.07592906
FPR3,ABCA12,-0.015395202
WNT7A,ABCA12,-0.010679971
SLC25A37,ABCA12,-0.0038850754
C17orf58,ABCA12,-0.02129839
TMEM186,ABCA12,-0.011572276
UCHL3,ABCA12,-0.0031069338
ZRANB3,ABCA12,-0.001157789
WDR38,ABCA12,-0.011570425
SPINK1,ABCA12,-0.014157047
TMOD4,ABCA12,-0.042501528
SMIM24,ABCA12,-0.037807547
SBK1,ABCA12,-0.008754679
C5,ABCA12,-0.018301442
TSNARE1,ABCA12,-0.009223483
TTC26,ABCA12,-0.03056707
FGG,ABCA12,-0.059676435
RNF39,ABCA12,-0.033995144
CXCL11,ABCA12,-0.00974002
NWD2,ABCA12,-0.021176936
CRYM,ABCA12,-0.006186379
KCNK15,ABCA12,-0.02065435
GMEB1,ABCA12,-0.0010245166
SHROOM1,ABCA12,-0.03002153
AOPEP,ABCA12,-0.002285793
WNT10A,ABCA12,-0.01559601
HHIP,ABCA12,-0.012746538
MRPS31,ABCA12,-0.006520945
DNAH3,ABCA12,-0.03368579
ZNF425,ABCA12,-0.011514049
IARS2,ABCA12,-0.026355406
HTR2A,ABCA12,-0.02570341
ARHGEF39,ABCA12,-0.05595911
EBF1,ABCA12,-0.008628066
KLRD1,ABCA12,-0.012267212
RER1,ABCA12,-0.04343525
ST6GALNAC6,ABCA12,-0.016287634
CLU,ABCA12,-0.015351765
IRF7,ABCA12,-0.015698843
CARD19,ABCA12,-0.014621293
ZC3HAV1L,ABCA12,-0.0679727
DAPL1,ABCA12,-0.010562998
ANKFN1,ABCA12,-0.0051120957
PRR36,ABCA12,-0.026228968
SCGB2A1,ABCA12,-0.011497316
SORBS1,ABCA12,0.00039171975
TRPV6,ABCA12,-0.041653823
FASLG,ABCA12,-0.0254163
BBS7,ABCA12,-0.015470894
AC011005.1,ABCA12,-0.006854537
FAM241A,ABCA12,-0.039540652
AARS1,ABCA12,-0.02248001
ABHD17B,ABCA12,-0.010640812
PLLP,ABCA12,-0.006551882
SYCP3,ABCA12,-0.021634156
OXLD1,ABCA12,-0.043235123
DKK2,ABCA12,-0.009966788
FAM102A,ABCA12,-0.005814092
PPP1R15A,ABCA12,-0.009086578
OTUB1,ABCA12,0.0015984318
ZDHHC11,ABCA12,-0.013538716
POLR1H,ABCA12,-0.0693267
HTR4,ABCA12,-0.028611476
MORN1,ABCA12,-0.017594228
APBA2,ABCA13,-0.00047943398
GAB1,ABCA13,-0.008308029
CYRIA,ABCA13,-0.009066893
PCDHGA11,ABCA13,-0.009572051
MEIKIN,ABCA13,-0.0072323694
ITM2A,ABCA13,-0.0013862116
HLA-DQB2,ABCA13,-0.013051878
TRABD2A,ABCA13,-0.047741614
TMPRSS5,ABCA13,-0.01885933
HRH3,ABCA13,-0.007871071
NWD1,ABCA13,-0.03580458
CCR7,ABCA13,0.0019484599
KRBA2,ABCA13,-0.01565471
HDAC3,ABCA13,-0.0095984815
FAM169A,ABCA13,-0.0035216208
GMPR,ABCA13,-0.0070977933
PID1,ABCA13,-0.019012328
TAF11L11,ABCA13,0.002161054
RASGRP1,ABCA13,-0.004102121
PON2,ABCA13,-0.006128145
FAM200B,ABCA13,-0.013950302
MAGEB2,ABCA13,-0.013391108
CCDC88A,ABCA13,-0.023223044
DLG4,ABCA13,-0.023629636
IDO1,ABCA13,-0.0021714212
CRHR2,ABCA13,-0.010839241
HOXC9,ABCA13,-0.009824191
WFDC5,ABCA13,-0.045036286
SAPCD2,ABCA13,-0.025257353
MARCO,ABCA13,-0.00051155937
SLC5A3,ABCA13,-0.019504594
CYSRT1,ABCA13,-0.010346041
SLC44A3,ABCA13,-0.039786834
ENTPD1,ABCA13,-0.0004777183
NLGN4X,ABCA13,-0.012703004
MED13L,ABCA13,-0.014688946
FYB2,ABCA13,-0.011568878
KLRG2,ABCA13,-0.0072866124
SERPINB2,ABCA13,-0.019167967
