feature,target,mean_shap
CDH13,KIT,-0.0026246652
GMPPA,KIT,-0.01259426
HSH2D,KIT,-0.010486696
GRAMD1A,KIT,-0.018444307
ATP13A3,KIT,-0.007530657
TCF3,KIT,-0.008650776
EDF1,KIT,-0.007127329
RWDD3,KIT,-0.0005719096
VAX1,KIT,-0.016434435
RFLNB,KIT,-0.020866008
ACVRL1,KIT,-0.0071853218
SH3GL1,KIT,-0.29688272
CD1E,KIT,-0.09640989
MRGPRF,KIT,-0.008870124
BZW2,KIT,-0.4207204
SPDYC,KIT,-0.029451214
PIWIL1,KIT,-0.093352616
AK3,KIT,-0.12246241
GPR19,KIT,-0.31525216
HLA-DMB,KIT,-0.03866825
TCEAL8,KIT,-0.06108509
GDPD4,KIT,-0.123589076
GJA5,KIT,-0.003529054
NLGN3,KIT,-0.025095727
ATN1,KIT,-0.06702294
AC068580.4,KIT,-0.007861457
PXDNL,KIT,-0.33234745
CCNI2,KIT,-0.10983667
RPL26,KIT,-0.012338465
TGIF1,KIT,-0.06805518
AC015802.6,KIT,-0.093301326
ISLR2,KIT,-0.013767952
TNFRSF1A,KIT,-0.8642904
CAMP,KIT,0.0042292844
EIF2D,KIT,-0.066863984
ZNF121,KIT,-0.020020656
RBMXL3,KIT,-0.2318173
B3GAT2,KIT,-0.11246569
LILRA6,KRAS,-0.0010756715
WDR13,KRAS,-0.013398696
CPEB1,KRAS,-0.007694299
ZNF879,KRAS,-0.006446267
COL4A6,KRAS,-0.018812321
AGT,KRAS,-0.025353208
MPO,KRAS,-0.2058386
HGFAC,KRAS,-0.08818998
C9orf116,KRAS,-0.2008394
UNC5B,KRAS,-0.33893794
IFIH1,KRAS,-0.057729557
STK17A,KRAS,-0.1102329
BICRAL,KRAS,-0.11836052
AKR1B10,KRAS,-0.11684741
GCDH,KRAS,-0.0005533688
RALA,KRAS,-0.050314233
LILRB2,KRAS,-0.14157113
IRS2,KRAS,-0.025319122
PFKM,KRAS,-0.0075173667
MTTP,KRAS,-0.061996937
RAB41,KRAS,-0.021728953
MT-ND6,KRAS,-0.018909514
GPR153,KRAS,-0.008460512
NETO1,KRAS,-0.0421375
MFN2,KRAS,-0.0021456564
EPPK1,KRAS,-0.05467204
GRIK2,KRAS,-0.09200532
CDKN2B,KRAS,-0.16768971
NEGR1,KRAS,-0.015179845
ZNF740,KRAS,-0.017679198
HSBP1L1,KRAS,-0.034616966
ME3,KRAS,-0.046389524
OTOP2,KRAS,-0.046840426
TRMT1,KRAS,-0.021715121
MS4A7,KRAS,-0.15369849
TEX19,KRAS,-0.089967795
SCNN1A,KRAS,-0.5701684
ARHGAP27,KRAS,-0.0066572083
CTSG,KRAS,-0.023486294
ETV7,KRAS,-1.206353
TMBIM4,KRAS,9.6819625e-05
GPR153,PTMA,-0.017890237
HPCA,PTMA,-0.19957018
RAB12,PTMA,-0.01248809
RASAL2,PTMA,-0.112818204
AICDA,PTMA,-0.03832876
RLN1,PTMA,-0.012291205
CLEC17A,PTMA,-0.07000541
ACBD7,PTMA,-0.16029365
SOGA1,PTMA,-0.025156481
SPATA17,PTMA,-0.06685158
USP13,PTMA,-0.048001777
VBP1,PTMA,-0.01706884
DDX60L,PTMA,-0.08254865
GSTA3,PTMA,-0.043926816
INTS10,PTMA,-0.2924945
MIIP,PTMA,-0.025310269
ANXA6,PTMA,-0.055531014
DCAF12L2,PTMA,-0.01261345
PXMP4,PTMA,-0.3290242
DNASE1,PTMA,-0.2965481
SMIM3,PTMA,-0.04149212
RNASEH1,PTMA,-0.07189297
MAP3K6,PTMA,-0.5625887
SMG7,PTMA,-0.017161302
LAS1L,PTMA,-0.058899548
TCEAL7,PTMA,-0.07365349
CASP5,PTMA,-0.09997344
TKTL2,PTMA,-0.036405116
DPP6,PTMA,-0.014630679
WASF3,PTMA,-0.052828636
ODAPH,PTMA,-0.058501046
CCDC166,PTMA,-0.041593354
CDK5,PTMA,-0.10491841
PCGF2,PTMA,-0.04375052
SRSF12,PTMA,-0.026029706
LRP5L,PTMA,-0.08592145
PLOD1,PTMA,-0.06040527
MAGEB18,PTMA,-0.075556844
EFCAB10,PTMA,-0.62319547
MAF1,PTMA,-0.12675987
EGR4,PTMA,-0.026398052
C2orf50,PTMA,-0.058313284
SLC8B1,PTMA,-0.12326712
ASB10,PTMA,-0.04026303
