feature,target,mean_shap
AKAP12,BRAF,0.0005300257
ZFAND4,BRAF,-0.0006879961
DEPP1,BRAF,-0.0050607286
KIF13B,BRAF,0.0052588196
MS4A4E,BRAF,0.00021052439
SPP1,BRAF,0.00032377447
SERTM1,BRAF,0.006046232
ARHGEF26,BRAF,0.005824113
NCKIPSD,BRAF,0.0032141013
H2AZ2,BRAF,-0.0014373289
SLC22A23,BRAF,0.015189902
ZAN,BRAF,0.0028527537
HGD,BRAF,0.054154567
SYCP2,BRAF,0.0097673815
UFSP1,BRAF,0.00072803395
MC5R,BRAF,0.0031123653
USH1C,BRAF,0.0004554121
PC,BRAF,0.0060491674
TPPP,BRAF,0.0019017076
STMN2,BRAF,0.0044268183
NECTIN4,BRAF,0.022062307
MAEL,BRAF,-2.4238947e-05
SMIM18,BRAF,0.0019972248
SLC1A5,BRAF,-0.0019029494
QPCT,BRAF,0.002411286
IRS4,BRAF,-0.009636619
CACNA2D2,BRAF,0.0008740321
SLC25A48,BRAF,0.001909457
PKHD1L1,BRAF,0.0044007516
KNG1,BRAF,0.0085719265
IDS,BRAF,0.030146146
TCAF2,BRAF,0.0011408769
PLA2G2E,BRAF,0.02233047
CELF4,BRAF,0.0071893004
NAV1,BRAF,-0.0027230184
CBLN4,BRAF,0.013805593
TMEM35B,BRAF,0.0039402344
SIGLEC6,BRAF,0.09090353
GRK4,BRAF,0.0020968418
RET,BRAF,0.04741525
RNF157,BRAF,-0.00075373886
SLC45A2,BRAF,0.0072996155
AC087289.3,BRAF,0.035150427
CHRM3,BRAF,0.012971735
LRRTM1,BRAF,0.006494272
FZD10,BRAF,-0.001327434
CCDC178,BRAF,-0.02894395
INMT,BRAF,0.05400616
ABCA6,BRAF,0.011369852
TMEM155,BRAF,0.01758973
PLEKHA6,BRAF,0.020550193
PAQR8,BRAF,0.009358022
C16orf74,BRAF,0.030567395
PNPLA5,BRAF,0.020829884
GABRB2,BRAF,-0.048322182
ONECUT2,BRAF,0.012446017
ARHGEF3,BRAF,0.0054735616
ST8SIA5,BRAF,0.0026487245
CACNB2,BRAF,0.004378382
NDFIP1,BRAF,-0.0025502942
ZNF232,BRAF,0.0020472608
SCN1B,BRAF,0.005538007
ARX,BRAF,0.014341592
SEC14L6,BRAF,-0.004747271
MFAP5,BRAF,-0.009927263
EMILIN3,BRAF,0.0015732008
LRRN3,BRAF,-0.009541376
AQP4,BRAF,0.008534071
TBC1D4,BRAF,0.008480621
YPEL5,BRAF,0.0022471352
TSPAN33,BRAF,0.0026640987
WASF3,BRAF,0.005448094
ETNK2,BRAF,-0.006675987
APLN,BRAF,0.008402642
WNT10A,BRAF,0.00682291
UBE2QL1,BRAF,-0.0036899413
NKX2-1,BRAF,-0.004196212
LRRC37B,BRAF,0.0036920381
EFHC2,BRAF,0.016361669
LRRC10B,BRAF,0.0006319164
SLC5A8,BRAF,0.0050621987
DCSTAMP,BRAF,0.383054
GGTLC2,BRAF,-0.0037573383
DAAM2,BRAF,0.0031688267
DHRS3,BRAF,0.008928433
WNK4,BRAF,0.007306457
DNAJC6,BRAF,0.0030160437
MT1G,BRAF,0.0073995288
KCNJ10,BRAF,-0.0051728557
CYP4B1,BRAF,0.0032736491
CHMP4C,BRAF,0.0026405924
CTSB,BRAF,0.013397158
DBH,BRAF,0.00084959704
ARHGAP10,BRAF,-0.0029732946
WSCD2,BRAF,0.007980028
EPHA10,BRAF,0.025819065
COMP,BRAF,-0.01551432
IER2,BRAF,0.0045394744
GPC4,BRAF,0.0052129035
NCKAP5,BRAF,0.007884297
DYNC1I2,BRAF,-0.0023099936
C1orf53,BRAF,-0.0028637573
TMEM117,BRAF,0.0032022188
MPPED2,BRAF,0.020334499
TM4SF18,BRAF,0.0065387413
SDR16C5,BRAF,0.0075858817
BLNK,BRAF,-0.0040688296
NME8,BRAF,-0.0064541907
PKNOX1,BRAF,0.00021324023
CRLF2,BRAF,0.09645873
TMPRSS6,BRAF,0.07431061
RMND1,BRAF,-0.0013356677
LY6D,BRAF,-0.003322748
FSIP2,BRAF,-0.004040651
FADS2,NRAS,-0.008708248
OPN3,NRAS,-0.02927396
HOATZ,NRAS,-0.004585978
HES6,NRAS,-0.00078684057
DMRTB1,NRAS,-0.02470571
MAGEB16,NRAS,-0.0038036702
NSDHL,NRAS,-0.007950746
RTEL1-TNFRSF6B,NRAS,-0.00469177
LMNA,NRAS,0.0016867351
CDK5R1,NRAS,-0.022931326
LAMC3,NRAS,-0.0046499544
ACKR3,NRAS,-0.0007545872
SLIT1,NRAS,-0.23187526
BZW2,NRAS,-0.04398667
QPCTL,NRAS,-0.032885406
ARMCX6,NRAS,-0.015822997
NEFL,NRAS,-0.03465566
ABCC8,NRAS,-0.20338477
DBH,NRAS,-0.009136635
TUBA1A,NRAS,0.0061921864
IFI27L2,NRAS,-0.011163529
MYLK2,NRAS,-0.09037722
CELSR1,NRAS,-0.14692788
TAFA5,NRAS,-0.013524266
CC2D2B,NRAS,-0.1288849
TNFRSF11B,NRAS,-0.03868396
LBP,NRAS,-0.004726945
DLL3,NRAS,-0.03770556
NKAIN4,NRAS,-0.0048710676
BTN1A1,NRAS,-0.16587462
PTK2B,NRAS,-0.0316474
HLA-DMA,NRAS,-0.016959712
SMIM32,NRAS,-0.26718107
SH3BGR,NRAS,0.0062421705
LEXM,NRAS,-0.012144735
NF2,NRAS,-0.029566448
SUSD3,NRAS,-0.10367952
ADPGK,NRAS,-0.0054586274
SH3RF3,NRAS,-0.034960203
SLC46A3,NRAS,-0.105479114
NNMT,NRAS,-0.0012866084
MUC20,NRAS,-0.018315658
NEIL3,NRAS,-0.031180184
