feature,target,mean_shap
TEX264,GTF2I,0.00034655895
DNAJC8,GTF2I,-0.0021813326
IMPDH1,GTF2I,0.015717795
DNAH6,GTF2I,0.0037439738
EBPL,GTF2I,0.0018699917
LIN7B,GTF2I,-0.017688133
MSRB2,GTF2I,0.007989778
TCF24,GTF2I,-0.026834726
IRX4,GTF2I,-0.023142133
PHEX,GTF2I,-0.13745496
PTPN1,GTF2I,0.001807803
NCLN,GTF2I,0.0039264425
PLBD1,GTF2I,0.0683114
MORN4,GTF2I,-0.014766814
VASN,GTF2I,-0.071844794
UCN,GTF2I,0.006455561
HLF,GTF2I,0.011192211
WDR87,GTF2I,-0.0011381725
TPST2,GTF2I,0.012908547
POU6F2,GTF2I,0.015842611
UFC1,GTF2I,-0.022659544
ISYNA1,GTF2I,0.020047752
DYNLL1,GTF2I,0.0139096305
SHARPIN,GTF2I,0.0006464775
NKX2-4,GTF2I,-0.024457548
PPP1R42,GTF2I,-0.0135509325
RNF122,GTF2I,0.018206973
CHGA,GTF2I,0.0049235336
ASIC3,GTF2I,0.010736225
PEMT,HRAS,-0.056217726
PRAMEF20,HRAS,-0.02028843
FAM210B,HRAS,-1.3168324
FGF10,HRAS,-0.051983144
RTRAF,HRAS,-0.5020716
METTL7B,HRAS,-0.016660245
RPS10,HRAS,-0.108153686
LRRC75B,HRAS,-0.029373588
DHRS4L2,HRAS,-0.2681663
LSM7,HRAS,-0.045898665
CLDN10,HRAS,-0.106080815
USF1,HRAS,-0.17966343
CMTM6,HRAS,-0.20716234
SOX9,HRAS,-0.14076158
TAZ,HRAS,-0.2184896
GLIS1,HRAS,-0.7001411
KRT23,HRAS,-0.11506919
