gene,auprc_mean,auprc_std,prevalence_mean
ABCA1,0.623240126105572,0.1553687095404385,0.1141065830721003
ABCA12,0.7209734440863944,0.1135260829022102,0.1573145245559038
ABCA13,0.6978820136378037,0.0618706579090905,0.1823928944618599
ABCA4,0.6189421906543535,0.1767212616486191,0.1163793103448275
ABCB4,0.6952832967281732,0.1208214384902382,0.1140282131661442
ABCC2,0.6388727276746216,0.0692001241182871,0.1163531870428422
ACACB,0.6921122397454853,0.0743457277059589,0.1344305120167189
ACVR2A,0.4214033516853721,0.1341842643708852,0.1207419017763845
ADAMTSL1,0.5305664866784282,0.089845322170538,0.1140282131661442
ADGB,0.5897926808463451,0.0840098147630677,0.1345350052246604
AFF2,0.5964414459910543,0.1227818417782785,0.1230668756530825
AHCTF1,0.4683697586227282,0.0889122973110563,0.120846394984326
AHNAK,0.6234879853930306,0.1001542063797812,0.1823928944618599
AHNAK2,0.7080659901536226,0.0816345957847403,0.1982236154649947
AK9,0.6529731001996143,0.0778245498547783,0.1253918495297805
AKAP13,0.6833951844982675,0.0438898623582479,0.1162486938349007
AKAP6,0.6589330114934174,0.0904823292015588,0.1322100313479624
AKAP9,0.5708593019532733,0.06339951554571,0.1550679205851619
ALG13,0.5601013930496042,0.1377754964057214,0.1162486938349007
ALMS1,0.6478926960932703,0.1264756145800004,0.1435997910135841
ALPK2,0.6126630857829545,0.1035167073943054,0.1322622779519331
ANK1,0.5960765685661669,0.0854762131831814,0.1207941483803552
ANK2,0.7466199193051642,0.111703808282256,0.1619122257053291
ANK3,0.6679701659172658,0.0348144525467451,0.1824451410658307
ANKHD1,0.6388230723133658,0.148555648469301,0.1139759665621734
ANKRD11,0.5830041367504601,0.1807838181717805,0.1253918495297805
ANKRD17,0.601250248612704,0.0808519969019336,0.1230929989550679
ANKRD26,0.5882615284164887,0.1314047693122561,0.1230929989550679
ANKRD30A,0.6207914718732054,0.0755658114014553,0.1299895506792058
ANKRD30B,0.6700505214948137,0.1057755678373205,0.1368599791013584
APC,0.6465408667710355,0.0526406010076299,0.1482236154649948
APOB,0.6490254661283779,0.0764625761061228,0.17782131661442
