feature,target,mean_shap
FXN,ABCA1,-0.0028853896
RUNDC3A,ABCA1,-0.0073806816
TRIM54,ABCA1,-0.0042682393
SEPTIN4,ABCA1,-0.0063868747
PAK1,ABCA1,-0.010314751
C1orf112,ABCA1,-0.011058553
HTR3C,ABCA1,-0.006646119
TRAF4,ABCA1,-0.0035984274
POLA2,ABCA1,-0.002263903
LAMA3,ABCA1,-0.0036833643
FOXRED1,ABCA1,-0.004628416
TMEM256,ABCA1,-0.023248756
AC004223.3,ABCA1,-0.0064653344
TCF15,ABCA1,-0.0051508765
EPHA3,ABCA1,-0.01754989
CCL28,ABCA1,-0.011918153
TMED7-TICAM2,ABCA1,-0.008164222
SORD,ABCA1,-0.0030655582
ARMCX4,ABCA1,-0.0050678346
REM1,ABCA1,-0.013588403
FMR1,ABCA1,-0.0068758177
ACCSL,ABCA1,-0.015683247
P2RY8,ABCA1,-0.0012693498
TOX2,ABCA1,-0.008015777
PSMC3IP,ABCA1,-0.029923946
FICD,ABCA1,-0.018728385
INTS3,ABCA1,-0.014720258
CPLX2,ABCA1,-0.01690367
GABRE,ABCA1,-0.2516589
LTB,ABCA1,-0.026151022
RHEBL1,ABCA1,-0.004445003
ATP10B,ABCA1,-0.0035634118
ASPG,ABCA1,-0.012158532
RPAIN,ABCA1,-0.013287935
C8orf58,ABCA1,-0.001446476
CGREF1,ABCA1,-0.035093855
SEMA6D,ABCA1,-0.015932
TRPM2,ABCA1,-0.005382737
IGSF3,ABCA1,-0.032321762
GSTCD,ABCA1,-0.0060595577
FAM118A,ABCA1,-0.04153592
GMNC,ABCA1,-0.009657626
LAYN,ABCA1,-0.069004
HYAL3,ABCA1,-0.014046392
MIOX,ABCA1,-0.009095328
PSAT1,ABCA1,-0.017533703
HNF1B,ABCA1,-0.03154416
OTOG,ABCA1,-0.011095706
CDRT1,ABCA1,-0.01027563
CEMIP,ABCA1,-0.007175922
CHRNA5,ABCA1,-0.0015622764
LRMDA,ABCA1,-0.036142822
MYO19,ABCA1,-0.028275989
RNF148,ABCA1,-0.070733696
TMEM154,ABCA1,-0.010785957
CXCL9,ABCA1,-0.36904046
ZNF124,ABCA1,-0.019641107
CSF2RA,ABCA1,-0.009734239
XIRP1,ABCA1,-0.016213596
NFKBIA,ABCA1,-0.01316723
RXRA,ABCA1,-0.02708308
COL26A1,ABCA1,-0.0205894
MPND,ABCA1,-0.03767964
TCF12,ABCA1,-0.026535057
CDA,ABCA1,-0.006002021
N4BP2L1,ABCA1,-0.13769661
EIF4E1B,ABCA1,-0.0026262035
SOX11,ABCA1,-0.02300191
CDC25B,ABCA1,-0.04214665
ZNF503,ABCA1,-0.0138691
PTPRJ,ABCA1,-0.012875151
USP31,ABCA1,-0.0036882958
OR1J4,ABCA1,-0.01033998
PDZD2,ABCA1,-0.014099219
DMAP1,ABCA1,-0.01194711
MS4A14,ABCA1,-0.014830699
DBF4B,ABCA1,-0.02724542
PMM1,ABCA1,-0.010567259
SHB,ABCA1,-0.0091612
PKP1,ABCA1,-0.011243789
FCER1A,ABCA1,-0.042935777
C17orf107,ABCA1,-0.012016891
KIRREL3,ABCA1,-0.02154982
AMBP,ABCA1,-0.009747873
KCTD14,ABCA1,-0.0315463
IGSF9B,ABCA1,-0.0038512864
RTL8C,ABCA1,-0.008618163
CCDC89,ABCA1,-0.01204877
C22orf42,ABCA1,-0.015064463
RPL4,ABCA1,-0.0053769066
ROR2,ABCA1,-0.0061378474
FAM189A1,ABCA1,-0.01161066
PSMG2,ABCA1,0.002992903
IFI27L1,ABCA1,-0.013500875
CHI3L1,ABCA1,-0.009023311
CALCB,ABCA1,-0.007732903
EPHA2,ABCA1,-0.025948424
SCO2,ABCA1,0.0012660344
BAG3,ABCA1,-0.0032540292
SPEG,ABCA1,-0.0037068129
GRAMD2A,ABCA1,-0.00589164
GPR137B,ABCA1,-0.005506327
TKT,ABCA1,-0.03305462
FIGNL2,ABCA1,-0.02949578
DDIT3,ABCA1,-0.039039
SPINK2,ABCA1,-0.023690334
IGSF1,ABCA1,-0.041121002
RPS20,ABCA1,-0.025566103
PGLYRP4,ABCA1,-0.013251101
PTGES2,ABCA1,-0.02063862
KLRD1,ABCA1,-0.026234915
GNGT1,ABCA1,-0.020201681
ZNF462,ABCA1,-0.015934156
AC253536.7,ABCA1,-0.014729178
RNF31,ABCA1,-0.0063609476
CRYAB,ABCA1,-0.0010988356
TUBB2B,ABCA1,-0.02471975
SIX3,ABCA1,-0.010349743
CAMSAP3,ABCA1,-0.010253991
DTX4,ABCA1,-0.0055504674
GABARAPL1,ABCA1,-0.009496701
NR5A2,ABCA1,-0.022124255
INSM2,ABCA1,-0.005588576
CXCL3,ABCA1,-0.005812745
