feature,target,mean_shap
L3MBTL2,BAP1,-0.035178926
FAM133B,BAP1,-0.01164359
VPS28,BAP1,-0.012507799
THEGL,BAP1,-0.017641505
CDT1,BAP1,-0.020533813
PGD,BAP1,-0.016253483
PYCARD,BAP1,0.0005825872
P2RX6,BAP1,-0.08239686
OLIG2,BAP1,-0.34367123
RPL23A,BAP1,-0.0102717625
ARHGEF4,BAP1,-0.044444725
FOXJ1,BAP1,-0.07536828
SLC16A6,BAP1,-0.003692682
TRABD2A,BAP1,-0.3849099
CATSPERD,BAP1,-0.16254722
MED15,BAP1,-0.0073328274
B4GALNT4,BAP1,-0.07380031
COL14A1,BAP1,-0.15387762
TNNC1,BAP1,-0.04467699
ARSI,BAP1,-0.07054664
DAO,BAP1,-0.000100788355
SNRNP200,BAP1,-0.064560615
RAC3,BAP1,-0.12471315
PTMS,BAP1,-0.04037063
ITGB7,BAP1,-0.04144325
PTDSS2,BAP1,-0.6152927
EXOC3,BAP1,-0.010765367
IFI27,BAP1,-0.026965076
PCDHGA12,BAP1,-0.352342
FOLR1,BAP1,-0.029456696
LMAN2L,EIF1AX,-0.021351876
APOM,EIF1AX,-0.029359046
FGFRL1,EIF1AX,-0.003376581
VENTX,EIF1AX,-0.08199064
LRRC3,EIF1AX,-0.065435156
RAB26,EIF1AX,-0.10106048
STK32C,EIF1AX,-0.031079737
SNRNP35,EIF1AX,-0.030365508
FERMT3,EIF1AX,-0.11232602
CORO1B,EIF1AX,-0.06245703
RCOR2,EIF1AX,-0.56832826
STEAP1B,EIF1AX,-0.1370872
FAM181B,EIF1AX,-0.14228588
U2AF1,EIF1AX,-0.079589225
AK1,EIF1AX,-0.14248933
FEM1A,EIF1AX,-0.08509025
BEX5,EIF1AX,-0.53235346
TMEM145,EIF1AX,-0.092693835
ZNF517,EIF1AX,-0.37728307
HIGD2B,EIF1AX,-0.03666758
SLC25A6,EIF1AX,-0.04133902
PARP10,EIF1AX,-0.41010606
SMAD6,EIF1AX,-0.059441864
FUBP1,GNA11,-0.0017463235
ANO10,GNA11,-0.0005521246
ZNF214,GNA11,0.004041865
SLC26A1,GNA11,-0.0047293315
APOBEC3F,GNA11,-0.005785073
FGF13,GNA11,0.010500413
IFI27L2,GNA11,-0.013526267
NGEF,GNA11,-0.0054386863
C1orf53,GNA11,-0.0066001313
OARD1,GNA11,-0.0050688554
TENT5B,GNA11,0.005937635
SIK1,GNA11,-0.014983462
NAA80,GNA11,0.0006426419
SLC11A1,GNA11,-0.007022925
PSMC4,GNA11,0.008752545
GCNT2,GNA11,-0.0052568098
KCNV2,GNA11,0.013968757
PEX6,GNA11,-0.012092072
PDXP,GNA11,-0.0044229547
MAS1,GNA11,0.007408363
AFF3,GNA11,-0.06940023
PTCHD1,GNA11,-0.0041892687
ALDH3A1,GNA11,-0.0075355205
CD79B,GNA11,-0.0021293282
LNP1,GNA11,0.01114117
ARMH1,GNA11,-0.009536823
NDUFS5,GNA11,-0.007247495
PMP22,GNA11,-0.009984189
FOXA2,GNA11,-0.0010832805
TAFA4,GNA11,-0.006291309
TTC39C,GNA11,-0.002966757
FGF10,GNA11,0.0034566638
TRIP10,GNA11,-0.013938244
LRRC23,GNA11,-0.003543149
CCIN,GNA11,0.00052838697
CUX1,GNA11,-0.01393665
CDC42EP4,GNA11,-0.03265905
LEFTY1,GNA11,-0.0027093985
MRC1,GNA11,0.004863667
RPL39L,GNA11,0.00010566994
PDE4B,GNA11,0.00026364374
BDH1,GNA11,0.00017295168
TLN2,GNA11,-0.0031283211
DNAH2,GNA11,0.0015989366
TUBB2B,GNA11,-0.0055486388
HIRIP3,GNA11,0.0025663169
MECOM,GNA11,0.01126666
ACOT12,GNA11,-0.017397346
TTC32,GNA11,-0.014726482
BEX1,GNA11,-0.005396693
FBLN1,GNA11,0.0032627939
ZNF365,GNA11,0.008411089
CEACAM21,GNA11,0.003336342
RBM47,GNA11,-0.022681221
MS4A8,GNA11,0.0008415025
TNFRSF25,GNA11,-0.0048339353
EPHA8,GNA11,-0.0054544667
DNAL4,GNA11,0.0002829932
FBRSL1,GNA11,-0.003474842
MYADM,GNA11,0.016809909
NALCN,GNA11,-0.005296267
ALOX15B,GNA11,-0.003843003
LRRC43,GNA11,-0.0025719318
DNAJC12,GNA11,-0.0019507849
AP1M2,GNA11,-0.0046339687
CLEC1A,GNA11,-0.0004534853
LHFPL6,GNA11,-0.030641528
POSTN,GNA11,-0.015236983
PLCB2,GNA11,-0.023193154
TUBB1,GNA11,0.003958914
MPZ,GNA11,-0.004891419
TIGD3,GNA11,-0.0005144798
DTYMK,GNA11,-0.04470751
KIF20A,GNAQ,-0.009791574
RTL3,GNAQ,-0.0024047866
SORCS2,GNAQ,1.8315293e-05
ANKRD37,GNAQ,0.020448396
ZNF391,GNAQ,0.016779732
LRRC38,GNAQ,0.004122211
HMX1,GNAQ,0.0034078762
OGDHL,GNAQ,-0.0021753116
CRABP1,GNAQ,-0.009193674
TCTA,GNAQ,-0.0075451722
CRYAA2,GNAQ,-0.0028851049
URM1,GNAQ,-0.004022952
NLRP2,GNAQ,0.00910238
SPARC,GNAQ,-0.014603949
NBPF3,GNAQ,0.0034872275
IFI27L2,GNAQ,-0.022079574
RPP25L,GNAQ,-0.004184774
IL2RA,GNAQ,-0.0004708087
SULT2B1,GNAQ,-0.004743343
PARM1,GNAQ,0.0010427788
DNAJC12,GNAQ,0.019250473
TRERF1,GNAQ,0.035288315
CRYBB3,GNAQ,-0.0016871755
PPP2R3B,GNAQ,-0.0028891687
